2023-05-09 14:22:24,574 INFO Starting...
2023-05-09 14:22:24,574 INFO Tickers: ['UNP']
2023-05-09 14:23:58,018 INFO ofi_trade_4_5: -1.8766449757144466e-08 , std 1.6323097637261482e-06 
2023-05-09 14:23:58,018 INFO ofi_trade_5_5: -3.0662299976291525e-08 , std 2.0759700583799473e-06 
2023-05-09 14:23:58,018 INFO ofi_trade_6_5: -3.3671904221685424e-08 , std 1.7074369296151015e-06 
2023-05-09 14:23:58,018 INFO ofi_trade_7_5: -2.2399372141823816e-08 , std 1.515059077823274e-06 
2023-05-09 14:23:58,018 INFO ofi_trade_8_5: -1.8389475173089008e-08 , std 1.571742166427428e-06 
2023-05-09 14:23:58,018 INFO ofi_trade_9_5: -1.506697368346855e-08 , std 1.2581888794895862e-06 
2023-05-09 14:23:58,018 INFO ofi_trade_10_5: -9.81195638122422e-09 , std 9.11011908970645e-07 
2023-05-09 14:23:58,019 INFO ofi_add_1_10: -1.4001370160791483e-07 , std 2.882153333169526e-06 
2023-05-09 14:23:58,019 INFO ofi_add_2_10: -2.4767980914179924e-07 , std 3.877403283566663e-06 
2023-05-09 14:23:58,019 INFO ofi_add_3_10: -2.8389912089944256e-07 , std 3.966290043302459e-06 
2023-05-09 14:23:58,019 INFO ofi_add_4_10: -3.3899404374007476e-07 , std 3.985784128697748e-06 
2023-05-09 14:23:58,019 INFO ofi_add_5_10: -3.826388886051406e-07 , std 4.512140346511449e-06 
2023-05-09 14:23:58,019 INFO ofi_add_6_10: -3.1978749055126025e-07 , std 3.838335965795539e-06 
2023-05-09 14:23:58,019 INFO ofi_add_7_10: -2.787107903709952e-07 , std 3.879640775145754e-06 
2023-05-09 14:23:58,019 INFO ofi_add_8_10: -2.416912489206018e-07 , std 3.443686456041225e-06 
2023-05-09 14:23:58,019 INFO ofi_add_9_10: -2.3143593940810614e-07 , std 3.5449615737512977e-06 
2023-05-09 14:23:58,019 INFO ofi_add_10_10: -2.8045551045769317e-07 , std 4.324455736363901e-06 
2023-05-09 14:23:58,019 INFO ofi_cancel_1_10: -4.511821320372905e-08 , std 1.8384102100962863e-06 
2023-05-09 14:23:58,019 INFO ofi_cancel_2_10: -8.181534515127494e-08 , std 2.320697529996849e-06 
2023-05-09 14:23:58,019 INFO ofi_cancel_3_10: -1.3026283649064232e-07 , std 2.8906253707950724e-06 
2023-05-09 14:23:58,019 INFO ofi_cancel_4_10: -1.2501982396149871e-07 , std 3.0637856204810835e-06 
2023-05-09 14:23:58,019 INFO ofi_cancel_5_10: -1.7172249596279263e-07 , std 3.484662799676806e-06 
2023-05-09 14:23:58,019 INFO ofi_cancel_6_10: -1.2858871547794878e-07 , std 2.8111588188317865e-06 
2023-05-09 14:23:58,019 INFO ofi_cancel_7_10: -9.686950784885705e-08 , std 2.39013661385128e-06 
2023-05-09 14:23:58,019 INFO ofi_cancel_8_10: -9.298749625515137e-08 , std 2.5983918799439588e-06 
2023-05-09 14:23:58,019 INFO ofi_cancel_9_10: -1.0877331795409905e-07 , std 2.780857392653994e-06 
2023-05-09 14:23:58,019 INFO ofi_cancel_10_10: -1.0933780594927609e-07 , std 2.956092304860747e-06 
2023-05-09 14:23:58,019 INFO ofi_trade_1_10: -5.193506542282519e-10 , std 3.8535702111457603e-07 
2023-05-09 14:23:58,019 INFO ofi_trade_2_10: -1.0174121024273593e-08 , std 8.525025564250372e-07 
2023-05-09 14:23:58,019 INFO ofi_trade_3_10: -1.4805835299979943e-08 , std 1.2214016452742091e-06 
2023-05-09 14:23:58,019 INFO ofi_trade_4_10: -2.5358203802085038e-08 , std 1.4626934859140953e-06 
2023-05-09 14:23:58,019 INFO ofi_trade_5_10: -3.9034235169211695e-08 , std 1.9857479268968197e-06 
2023-05-09 14:23:58,019 INFO ofi_trade_6_10: -4.774623879882264e-08 , std 2.092844193131587e-06 
2023-05-09 14:23:58,019 INFO ofi_trade_7_10: -4.423737341874895e-08 , std 2.3553889943664913e-06 
2023-05-09 14:23:58,019 INFO ofi_trade_8_10: -2.29461172789452e-08 , std 1.5181206881520865e-06 
2023-05-09 14:23:58,019 INFO ofi_trade_9_10: -1.792777573593956e-08 , std 1.7936961492994666e-06 
2023-05-09 14:23:58,019 INFO ofi_trade_10_10: -7.413748520969626e-09 , std 7.79497776358082e-07 
2023-05-09 14:23:58,019 INFO ofi_add_1_20: -1.6001045122527856e-07 , std 3.107149337948536e-06 
2023-05-09 14:23:58,019 INFO ofi_add_2_20: -3.0375399332994324e-07 , std 3.982977018186417e-06 
2023-05-09 14:23:58,019 INFO ofi_add_3_20: -2.873481811944518e-07 , std 3.787114476024119e-06 
2023-05-09 14:23:58,019 INFO ofi_add_4_20: -3.874434817995414e-07 , std 4.289040304008255e-06 
2023-05-09 14:23:58,019 INFO ofi_add_5_20: -3.5948867822033065e-07 , std 3.978239273145016e-06 
2023-05-09 14:23:58,019 INFO ofi_add_6_20: -3.1827166503527284e-07 , std 3.788240443133561e-06 
2023-05-09 14:23:58,019 INFO ofi_add_7_20: -2.7352264629149024e-07 , std 3.6201258762542815e-06 
2023-05-09 14:23:58,019 INFO ofi_add_8_20: -2.476239420070457e-07 , std 3.4376458965322344e-06 
2023-05-09 14:23:58,019 INFO ofi_add_9_20: -2.5604604341078013e-07 , std 3.6009725862019693e-06 
2023-05-09 14:23:58,019 INFO ofi_add_10_20: -2.965922783909347e-07 , std 3.7333586374839242e-06 
