2023-05-09 13:23:15,713 INFO Starting...
2023-05-09 13:23:15,713 INFO Tickers: ['V']
2023-05-09 13:24:48,225 INFO ofi_cancel_7_10: -8.478052099153534e-08 , std 2.0114434263873593e-06 
2023-05-09 13:24:48,225 INFO ofi_cancel_8_10: -8.039437172207744e-08 , std 1.8346963046896054e-06 
2023-05-09 13:24:48,225 INFO ofi_cancel_9_10: -7.193803785384614e-08 , std 1.5777315582132135e-06 
2023-05-09 13:24:48,225 INFO ofi_cancel_10_10: -7.033392839028671e-08 , std 1.673402042110536e-06 
2023-05-09 13:24:48,225 INFO ofi_trade_1_10: -3.7326061452274146e-10 , std 1.0592833256461311e-07 
2023-05-09 13:24:48,225 INFO ofi_trade_2_10: -1.339167661442159e-08 , std 1.356423108525129e-06 
2023-05-09 13:24:48,225 INFO ofi_trade_3_10: -2.369847449039828e-08 , std 1.346346828604007e-06 
2023-05-09 13:24:48,225 INFO ofi_trade_4_10: -4.649755729173133e-08 , std 2.423825668650334e-06 
2023-05-09 13:24:48,225 INFO ofi_trade_5_10: -3.232519492777628e-08 , std 1.6774234976742503e-06 
2023-05-09 13:24:48,225 INFO ofi_trade_6_10: -3.890522976740914e-08 , std 1.952552453991466e-06 
2023-05-09 13:24:48,225 INFO ofi_trade_7_10: -2.8164069260322357e-08 , std 1.6281085415141967e-06 
2023-05-09 13:24:48,225 INFO ofi_trade_8_10: -8.456532992993495e-09 , std 6.969495645759377e-07 
2023-05-09 13:24:48,225 INFO ofi_trade_9_10: -8.53266267344265e-09 , std 7.043412929588521e-07 
2023-05-09 13:24:48,225 INFO ofi_trade_10_10: -2.6367951986972575e-09 , std 3.354432794433044e-07 
2023-05-09 13:24:48,225 INFO ofi_add_1_20: -5.315572357325362e-07 , std 4.949708925020189e-06 
2023-05-09 13:24:48,225 INFO ofi_add_2_20: -2.401565056214762e-07 , std 3.4236010435962674e-06 
2023-05-09 13:24:48,225 INFO ofi_add_3_20: -1.723366899767105e-07 , std 2.8478025419330414e-06 
2023-05-09 13:24:48,225 INFO ofi_add_4_20: -1.8768903499609897e-07 , std 2.839008812357835e-06 
2023-05-09 13:24:48,225 INFO ofi_add_5_20: -2.1956033433063291e-07 , std 3.007326075557596e-06 
2023-05-09 13:24:48,225 INFO ofi_add_6_20: -2.2650825162227875e-07 , std 3.038399619432125e-06 
