2023-05-09 14:05:07,418 INFO Starting...
2023-05-09 14:05:07,418 INFO Tickers: ['CRM']
2023-05-09 14:06:41,711 INFO ofi_add_7_3: -1.4078499921232185e-07 , std 3.1321551425874673e-06 
2023-05-09 14:06:41,711 INFO ofi_add_8_3: -1.1886331844934136e-07 , std 2.647475211850081e-06 
2023-05-09 14:06:41,711 INFO ofi_add_9_3: -1.2883632353550983e-07 , std 3.0905332478716108e-06 
2023-05-09 14:06:41,711 INFO ofi_add_10_3: -1.6079420501055105e-07 , std 3.64507844631546e-06 
2023-05-09 14:06:41,711 INFO ofi_cancel_1_3: -5.155554347443134e-08 , std 2.753193909814018e-06 
2023-05-09 14:06:41,711 INFO ofi_cancel_2_3: -1.0389148560253445e-07 , std 3.2191955791370137e-06 
2023-05-09 14:06:41,711 INFO ofi_cancel_3_3: -6.998154859616251e-08 , std 2.3512965814405656e-06 
2023-05-09 14:06:41,711 INFO ofi_cancel_4_3: -9.830401507105146e-08 , std 2.733783510909816e-06 
2023-05-09 14:06:41,711 INFO ofi_cancel_5_3: -1.207353200395038e-07 , std 3.4519096169510656e-06 
2023-05-09 14:06:41,711 INFO ofi_cancel_6_3: -1.2237730369501245e-07 , std 3.3702255798927656e-06 
2023-05-09 14:06:41,711 INFO ofi_cancel_7_3: -6.589666840501886e-08 , std 2.2547183843792183e-06 
2023-05-09 14:06:41,711 INFO ofi_cancel_8_3: -8.138904035890303e-08 , std 2.654585267104392e-06 
2023-05-09 14:06:41,711 INFO ofi_cancel_9_3: -6.339590057591065e-08 , std 2.1506686915285524e-06 
2023-05-09 14:06:41,711 INFO ofi_cancel_10_3: -7.936047426657052e-08 , std 2.353786256729435e-06 
2023-05-09 14:06:41,711 INFO ofi_trade_1_3: -2.981590439309902e-09 , std 5.875050425256548e-07 
2023-05-09 14:06:41,711 INFO ofi_trade_2_3: -6.380992859140381e-09 , std 8.393560751472727e-07 
2023-05-09 14:06:41,711 INFO ofi_trade_3_3: -1.1228144924959223e-08 , std 1.111313409685265e-06 
2023-05-09 14:06:41,711 INFO ofi_trade_4_3: -1.8300674174045556e-08 , std 1.4428616429062513e-06 
2023-05-09 14:06:41,711 INFO ofi_trade_5_3: -1.3938686287299521e-08 , std 1.2068025557888273e-06 
2023-05-09 14:06:41,711 INFO ofi_trade_6_3: -1.454929261923342e-08 , std 1.4031627643297393e-06 
2023-05-09 14:06:41,711 INFO ofi_trade_7_3: -4.678383004854255e-09 , std 7.170427950813716e-07 
2023-05-09 14:06:41,711 INFO ofi_trade_8_3: -9.213467624493086e-09 , std 1.3281015075810702e-06 
2023-05-09 14:06:41,711 INFO ofi_trade_9_3: -5.991466593146251e-09 , std 9.95576445093749e-07 
2023-05-09 14:06:41,711 INFO ofi_trade_10_3: -6.303515942110396e-09 , std 7.711022868186709e-07 
2023-05-09 14:06:41,711 INFO ofi_add_1_5: -1.4601415744309253e-07 , std 3.3570586581333507e-06 
2023-05-09 14:06:41,711 INFO ofi_add_2_5: -1.8753889428644072e-07 , std 3.483136494128418e-06 
2023-05-09 14:06:41,711 INFO ofi_add_3_5: -1.8558134844646375e-07 , std 3.361839675622382e-06 
2023-05-09 14:06:41,711 INFO ofi_add_4_5: -2.3302967935829945e-07 , std 3.676478245459897e-06 
2023-05-09 14:06:41,712 INFO ofi_add_5_5: -2.034874442356586e-07 , std 3.2261386347995962e-06 
2023-05-09 14:06:41,712 INFO ofi_add_6_5: -2.5456655106884246e-07 , std 3.912046910272236e-06 
2023-05-09 14:06:41,712 INFO ofi_add_7_5: -2.0965548038126237e-07 , std 3.6264236479418236e-06 
2023-05-09 14:06:41,712 INFO ofi_add_8_5: -1.623485255982836e-07 , std 2.953854392045531e-06 
2023-05-09 14:06:41,712 INFO ofi_add_9_5: -1.6930156245864644e-07 , std 3.5394814485556504e-06 
2023-05-09 14:06:41,712 INFO ofi_add_10_5: -1.921233526401134e-07 , std 3.6027527380571107e-06 
2023-05-09 14:06:41,712 INFO ofi_cancel_1_5: -4.884788255321112e-08 , std 1.875048459102757e-06 
2023-05-09 14:06:41,712 INFO ofi_cancel_2_5: -1.1206484129652285e-07 , std 2.817295750938801e-06 
2023-05-09 14:06:41,712 INFO ofi_cancel_3_5: -1.1061586342880345e-07 , std 2.685708844766596e-06 
2023-05-09 14:06:41,712 INFO ofi_cancel_4_5: -1.0999814397123905e-07 , std 2.942328401433084e-06 
2023-05-09 14:06:41,712 INFO ofi_cancel_5_5: -9.59144687487015e-08 , std 2.6016033235335707e-06 
2023-05-09 14:06:41,712 INFO ofi_cancel_6_5: -8.431057274372574e-08 , std 2.565682829311374e-06 
2023-05-09 14:06:41,712 INFO ofi_cancel_7_5: -8.334257427997855e-08 , std 2.638018629017385e-06 
2023-05-09 14:06:41,712 INFO ofi_cancel_8_5: -9.095312102190403e-08 , std 2.531236349929447e-06 
2023-05-09 14:06:41,712 INFO ofi_cancel_9_5: -6.159065983127332e-08 , std 2.0088452207605368e-06 
2023-05-09 14:06:41,712 INFO ofi_cancel_10_5: -8.973142618510995e-08 , std 2.336738500005128e-06 
2023-05-09 14:06:41,712 INFO ofi_trade_1_5: -3.0374851330898397e-09 , std 3.9232300672110356e-07 
2023-05-09 14:06:41,712 INFO ofi_trade_2_5: -7.004722501596128e-09 , std 7.984418901055417e-07 
2023-05-09 14:06:41,712 INFO ofi_trade_3_5: -1.941493212300882e-08 , std 1.7863415415618168e-06 
2023-05-09 14:06:41,712 INFO ofi_trade_4_5: -1.2367448910224824e-08 , std 1.126183612057173e-06 
2023-05-09 14:06:41,712 INFO ofi_trade_5_5: -1.4534457290134594e-08 , std 1.0530619945023228e-06 
2023-05-09 14:06:41,712 INFO ofi_trade_6_5: -2.2028705954103692e-08 , std 1.7803152694488933e-06 
2023-05-09 14:06:41,712 INFO ofi_trade_7_5: -1.142650177482841e-08 , std 1.1092881937713662e-06 
2023-05-09 14:06:41,712 INFO ofi_trade_8_5: -5.685819874560328e-09 , std 6.05096613060438e-07 
2023-05-09 14:06:41,712 INFO ofi_trade_9_5: -2.1634257287306025e-09 , std 4.555433902448855e-07 
2023-05-09 14:06:41,712 INFO ofi_trade_10_5: -6.829621277890273e-09 , std 7.524057422008696e-07 
2023-05-09 14:06:41,712 INFO ofi_add_1_10: -1.7782470866567366e-07 , std 3.393955976621606e-06 
2023-05-09 14:06:41,712 INFO ofi_add_2_10: -1.9140310678002803e-07 , std 3.3938111124395983e-06 
