2023-05-09 15:26:03,015 INFO Starting...
2023-05-09 15:26:03,015 INFO Tickers: ['FISV']
2023-05-09 15:27:35,735 INFO ofi_cancel_7_5: -1.2614551310794972e-07 , std 3.2717014465053203e-06 
2023-05-09 15:27:35,735 INFO ofi_cancel_8_5: -1.0498894837673568e-07 , std 3.2332761251863525e-06 
2023-05-09 15:27:35,735 INFO ofi_cancel_9_5: -1.129536140650075e-07 , std 3.2214221363242116e-06 
2023-05-09 15:27:35,735 INFO ofi_cancel_10_5: -1.5434064556661896e-07 , std 3.5856195632358626e-06 
2023-05-09 15:27:35,735 INFO ofi_trade_1_5: -1.2235848222787814e-08 , std 1.267712721051147e-06 
2023-05-09 15:27:35,735 INFO ofi_trade_2_5: -3.8337984256164234e-08 , std 2.0938022919621614e-06 
2023-05-09 15:27:35,735 INFO ofi_trade_3_5: -2.3156334211738202e-08 , std 1.6611041591781507e-06 
2023-05-09 15:27:35,735 INFO ofi_trade_4_5: -2.950522177493023e-08 , std 1.7029680434803336e-06 
2023-05-09 15:27:35,735 INFO ofi_trade_5_5: -3.326174591126118e-08 , std 2.0308258384017384e-06 
2023-05-09 15:27:35,735 INFO ofi_trade_6_5: -2.350895875766734e-08 , std 1.7576000885508565e-06 
2023-05-09 15:27:35,735 INFO ofi_trade_7_5: -2.4385724625881504e-08 , std 1.5531512157785111e-06 
2023-05-09 15:27:35,735 INFO ofi_trade_8_5: -1.931766833518469e-08 , std 1.2994498060426223e-06 
2023-05-09 15:27:35,735 INFO ofi_trade_9_5: -2.5622262961872377e-08 , std 1.7805162801318173e-06 
2023-05-09 15:27:35,735 INFO ofi_trade_10_5: -1.233373264992922e-08 , std 9.505111938923786e-07 
2023-05-09 15:27:35,735 INFO ofi_add_1_10: -3.523477345947154e-07 , std 4.813580451228073e-06 
2023-05-09 15:27:35,735 INFO ofi_add_2_10: -3.5956188854972416e-07 , std 5.001496555615274e-06 
2023-05-09 15:27:35,735 INFO ofi_add_3_10: -3.606124009239825e-07 , std 5.096693828303968e-06 
2023-05-09 15:27:35,735 INFO ofi_add_4_10: -3.7152413448570753e-07 , std 4.836321884320399e-06 
2023-05-09 15:27:35,735 INFO ofi_add_5_10: -2.8577483351105596e-07 , std 4.30417176754749e-06 
2023-05-09 15:27:35,735 INFO ofi_add_6_10: -2.6153066805066054e-07 , std 4.243120859522451e-06 
2023-05-09 15:27:35,735 INFO ofi_add_7_10: -2.20665600772674e-07 , std 4.009710565046458e-06 
2023-05-09 15:27:35,735 INFO ofi_add_8_10: -1.4001648692643058e-07 , std 3.3279733647544667e-06 
2023-05-09 15:27:35,735 INFO ofi_add_9_10: -1.492237159041572e-07 , std 3.662841581217128e-06 
2023-05-09 15:27:35,735 INFO ofi_add_10_10: -2.754292182532819e-07 , std 4.372398586368171e-06 
2023-05-09 15:27:35,735 INFO ofi_cancel_1_10: -6.892328897836752e-08 , std 2.5171037526957406e-06 
2023-05-09 15:27:35,735 INFO ofi_cancel_2_10: -1.9118422623111005e-07 , std 3.5236081184298e-06 
2023-05-09 15:27:35,735 INFO ofi_cancel_3_10: -1.496696987776405e-07 , std 3.3652546500198848e-06 
2023-05-09 15:27:35,735 INFO ofi_cancel_4_10: -8.971413879132658e-08 , std 2.9394163392385125e-06 
2023-05-09 15:27:35,735 INFO ofi_cancel_5_10: -1.1755431428105025e-07 , std 3.27637537060396e-06 
2023-05-09 15:27:35,735 INFO ofi_cancel_6_10: -1.1639708230625626e-07 , std 3.1994259872013374e-06 
2023-05-09 15:27:35,735 INFO ofi_cancel_7_10: -1.089653441476147e-07 , std 2.907252879198759e-06 
2023-05-09 15:27:35,735 INFO ofi_cancel_8_10: -1.3973527318418298e-07 , std 3.1929335364267996e-06 
2023-05-09 15:27:35,735 INFO ofi_cancel_9_10: -1.3104926694722825e-07 , std 3.2553039669413426e-06 
2023-05-09 15:27:35,735 INFO ofi_cancel_10_10: -1.4258313183290163e-07 , std 3.2931559903927877e-06 
2023-05-09 15:27:35,735 INFO ofi_trade_1_10: -9.690053529008346e-09 , std 1.3303074463055332e-06 
2023-05-09 15:27:35,735 INFO ofi_trade_2_10: -3.144207677443595e-08 , std 1.8242564276078682e-06 
2023-05-09 15:27:35,735 INFO ofi_trade_3_10: -3.498312901518954e-08 , std 1.991704484818087e-06 
2023-05-09 15:27:35,736 INFO ofi_trade_4_10: -2.3896470897288883e-08 , std 1.6711488189496457e-06 
2023-05-09 15:27:35,736 INFO ofi_trade_5_10: -3.6191862171607584e-08 , std 2.65878618813027e-06 
2023-05-09 15:27:35,736 INFO ofi_trade_6_10: -2.6116297757419362e-08 , std 1.7683538756400185e-06 
2023-05-09 15:27:35,736 INFO ofi_trade_7_10: -2.048517490431522e-08 , std 1.3055305206748316e-06 
2023-05-09 15:27:35,736 INFO ofi_trade_8_10: -1.542738036055215e-08 , std 1.1322205287647544e-06 
