2023-05-09 15:13:52,590 INFO Starting...
2023-05-09 15:13:52,590 INFO Tickers: ['CME']
2023-05-09 15:15:27,139 INFO ofi_add_3_5: -2.1314515548569878e-07 , std 3.5487678018416765e-06 
2023-05-09 15:15:27,139 INFO ofi_add_4_5: -2.0731801139159883e-07 , std 3.282162215780654e-06 
2023-05-09 15:15:27,139 INFO ofi_add_5_5: -2.369193231132863e-07 , std 3.833552359100406e-06 
2023-05-09 15:15:27,139 INFO ofi_add_6_5: -2.0592123309902443e-07 , std 3.3073935633778393e-06 
2023-05-09 15:15:27,139 INFO ofi_add_7_5: -2.0104675985254577e-07 , std 3.7286461116771608e-06 
2023-05-09 15:15:27,139 INFO ofi_add_8_5: -1.2098185776414405e-07 , std 2.86339099715762e-06 
2023-05-09 15:15:27,139 INFO ofi_add_9_5: -9.3926460204866e-08 , std 2.860320014366896e-06 
2023-05-09 15:15:27,139 INFO ofi_add_10_5: -1.6173772218163167e-07 , std 3.501692297412244e-06 
2023-05-09 15:15:27,139 INFO ofi_cancel_1_5: -4.3014597315034746e-08 , std 1.875752728353477e-06 
2023-05-09 15:15:27,139 INFO ofi_cancel_2_5: -6.035488149218158e-08 , std 2.359174817898889e-06 
2023-05-09 15:15:27,139 INFO ofi_cancel_3_5: -8.321048943488898e-08 , std 2.8538184411387728e-06 
2023-05-09 15:15:27,139 INFO ofi_cancel_4_5: -1.1401129117845082e-07 , std 2.918120787663678e-06 
2023-05-09 15:15:27,139 INFO ofi_cancel_5_5: -7.060431875468975e-08 , std 2.5903414831365305e-06 
2023-05-09 15:15:27,139 INFO ofi_cancel_6_5: -7.044097576797371e-08 , std 2.434303625586411e-06 
2023-05-09 15:15:27,139 INFO ofi_cancel_7_5: -4.4957038632480834e-08 , std 2.1802546485958618e-06 
2023-05-09 15:15:27,139 INFO ofi_cancel_8_5: -6.116172625080822e-08 , std 2.2715893639478566e-06 
2023-05-09 15:15:27,139 INFO ofi_cancel_9_5: -5.0722013183257924e-08 , std 2.1948458846873365e-06 
2023-05-09 15:15:27,139 INFO ofi_cancel_10_5: -7.899905041244763e-08 , std 2.6206744198163795e-06 
2023-05-09 15:15:27,139 INFO ofi_trade_1_5: -9.985767682234203e-09 , std 1.006368473367119e-06 
2023-05-09 15:15:27,139 INFO ofi_trade_2_5: -1.31966993728702e-08 , std 1.094524623765636e-06 
2023-05-09 15:15:27,139 INFO ofi_trade_3_5: -1.4394209386392745e-08 , std 1.3518431462279266e-06 
2023-05-09 15:15:27,139 INFO ofi_trade_4_5: -1.36616414593415e-08 , std 1.1577576935043375e-06 
2023-05-09 15:15:27,139 INFO ofi_trade_5_5: -1.6426340991005533e-08 , std 1.4362342667970522e-06 
2023-05-09 15:15:27,139 INFO ofi_trade_6_5: -1.3638169480920112e-08 , std 1.8184748736319514e-06 
2023-05-09 15:15:27,139 INFO ofi_trade_7_5: -1.1121638985724612e-08 , std 1.2754029971844036e-06 
2023-05-09 15:15:27,139 INFO ofi_trade_8_5: -9.928335653686524e-09 , std 9.723946155529692e-07 
2023-05-09 15:15:27,139 INFO ofi_trade_9_5: -1.3664870453650038e-08 , std 1.2667189979016486e-06 
2023-05-09 15:15:27,139 INFO ofi_trade_10_5: -1.0182652927237687e-08 , std 1.0181019600835252e-06 
2023-05-09 15:15:27,139 INFO ofi_add_1_10: -1.01052493223586e-07 , std 3.365348303476446e-06 
2023-05-09 15:15:27,139 INFO ofi_add_2_10: -3.0997702806900396e-07 , std 4.074886519198034e-06 
2023-05-09 15:15:27,139 INFO ofi_add_3_10: -2.6903442509855115e-07 , std 3.8097718690087857e-06 
2023-05-09 15:15:27,139 INFO ofi_add_4_10: -2.5855448525314057e-07 , std 3.4366386987129237e-06 
2023-05-09 15:15:27,139 INFO ofi_add_5_10: -2.5497085062251636e-07 , std 3.4132865743162726e-06 
2023-05-09 15:15:27,139 INFO ofi_add_6_10: -2.42454782439299e-07 , std 3.4987466161977214e-06 
2023-05-09 15:15:27,139 INFO ofi_add_7_10: -1.8858076492727257e-07 , std 2.749296139096742e-06 
2023-05-09 15:15:27,140 INFO ofi_add_8_10: -1.3587868251801817e-07 , std 2.6920492696177065e-06 
2023-05-09 15:15:27,140 INFO ofi_add_9_10: -1.0778846423334724e-07 , std 2.764990530967622e-06 
2023-05-09 15:15:27,140 INFO ofi_add_10_10: -1.5574210078354858e-07 , std 3.386283731472438e-06 
2023-05-09 15:15:27,140 INFO ofi_cancel_1_10: -3.284749104072588e-08 , std 1.7931180232429793e-06 
2023-05-09 15:15:27,140 INFO ofi_cancel_2_10: -8.878892669366798e-08 , std 2.3907485310061556e-06 
2023-05-09 15:15:27,140 INFO ofi_cancel_3_10: -9.30925844377611e-08 , std 2.7034968322040265e-06 
2023-05-09 15:15:27,140 INFO ofi_cancel_4_10: -1.0444109842515201e-07 , std 2.8131540121265154e-06 
2023-05-09 15:15:27,140 INFO ofi_cancel_5_10: -9.12296608231643e-08 , std 2.801148069371841e-06 
2023-05-09 15:15:27,140 INFO ofi_cancel_6_10: -6.230450495016763e-08 , std 2.4335027937695336e-06 
2023-05-09 15:15:27,140 INFO ofi_cancel_7_10: -4.752619964826713e-08 , std 2.0041828452170303e-06 
2023-05-09 15:15:27,140 INFO ofi_cancel_8_10: -7.488569713590583e-08 , std 2.551380852313073e-06 
2023-05-09 15:15:27,140 INFO ofi_cancel_9_10: -9.455294266580506e-08 , std 2.4517733180514195e-06 
2023-05-09 15:15:27,140 INFO ofi_cancel_10_10: -9.053400414370217e-08 , std 2.627833280626163e-06 
2023-05-09 15:15:27,140 INFO ofi_trade_1_10: -4.876694900097448e-09 , std 5.863593061322086e-07 
2023-05-09 15:15:27,140 INFO ofi_trade_2_10: -1.2655570906375982e-08 , std 1.4094801307086756e-06 
2023-05-09 15:15:27,140 INFO ofi_trade_3_10: -1.222162780650795e-08 , std 1.2176494268152901e-06 
2023-05-09 15:15:27,140 INFO ofi_trade_4_10: -1.2613849547397876e-08 , std 1.0963123069158069e-06 
2023-05-09 15:15:27,140 INFO ofi_trade_5_10: -1.798333381138276e-08 , std 1.5669318366280775e-06 
2023-05-09 15:15:27,140 INFO ofi_trade_6_10: -1.2735262721406005e-08 , std 1.0579721401410596e-06 
2023-05-09 15:15:27,140 INFO ofi_trade_7_10: -8.454708125172527e-09 , std 1.0268761895396493e-06 
2023-05-09 15:15:27,140 INFO ofi_trade_8_10: -1.1480183595039257e-08 , std 1.1030112492530305e-06 
2023-05-09 15:15:27,140 INFO ofi_trade_9_10: -1.600020463543127e-08 , std 1.415613698666484e-06 
2023-05-09 15:15:27,140 INFO ofi_trade_10_10: -2.274599078024245e-08 , std 1.7988196895076527e-06 
2023-05-09 15:15:27,140 INFO ofi_add_1_20: -1.4000360125002702e-07 , std 3.0629168194937953e-06 
2023-05-09 15:15:27,140 INFO ofi_add_2_20: -3.426749358559475e-07 , std 4.059794189418061e-06 
2023-05-09 15:15:27,140 INFO ofi_add_3_20: -2.726142862165575e-07 , std 3.4237866068695505e-06 
2023-05-09 15:15:27,140 INFO ofi_add_4_20: -3.19151986796641e-07 , std 3.699818797953099e-06 
2023-05-09 15:15:27,140 INFO ofi_add_5_20: -2.676106106151237e-07 , std 3.2620032609901093e-06 
2023-05-09 15:15:27,140 INFO ofi_add_6_20: -2.7183149158141546e-07 , std 3.4150669089024348e-06 
