2023-05-09 15:05:44,175 INFO Starting...
2023-05-09 15:05:44,175 INFO Tickers: ['GS']
2023-05-09 15:07:20,618 INFO ofi_trade_6_3: -1.5757827486106978e-09 , std 2.923753535815214e-07 
2023-05-09 15:07:20,618 INFO ofi_trade_7_3: -2.732374582888508e-09 , std 4.676110693688482e-07 
2023-05-09 15:07:20,618 INFO ofi_trade_8_3: -7.553016056418534e-09 , std 7.534897909548219e-07 
2023-05-09 15:07:20,618 INFO ofi_trade_9_3: -5.929944946942391e-09 , std 8.693989220094766e-07 
2023-05-09 15:07:20,618 INFO ofi_trade_10_3: -8.691269931575972e-09 , std 8.869717367635364e-07 
2023-05-09 15:07:20,618 INFO ofi_add_1_5: -4.470136554376563e-08 , std 2.1055177796190187e-06 
2023-05-09 15:07:20,618 INFO ofi_add_2_5: -8.11920976766829e-08 , std 2.0594239023261346e-06 
2023-05-09 15:07:20,618 INFO ofi_add_3_5: -1.0507998330344837e-07 , std 2.286767459374321e-06 
2023-05-09 15:07:20,618 INFO ofi_add_4_5: -1.2652236144306519e-07 , std 2.33699233011822e-06 
2023-05-09 15:07:20,618 INFO ofi_add_5_5: -1.4704294318504653e-07 , std 2.609925467376598e-06 
2023-05-09 15:07:20,618 INFO ofi_add_6_5: -1.533827162626587e-07 , std 2.5903572668166444e-06 
2023-05-09 15:07:20,618 INFO ofi_add_7_5: -1.7042502168162257e-07 , std 2.65880438479843e-06 
2023-05-09 15:07:20,618 INFO ofi_add_8_5: -1.846857843064751e-07 , std 2.7802249418838524e-06 
2023-05-09 15:07:20,618 INFO ofi_add_9_5: -2.0139809938263335e-07 , std 2.711246839304566e-06 
2023-05-09 15:07:20,618 INFO ofi_add_10_5: -3.032565105238981e-07 , std 3.587437974948156e-06 
2023-05-09 15:07:20,618 INFO ofi_cancel_1_5: -2.5415575849573557e-08 , std 1.6369352155833225e-06 
2023-05-09 15:07:20,618 INFO ofi_cancel_2_5: -4.034115709097375e-08 , std 1.9760040010005334e-06 
2023-05-09 15:07:20,618 INFO ofi_cancel_3_5: -5.235508088106453e-08 , std 1.8500346116063606e-06 
2023-05-09 15:07:20,618 INFO ofi_cancel_4_5: -7.837940301092671e-08 , std 2.2021562466153306e-06 
2023-05-09 15:07:20,619 INFO ofi_cancel_5_5: -1.0017506369782971e-07 , std 2.2087642063449964e-06 
2023-05-09 15:07:20,619 INFO ofi_cancel_6_5: -1.0640667488420905e-07 , std 2.394532507819129e-06 
2023-05-09 15:07:20,619 INFO ofi_cancel_7_5: -1.21864592272221e-07 , std 2.464965995801455e-06 
2023-05-09 15:07:20,619 INFO ofi_cancel_8_5: -1.1053390624685917e-07 , std 2.445831127125584e-06 
2023-05-09 15:07:20,619 INFO ofi_cancel_9_5: -1.0560714809633763e-07 , std 2.2750529444277004e-06 
2023-05-09 15:07:20,619 INFO ofi_cancel_10_5: -1.0870226228631038e-07 , std 2.2190690595968657e-06 
2023-05-09 15:07:20,619 INFO ofi_trade_1_5: -4.100260635353717e-10 , std 2.583964220257256e-07 
2023-05-09 15:07:20,619 INFO ofi_trade_2_5: -3.6971768668227395e-09 , std 5.336117129550175e-07 
2023-05-09 15:07:20,619 INFO ofi_trade_3_5: -1.7598742518592067e-09 , std 3.651094299797837e-07 
2023-05-09 15:07:20,619 INFO ofi_trade_4_5: -2.354403747435511e-09 , std 4.108296239741758e-07 
2023-05-09 15:07:20,619 INFO ofi_trade_5_5: -3.813007688086187e-09 , std 6.657600322773403e-07 
2023-05-09 15:07:20,619 INFO ofi_trade_6_5: -5.289563474208189e-09 , std 6.050584062913076e-07 
2023-05-09 15:07:20,619 INFO ofi_trade_7_5: -5.787199591528145e-09 , std 5.680244893624247e-07 
2023-05-09 15:07:20,619 INFO ofi_trade_8_5: -7.953405989362196e-09 , std 7.639425236335365e-07 
2023-05-09 15:07:20,619 INFO ofi_trade_9_5: -4.282062034690405e-09 , std 4.953262913192419e-07 
2023-05-09 15:07:20,619 INFO ofi_trade_10_5: -6.46241017667437e-09 , std 8.925116884159592e-07 
2023-05-09 15:07:20,619 INFO ofi_add_1_10: -5.460611279268296e-08 , std 1.9788247586204997e-06 
2023-05-09 15:07:20,619 INFO ofi_add_2_10: -1.2868738467140536e-07 , std 2.557167059985365e-06 
2023-05-09 15:07:20,619 INFO ofi_add_3_10: -1.4209242266091738e-07 , std 2.533456231987567e-06 
2023-05-09 15:07:20,619 INFO ofi_add_4_10: -1.6448422324325446e-07 , std 2.665115215480752e-06 
2023-05-09 15:07:20,619 INFO ofi_add_5_10: -1.7075591394025332e-07 , std 2.445202036260556e-06 
2023-05-09 15:07:20,619 INFO ofi_add_6_10: -1.8821511160143776e-07 , std 2.497432552082831e-06 
2023-05-09 15:07:20,619 INFO ofi_add_7_10: -1.902291964470324e-07 , std 2.540165430176816e-06 
2023-05-09 15:07:20,619 INFO ofi_add_8_10: -2.1362700690817237e-07 , std 2.6315493396854323e-06 
2023-05-09 15:07:20,619 INFO ofi_add_9_10: -2.25856622068649e-07 , std 2.8195424682079425e-06 
2023-05-09 15:07:20,619 INFO ofi_add_10_10: -2.7812935163592305e-07 , std 3.0101200013846663e-06 
2023-05-09 15:07:20,619 INFO ofi_cancel_1_10: -3.1123006618438483e-08 , std 1.2627052537132999e-06 
2023-05-09 15:07:20,619 INFO ofi_cancel_2_10: -3.7773495813242526e-08 , std 1.6603995537139528e-06 
2023-05-09 15:07:20,619 INFO ofi_cancel_3_10: -5.838365301389223e-08 , std 1.7700930172364384e-06 
2023-05-09 15:07:20,619 INFO ofi_cancel_4_10: -8.012319572849185e-08 , std 2.3300610186390277e-06 
2023-05-09 15:07:20,619 INFO ofi_cancel_5_10: -1.0266834110175197e-07 , std 2.1851977475486193e-06 
2023-05-09 15:07:20,619 INFO ofi_cancel_6_10: -1.3759774138952978e-07 , std 2.440177151277005e-06 
2023-05-09 15:07:20,619 INFO ofi_cancel_7_10: -1.4945962898545932e-07 , std 2.7172950831815906e-06 
2023-05-09 15:07:20,619 INFO ofi_cancel_8_10: -1.2324697068532807e-07 , std 2.2232002889564213e-06 
2023-05-09 15:07:20,619 INFO ofi_cancel_9_10: -1.31875184055945e-07 , std 2.3667300735253466e-06 
2023-05-09 15:07:20,619 INFO ofi_cancel_10_10: -1.4126313432825104e-07 , std 2.4524195922942977e-06 
2023-05-09 15:07:20,619 INFO ofi_trade_1_10: -2.289025658018346e-10 , std 1.8096116381684065e-07 
2023-05-09 15:07:20,619 INFO ofi_trade_2_10: -1.164989387139867e-09 , std 2.551625171881379e-07 
2023-05-09 15:07:20,619 INFO ofi_trade_3_10: -2.37185806063961e-10 , std 2.8449331683446143e-07 
2023-05-09 15:07:20,619 INFO ofi_trade_4_10: -1.1373204232307081e-09 , std 3.2758230104390114e-07 
2023-05-09 15:07:20,619 INFO ofi_trade_5_10: -1.7007510683052915e-09 , std 3.0505888033958606e-07 
2023-05-09 15:07:20,619 INFO ofi_trade_6_10: -1.5516046488028016e-09 , std 3.2453323991972506e-07 
2023-05-09 15:07:20,619 INFO ofi_trade_7_10: -6.312032449012242e-09 , std 9.820119683480402e-07 
2023-05-09 15:07:20,619 INFO ofi_trade_8_10: -8.641121410472035e-09 , std 1.0229668974044602e-06 
2023-05-09 15:07:20,619 INFO ofi_trade_9_10: -1.0066504782693088e-08 , std 1.2740538277937509e-06 
2023-05-09 15:07:20,619 INFO ofi_trade_10_10: -9.139666970712546e-09 , std 8.339390062856859e-07 
2023-05-09 15:07:20,619 INFO ofi_add_1_20: -6.218363690468853e-08 , std 1.937457123808279e-06 
2023-05-09 15:07:20,619 INFO ofi_add_2_20: -1.634156291940482e-07 , std 2.761543112228872e-06 
2023-05-09 15:07:20,619 INFO ofi_add_3_20: -1.7803802115477994e-07 , std 2.7528431338472784e-06 
2023-05-09 15:07:20,619 INFO ofi_add_4_20: -1.8606255595842603e-07 , std 2.4962192737552818e-06 
2023-05-09 15:07:20,619 INFO ofi_add_5_20: -2.1843387343435283e-07 , std 2.8014684436998213e-06 
2023-05-09 15:07:20,619 INFO ofi_add_6_20: -2.1060764978862261e-07 , std 2.6254280096657266e-06 
2023-05-09 15:07:20,619 INFO ofi_add_7_20: -1.9014759010308742e-07 , std 2.351208006929131e-06 
2023-05-09 15:07:20,619 INFO ofi_add_8_20: -2.3153113267260468e-07 , std 2.9026547753605406e-06 
2023-05-09 15:07:20,619 INFO ofi_add_9_20: -2.3387165853215016e-07 , std 2.605890784363562e-06 
2023-05-09 15:07:20,619 INFO ofi_add_10_20: -2.985662293442358e-07 , std 3.1152076007272615e-06 
2023-05-09 15:07:20,619 INFO ofi_cancel_1_20: -3.10771821171346e-08 , std 1.3836956593226999e-06 
2023-05-09 15:07:20,620 INFO ofi_cancel_2_20: -3.706856842681041e-08 , std 1.6767103393163241e-06 
2023-05-09 15:07:20,620 INFO ofi_cancel_3_20: -6.013366321142748e-08 , std 1.7658576053059489e-06 
2023-05-09 15:07:20,620 INFO ofi_cancel_4_20: -7.340370223618306e-08 , std 1.9970134723851292e-06 
2023-05-09 15:07:20,620 INFO ofi_cancel_5_20: -1.2185887348728508e-07 , std 2.4720067109695764e-06 
2023-05-09 15:07:20,620 INFO ofi_cancel_6_20: -1.5576301616399621e-07 , std 2.55730415495908e-06 
2023-05-09 15:07:20,620 INFO ofi_cancel_7_20: -1.718555133324893e-07 , std 2.809448361178072e-06 
2023-05-09 15:07:20,620 INFO ofi_cancel_8_20: -1.307324577722727e-07 , std 2.3622003572006714e-06 
2023-05-09 15:07:20,620 INFO ofi_cancel_9_20: -1.4367149672286198e-07 , std 2.580240441153538e-06 
2023-05-09 15:07:20,620 INFO ofi_cancel_10_20: -1.570495944123691e-07 , std 2.5784676390095465e-06 
2023-05-09 15:07:20,620 INFO ofi_trade_1_20: -1.6471646271903051e-09 , std 4.481890583492679e-07 
2023-05-09 15:07:20,620 INFO ofi_trade_2_20: -1.1745392976455896e-09 , std 2.737299457818936e-07 
2023-05-09 15:07:20,620 INFO ofi_trade_3_20: -7.793810738514852e-11 , std 2.1599129141022845e-07 
2023-05-09 15:07:20,620 INFO ofi_trade_4_20: -2.9846882673381095e-09 , std 4.0526691754386944e-07 
2023-05-09 15:07:20,620 INFO ofi_trade_5_20: -3.0629293844916247e-09 , std 5.016660601355212e-07 
2023-05-09 15:07:20,620 INFO ofi_trade_6_20: -4.330865335407055e-09 , std 5.750878458393556e-07 
2023-05-09 15:07:20,620 INFO ofi_trade_7_20: -4.964734150192289e-09 , std 8.532889167873226e-07 
2023-05-09 15:07:20,620 INFO ofi_trade_8_20: -1.1199334603388301e-08 , std 1.121452539208657e-06 
2023-05-09 15:07:20,620 INFO ofi_trade_9_20: -7.8729912796167e-09 , std 8.938232752154045e-07 
2023-05-09 15:07:20,620 INFO ofi_trade_10_20: -1.3552263505464531e-08 , std 9.41151695742322e-07 
2023-05-09 15:07:20,620 INFO ofi_add_1_30: -8.428248668150261e-08 , std 2.106275750606091e-06 
2023-05-09 15:07:20,620 INFO ofi_add_2_30: -1.7253753035866535e-07 , std 2.6633993973737957e-06 
2023-05-09 15:07:20,620 INFO ofi_add_3_30: -2.0481267078104444e-07 , std 2.9221605976623517e-06 
2023-05-09 15:07:20,620 INFO ofi_add_4_30: -2.1538852106065535e-07 , std 2.706348308824432e-06 
2023-05-09 15:07:20,620 INFO ofi_add_5_30: -2.1668056350349312e-07 , std 2.781333593331283e-06 
2023-05-09 15:07:20,620 INFO ofi_add_6_30: -2.248603471079625e-07 , std 2.64600856774058e-06 
2023-05-09 15:07:20,620 INFO ofi_add_7_30: -2.1901483524803059e-07 , std 2.82004079677333e-06 
2023-05-09 15:07:20,620 INFO ofi_add_8_30: -2.350749994910271e-07 , std 2.749407835129887e-06 
2023-05-09 15:07:20,620 INFO ofi_add_9_30: -2.6106434461332334e-07 , std 2.7748987287179904e-06 
2023-05-09 15:07:20,620 INFO ofi_add_10_30: -3.3618513725144367e-07 , std 3.2754059375766887e-06 
2023-05-09 15:07:20,620 INFO ofi_cancel_1_30: -2.811272985636306e-08 , std 1.1682131506093768e-06 
2023-05-09 15:07:20,620 INFO ofi_cancel_2_30: -5.0081610345660943e-08 , std 1.8324218492042435e-06 
2023-05-09 15:07:20,620 INFO ofi_cancel_3_30: -7.63035204199832e-08 , std 2.121783726833487e-06 
2023-05-09 15:07:20,620 INFO ofi_cancel_4_30: -8.95279060701345e-08 , std 2.247284415008163e-06 
2023-05-09 15:07:20,620 INFO ofi_cancel_5_30: -1.5643164731980846e-07 , std 2.8710945582751937e-06 
2023-05-09 15:07:20,620 INFO ofi_cancel_6_30: -1.582694870377725e-07 , std 2.560909119189965e-06 
2023-05-09 15:07:20,620 INFO ofi_cancel_7_30: -1.5475006094881149e-07 , std 2.5953200897618933e-06 
2023-05-09 15:07:20,620 INFO ofi_cancel_8_30: -1.7102412962761018e-07 , std 2.467902132926526e-06 
2023-05-09 15:07:20,620 INFO ofi_cancel_9_30: -1.4591465649122568e-07 , std 2.4659346658681353e-06 
2023-05-09 15:07:20,620 INFO ofi_cancel_10_30: -1.884939168956834e-07 , std 2.582853200263099e-06 
2023-05-09 15:07:20,620 INFO ofi_trade_1_30: -3.877738321462559e-10 , std 5.472217270458661e-07 
2023-05-09 15:07:20,620 INFO ofi_trade_2_30: -3.5556231390439232e-09 , std 5.157250652230369e-07 
2023-05-09 15:07:20,620 INFO ofi_trade_3_30: -8.262495703572765e-10 , std 1.9867201355263321e-07 
2023-05-09 15:07:20,620 INFO ofi_trade_4_30: -1.1421729182787056e-09 , std 2.1148079608933703e-07 
2023-05-09 15:07:20,620 INFO ofi_trade_5_30: -1.7502831086051047e-09 , std 3.243634240976983e-07 
2023-05-09 15:07:20,620 INFO ofi_trade_6_30: -2.1134988010201894e-09 , std 4.978282715212962e-07 
2023-05-09 15:07:20,620 INFO ofi_trade_7_30: -7.84652847770394e-09 , std 7.212254657688419e-07 
2023-05-09 15:07:20,620 INFO ofi_trade_8_30: -8.694835291713723e-09 , std 8.027211416013214e-07 
2023-05-09 15:07:20,620 INFO ofi_trade_9_30: -1.1790910498910796e-08 , std 8.017425618636351e-07 
2023-05-09 15:07:20,620 INFO ofi_trade_10_30: -1.3842112453558942e-08 , std 9.560709551047587e-07 
2023-05-09 15:07:20,620 INFO used_intercept: 0.9891677714836687 , std 0.10351275931836222 
2023-05-09 15:07:20,620 INFO used_ofi_add_1_1: 0.0011299264794504037 , std 0.033595382801829186 
2023-05-09 15:07:20,620 INFO used_ofi_add_2_1: 0.002139327467759431 , std 0.04620336292679483 
2023-05-09 15:07:20,620 INFO used_ofi_add_3_1: 0.0028825679964645857 , std 0.05361211428595541 
2023-05-09 15:07:20,620 INFO used_ofi_add_4_1: 0.002616407536860713 , std 0.05108387170586985 
2023-05-09 15:07:20,620 INFO used_ofi_add_5_1: 0.0033646699610300913 , std 0.05790810786999893 
2023-05-09 15:07:20,620 INFO used_ofi_add_6_1: 0.004253545458197742 , std 0.06508035655428439 
2023-05-09 15:07:20,620 INFO used_ofi_add_7_1: 0.004404202322124463 , std 0.06621786257521647 
2023-05-09 15:07:20,621 INFO used_ofi_add_8_1: 0.004831063436583504 , std 0.06933775495828524 
2023-05-09 15:07:20,621 INFO used_ofi_add_9_1: 0.005564260174360211 , std 0.07438614913458176 
2023-05-09 15:07:20,621 INFO used_ofi_add_10_1: 0.007100960186412759 , std 0.08396747317172133 
2023-05-09 15:07:20,621 INFO used_ofi_cancel_1_1: 0.0002812261459965449 , std 0.01676744040846285 
2023-05-09 15:07:20,621 INFO used_ofi_cancel_2_1: 0.0006277369330280021 , std 0.025046813756861658 
2023-05-09 15:07:20,621 INFO used_ofi_cancel_3_1: 0.0010294885701659234 , std 0.03206912414534923 
2023-05-09 15:07:20,621 INFO used_ofi_cancel_4_1: 0.0011449921658430759 , std 0.03381835535302144 
2023-05-09 15:07:20,621 INFO used_ofi_cancel_5_1: 0.0018480575308344382 , std 0.04294929818049609 
2023-05-09 15:07:20,621 INFO used_ofi_cancel_6_1: 0.002144349363223655 , std 0.04625744403911761 
2023-05-09 15:07:20,621 INFO used_ofi_cancel_7_1: 0.0022849624362219277 , std 0.047746637398742346 
2023-05-09 15:07:20,621 INFO used_ofi_cancel_8_1: 0.0021795026314732234 , std 0.04663424063660333 
2023-05-09 15:07:20,621 INFO used_ofi_cancel_9_1: 0.0026013418504680407 , std 0.05093696959031863 
2023-05-09 15:07:20,621 INFO used_ofi_cancel_10_1: 0.0028323490418223456 , std 0.05314439613663546 
2023-05-09 15:07:20,621 INFO used_ofi_trade_1_1: 3.5153268249568114e-05 , std 0.005928914951093454 
2023-05-09 15:07:20,621 INFO used_ofi_trade_2_1: 2.5109477321120085e-05 , std 0.005010872861614906 
2023-05-09 15:07:20,621 INFO used_ofi_trade_3_1: 2.008758185689607e-05 , std 0.0044818721920589395 
2023-05-09 15:07:20,621 INFO used_ofi_trade_4_1: 3.5153268249568114e-05 , std 0.005928914951093454 
2023-05-09 15:07:20,621 INFO used_ofi_trade_5_1: 2.008758185689607e-05 , std 0.0044818721920589395 
2023-05-09 15:07:20,621 INFO used_ofi_trade_6_1: 0.00010545980474870436 , std 0.01026882091470519 
2023-05-09 15:07:20,621 INFO used_ofi_trade_7_1: 6.02627455706882e-05 , std 0.007762674408487352 
2023-05-09 15:07:20,621 INFO used_ofi_trade_8_1: 6.02627455706882e-05 , std 0.007762674408487351 
2023-05-09 15:07:20,621 INFO used_ofi_trade_9_1: 0.00012554738660560042 , std 0.011204089630992642 
2023-05-09 15:07:20,621 INFO used_ofi_trade_10_1: 7.532843196336024e-05 , std 0.008678868451053869 
2023-05-09 15:07:20,621 INFO used_ofi_add_1_2: 0.002099152304045639 , std 0.045768393719356794 
