2023-05-09 13:47:13,310 INFO Starting...
2023-05-09 13:47:13,310 INFO Tickers: ['CMCSA']
2023-05-09 13:48:39,068 INFO ofi_add_10_3: -4.9105725916076196e-08 , std 4.6677438672043325e-06 
2023-05-09 13:48:39,068 INFO ofi_cancel_1_3: -1.2337513952793558e-07 , std 7.837061831925093e-06 
2023-05-09 13:48:39,068 INFO ofi_cancel_2_3: 2.4183010835080925e-09 , std 6.232142161332418e-06 
2023-05-09 13:48:39,068 INFO ofi_cancel_3_3: -1.0756441862501937e-07 , std 5.96244486058832e-06 
2023-05-09 13:48:39,068 INFO ofi_cancel_4_3: -8.696637886314352e-08 , std 5.960614478968168e-06 
2023-05-09 13:48:39,068 INFO ofi_cancel_5_3: -1.3657045782907027e-08 , std 2.830431722343579e-06 
2023-05-09 13:48:39,068 INFO ofi_cancel_6_3: -5.3769849090281884e-09 , std 1.334775320827742e-06 
2023-05-09 13:48:39,068 INFO ofi_cancel_7_3: -8.951973354878573e-09 , std 2.3005715464524113e-06 
2023-05-09 13:48:39,068 INFO ofi_cancel_8_3: -5.444095572487371e-09 , std 1.4995923713707872e-06 
2023-05-09 13:48:39,068 INFO ofi_cancel_9_3: -4.165779981537612e-09 , std 8.481700475903933e-07 
2023-05-09 13:48:39,068 INFO ofi_cancel_10_3: -4.635211710361942e-10 , std 1.7392660562652512e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_1_3: -6.549126166279254e-09 , std 1.7306666646938851e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_2_3: -7.988136594005887e-08 , std 4.92035853826389e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_3_3: -8.955219956191319e-08 , std 5.9089196690408045e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_4_3: -1.4273628098050784e-07 , std 6.3744960477255145e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_5_3: -7.095308873056252e-08 , std 4.763209445910623e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_6_3: -2.0665537823664545e-08 , std 2.125734076854167e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_7_3: -2.990700505311528e-08 , std 4.113700446868194e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_8_3: -2.280710426763114e-08 , std 2.99603982982552e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_9_3: -4.1240646343674954e-08 , std 4.053106105195891e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_10_3: -1.9264769848478095e-08 , std 3.910112209645125e-06 
2023-05-09 13:48:39,068 INFO ofi_add_1_5: -2.4743182772410604e-06 , std 1.3815256527906819e-05 
2023-05-09 13:48:39,069 INFO ofi_add_2_5: -7.884862448464231e-07 , std 1.1341196680858718e-05 
2023-05-09 13:48:39,069 INFO ofi_add_3_5: -1.8860325469016483e-07 , std 8.060526176705596e-06 
2023-05-09 13:48:39,069 INFO ofi_add_4_5: -2.5086840605535155e-07 , std 7.947764448037737e-06 
2023-05-09 13:48:39,069 INFO ofi_add_5_5: -2.0021289193880203e-07 , std 7.138466204547182e-06 
2023-05-09 13:48:39,069 INFO ofi_add_6_5: -8.314841111561676e-08 , std 4.312526472630653e-06 
2023-05-09 13:48:39,069 INFO ofi_add_7_5: -6.484203149617075e-08 , std 3.4841923824169576e-06 
2023-05-09 13:48:39,069 INFO ofi_add_8_5: -5.684885763997392e-08 , std 4.058766874537984e-06 
2023-05-09 13:48:39,069 INFO ofi_add_9_5: -6.06606161874882e-08 , std 4.095099313987112e-06 
2023-05-09 13:48:39,069 INFO ofi_add_10_5: -5.726526960565755e-08 , std 4.36908300403385e-06 
2023-05-09 13:48:39,069 INFO ofi_cancel_1_5: -1.0811272926533717e-07 , std 9.443732721104012e-06 
2023-05-09 13:48:39,069 INFO ofi_cancel_2_5: -3.5279678879449837e-08 , std 6.381041659404201e-06 
2023-05-09 13:48:39,069 INFO ofi_cancel_3_5: -1.3158209675663094e-07 , std 6.349161442179944e-06 
2023-05-09 13:48:39,069 INFO ofi_cancel_4_5: -8.56760158054912e-08 , std 5.0448790348567736e-06 
2023-05-09 13:48:39,069 INFO ofi_cancel_5_5: -1.893044659893908e-08 , std 2.265582356466362e-06 
2023-05-09 13:48:39,069 INFO ofi_cancel_6_5: -7.55046880143387e-09 , std 1.5949390186954643e-06 
2023-05-09 13:48:39,069 INFO ofi_cancel_7_5: -6.156834282236998e-09 , std 1.6111399844170222e-06 
2023-05-09 13:48:39,069 INFO ofi_cancel_8_5: -7.737563904022157e-09 , std 1.534341202593473e-06 
2023-05-09 13:48:39,069 INFO ofi_cancel_9_5: -1.216686460697602e-09 , std 1.2212243759117806e-06 
2023-05-09 13:48:39,069 INFO ofi_cancel_10_5: -3.327145197976281e-09 , std 1.1678107552510218e-06 
2023-05-09 13:48:39,069 INFO ofi_trade_1_5: 6.156124940288153e-10 , std 6.077852715915905e-07 
2023-05-09 13:48:39,069 INFO ofi_trade_2_5: -9.225525146215556e-08 , std 4.550909108316019e-06 
2023-05-09 13:48:39,069 INFO ofi_trade_3_5: -1.4172161074216745e-07 , std 6.087802013821286e-06 
2023-05-09 13:48:39,069 INFO ofi_trade_4_5: -9.285797412115713e-08 , std 4.63975805117439e-06 
2023-05-09 13:48:39,069 INFO ofi_trade_5_5: -7.862313615158493e-08 , std 5.2695400062982545e-06 
2023-05-09 13:48:39,069 INFO ofi_trade_6_5: -3.358514790035645e-08 , std 2.872191145299271e-06 
2023-05-09 13:48:39,069 INFO ofi_trade_7_5: -3.668112134047542e-08 , std 3.6328465266364065e-06 
2023-05-09 13:48:39,069 INFO ofi_trade_8_5: -2.298224782865419e-08 , std 2.611513213446198e-06 
2023-05-09 13:48:39,069 INFO ofi_trade_9_5: -2.4546272717536348e-08 , std 2.8406394710179246e-06 
2023-05-09 13:48:39,069 INFO ofi_trade_10_5: -2.6241760962701077e-08 , std 2.551610099878779e-06 
2023-05-09 13:48:39,069 INFO ofi_add_1_10: -3.086378899361779e-06 , std 1.4223926387738045e-05 
2023-05-09 13:48:39,069 INFO ofi_add_2_10: -8.674364112798314e-07 , std 1.0722053979140864e-05 
2023-05-09 13:48:39,069 INFO ofi_add_3_10: -2.663112279561656e-07 , std 8.806892404685886e-06 
2023-05-09 13:48:39,069 INFO ofi_add_4_10: -2.356667035402699e-07 , std 7.808578330542734e-06 
2023-05-09 13:48:39,069 INFO ofi_add_5_10: -1.835444570038898e-07 , std 6.332884603848511e-06 
