2023-05-09 15:21:15,908 INFO Starting...
2023-05-09 15:21:15,908 INFO Tickers: ['ISRG']
2023-05-09 15:22:54,378 INFO ofi_add_10_3: -4.867578068104333e-08 , std 2.491567951603543e-06 
2023-05-09 15:22:54,378 INFO ofi_cancel_1_3: -1.0901989240125902e-08 , std 1.081918683951958e-06 
2023-05-09 15:22:54,378 INFO ofi_cancel_2_3: -2.246592379827595e-08 , std 1.474514560267596e-06 
2023-05-09 15:22:54,378 INFO ofi_cancel_3_3: -2.453666789908129e-08 , std 1.601153173413244e-06 
2023-05-09 15:22:54,378 INFO ofi_cancel_4_3: -2.4038652321599146e-08 , std 1.404083943682057e-06 
2023-05-09 15:22:54,378 INFO ofi_cancel_5_3: -2.783645273460894e-08 , std 1.4532002303994748e-06 
2023-05-09 15:22:54,378 INFO ofi_cancel_6_3: -2.640464279951073e-08 , std 1.1315117023995471e-06 
2023-05-09 15:22:54,378 INFO ofi_cancel_7_3: -2.1475237606625526e-08 , std 1.4670031272147228e-06 
2023-05-09 15:22:54,378 INFO ofi_cancel_8_3: -2.847616200622896e-08 , std 1.6970359548578485e-06 
2023-05-09 15:22:54,378 INFO ofi_cancel_9_3: -3.302923087825682e-08 , std 2.001017235420253e-06 
2023-05-09 15:22:54,378 INFO ofi_cancel_10_3: -3.760944426700599e-08 , std 1.9293847533423146e-06 
2023-05-09 15:22:54,378 INFO ofi_trade_1_3: -3.4077133809424153e-09 , std 8.285433629299208e-07 
2023-05-09 15:22:54,378 INFO ofi_trade_2_3: -8.118413971505153e-09 , std 1.204074298632133e-06 
2023-05-09 15:22:54,378 INFO ofi_trade_3_3: -9.67625378246346e-10 , std 2.1059856190514615e-07 
2023-05-09 15:22:54,378 INFO ofi_trade_4_3: -3.7154596051147666e-11 , std 1.6576280582609817e-08 
2023-05-09 15:22:54,378 INFO ofi_trade_5_3: -2.5492997232985257e-10 , std 1.1373534365544703e-07 
2023-05-09 15:22:54,378 INFO ofi_trade_6_3: -1.956690484858591e-09 , std 8.729646917891065e-07 
2023-05-09 15:22:54,378 INFO ofi_trade_7_3: -1.0251839961459143e-09 , std 3.234174277048586e-07 
2023-05-09 15:22:54,378 INFO ofi_trade_8_3: -3.106581914343238e-09 , std 9.449139278135326e-07 
