2023-05-09 14:06:42,407 INFO Starting...
2023-05-09 14:06:42,407 INFO Tickers: ['NVDA']
2023-05-09 14:08:17,577 INFO ofi_add_2_20: -9.353060407651628e-08 , std 2.023160732776275e-06 
2023-05-09 14:08:17,577 INFO ofi_add_3_20: -7.97015174297253e-08 , std 1.8479272554425023e-06 
2023-05-09 14:08:17,577 INFO ofi_add_4_20: -6.851505948567554e-08 , std 1.696079523909251e-06 
2023-05-09 14:08:17,577 INFO ofi_add_5_20: -8.18542242909232e-08 , std 2.04163933777083e-06 
2023-05-09 14:08:17,577 INFO ofi_add_6_20: -9.05350842088564e-08 , std 1.893252859501313e-06 
2023-05-09 14:08:17,577 INFO ofi_add_7_20: -8.090527716796239e-08 , std 1.83178738943421e-06 
2023-05-09 14:08:17,577 INFO ofi_add_8_20: -8.016728559484691e-08 , std 1.8818337057723125e-06 
2023-05-09 14:08:17,577 INFO ofi_add_9_20: -9.008193389824879e-08 , std 1.9194202230212177e-06 
2023-05-09 14:08:17,577 INFO ofi_add_10_20: -1.0669992050964089e-07 , std 2.1867736259810788e-06 
2023-05-09 14:08:17,577 INFO ofi_cancel_1_20: -3.2986076546263253e-09 , std 4.3637657867806837e-07 
2023-05-09 14:08:17,577 INFO ofi_cancel_2_20: -1.9435064258349313e-08 , std 9.457963379785674e-07 
2023-05-09 14:08:17,577 INFO ofi_cancel_3_20: -4.712224141215502e-08 , std 1.53460578115847e-06 
2023-05-09 14:08:17,577 INFO ofi_cancel_4_20: -5.558874121703585e-08 , std 1.6351810017507861e-06 
2023-05-09 14:08:17,577 INFO ofi_cancel_5_20: -6.714759493040536e-08 , std 1.5526083236570248e-06 
2023-05-09 14:08:17,577 INFO ofi_cancel_6_20: -6.404508409606628e-08 , std 1.4668855087534577e-06 
2023-05-09 14:08:17,577 INFO ofi_cancel_7_20: -8.178963437904481e-08 , std 1.610417178319361e-06 
2023-05-09 14:08:17,577 INFO ofi_cancel_8_20: -8.065595871930624e-08 , std 1.4283372119552708e-06 
2023-05-09 14:08:17,577 INFO ofi_cancel_9_20: -9.152898380604799e-08 , std 1.6385439005159397e-06 
2023-05-09 14:08:17,577 INFO ofi_cancel_10_20: -1.1444316744840021e-07 , std 1.8121081309372022e-06 
2023-05-09 14:08:17,577 INFO ofi_trade_1_20: -4.090728269408329e-09 , std 5.914167735862417e-07 
2023-05-09 14:08:17,577 INFO ofi_trade_2_20: -2.5314383319649655e-08 , std 1.191945277464566e-06 
2023-05-09 14:08:17,578 INFO ofi_trade_3_20: -2.5786782643855572e-08 , std 1.043420730239639e-06 
2023-05-09 14:08:17,578 INFO ofi_trade_4_20: -3.363615545782749e-08 , std 1.4058124008225205e-06 
2023-05-09 14:08:17,578 INFO ofi_trade_5_20: -4.084373625759051e-08 , std 1.9686042003095707e-06 
2023-05-09 14:08:17,578 INFO ofi_trade_6_20: -4.324874864303486e-08 , std 1.6028703071624602e-06 
2023-05-09 14:08:17,578 INFO ofi_trade_7_20: -4.9902832386152354e-08 , std 1.532248403999727e-06 
2023-05-09 14:08:17,578 INFO ofi_trade_8_20: -4.500407597160056e-08 , std 1.5846033325611285e-06 
2023-05-09 14:08:17,578 INFO ofi_trade_9_20: -5.07964329824185e-08 , std 1.6362368648383136e-06 
