2023-05-09 13:08:53,584 INFO Starting...
2023-05-09 13:08:53,584 INFO Tickers: ['AAPL']
2023-05-09 13:10:28,604 INFO ofi_add_7_20: -3.696531684228787e-08 , std 1.2389907654474542e-06 
2023-05-09 13:10:28,604 INFO ofi_add_8_20: -4.5167839349854925e-08 , std 1.439083886203687e-06 
2023-05-09 13:10:28,604 INFO ofi_add_9_20: -3.619519070352196e-08 , std 1.383867387738069e-06 
2023-05-09 13:10:28,604 INFO ofi_add_10_20: -4.781285829065256e-08 , std 1.5772236061597023e-06 
2023-05-09 13:10:28,604 INFO ofi_cancel_1_20: -6.250695043173485e-09 , std 6.820560820054055e-07 
2023-05-09 13:10:28,604 INFO ofi_cancel_2_20: -2.5023170838052578e-08 , std 9.109030413754432e-07 
2023-05-09 13:10:28,604 INFO ofi_cancel_3_20: -3.6506355394052816e-08 , std 1.0912003228911173e-06 
2023-05-09 13:10:28,604 INFO ofi_cancel_4_20: -3.594847534674831e-08 , std 9.176577693701922e-07 
2023-05-09 13:10:28,604 INFO ofi_cancel_5_20: -4.662197127690941e-08 , std 1.0837806103204146e-06 
2023-05-09 13:10:28,604 INFO ofi_cancel_6_20: -3.8765255221352614e-08 , std 1.0363685444509817e-06 
2023-05-09 13:10:28,604 INFO ofi_cancel_7_20: -4.262298618118596e-08 , std 1.1128338667270291e-06 
2023-05-09 13:10:28,604 INFO ofi_cancel_8_20: -4.119703773417823e-08 , std 1.0783435140516345e-06 
2023-05-09 13:10:28,604 INFO ofi_cancel_9_20: -4.73712082886479e-08 , std 1.088065897588353e-06 
2023-05-09 13:10:28,604 INFO ofi_cancel_10_20: -4.293464717402734e-08 , std 9.79578710175655e-07 
2023-05-09 13:10:28,604 INFO ofi_trade_1_20: 4.4497559161877444e-11 , std 1.985643436429502e-08 
2023-05-09 13:10:28,604 INFO ofi_trade_2_20: -1.5854283418683874e-08 , std 8.858945468391142e-07 
2023-05-09 13:10:28,605 INFO ofi_trade_3_20: -1.2629885896417841e-08 , std 5.910952597983722e-07 
2023-05-09 13:10:28,605 INFO ofi_trade_4_20: -3.2024612973049314e-08 , std 1.1056139819140327e-06 
2023-05-09 13:10:28,605 INFO ofi_trade_5_20: -3.54406467477531e-08 , std 1.1480141260885434e-06 
2023-05-09 13:10:28,605 INFO ofi_trade_6_20: -3.791679864049204e-08 , std 1.09638121966731e-06 
2023-05-09 13:10:28,605 INFO ofi_trade_7_20: -4.5980121486747094e-08 , std 1.2200162902142847e-06 
2023-05-09 13:10:28,605 INFO ofi_trade_8_20: -3.789175300714654e-08 , std 1.0512360362705553e-06 
2023-05-09 13:10:28,605 INFO ofi_trade_9_20: -3.4413016505475796e-08 , std 8.975353467824564e-07 
2023-05-09 13:10:28,605 INFO ofi_trade_10_20: -3.7219806132426636e-08 , std 1.0797237265331135e-06 
2023-05-09 13:10:28,605 INFO ofi_add_1_30: -3.699105835843275e-07 , std 2.6367671682108072e-06 
2023-05-09 13:10:28,605 INFO ofi_add_2_30: -1.0868719520607322e-07 , std 1.8647363843194311e-06 
2023-05-09 13:10:28,605 INFO ofi_add_3_30: -3.787951134699574e-08 , std 1.2540581572389956e-06 
2023-05-09 13:10:28,605 INFO ofi_add_4_30: -4.1191705305762626e-08 , std 1.3753119522580492e-06 
2023-05-09 13:10:28,605 INFO ofi_add_5_30: -4.5390697298588205e-08 , std 1.4432565316612824e-06 
2023-05-09 13:10:28,605 INFO ofi_add_6_30: -6.523107807312375e-08 , std 1.4183275167899034e-06 
2023-05-09 13:10:28,605 INFO ofi_add_7_30: -4.6840119520004607e-08 , std 1.402080039506956e-06 
2023-05-09 13:10:28,605 INFO ofi_add_8_30: -3.403238436526933e-08 , std 1.435285099377069e-06 
2023-05-09 13:10:28,605 INFO ofi_add_9_30: -3.326734755118505e-08 , std 1.3689887529591992e-06 
2023-05-09 13:10:28,605 INFO ofi_add_10_30: -4.358008262098188e-08 , std 1.6890905124197033e-06 
2023-05-09 13:10:28,605 INFO ofi_cancel_1_30: -5.431386012718459e-09 , std 7.83395229602092e-07 
2023-05-09 13:10:28,605 INFO ofi_cancel_2_30: -2.9087481339100762e-08 , std 9.748788252878075e-07 
2023-05-09 13:10:28,605 INFO ofi_cancel_3_30: -4.753265184119002e-08 , std 1.1338261751790778e-06 
2023-05-09 13:10:28,605 INFO ofi_cancel_4_30: -4.238019896810623e-08 , std 1.057179227799066e-06 
2023-05-09 13:10:28,605 INFO ofi_cancel_5_30: -4.754701101145112e-08 , std 1.144897851390092e-06 
2023-05-09 13:10:28,605 INFO ofi_cancel_6_30: -3.791729733636713e-08 , std 1.2381661317037371e-06 
2023-05-09 13:10:28,605 INFO ofi_cancel_7_30: -4.051630352931644e-08 , std 1.0669067682855444e-06 
2023-05-09 13:10:28,605 INFO ofi_cancel_8_30: -4.278933146521031e-08 , std 1.042392312931556e-06 
2023-05-09 13:10:28,605 INFO ofi_cancel_9_30: -4.21613952119371e-08 , std 9.554012196679703e-07 
2023-05-09 13:10:28,605 INFO ofi_cancel_10_30: -4.780514597631657e-08 , std 1.073678594263501e-06 
2023-05-09 13:10:28,605 INFO ofi_trade_1_30: -1.825320676708094e-10 , std 3.583449429522454e-08 
2023-05-09 13:10:28,605 INFO ofi_trade_2_30: -1.3967240722879836e-08 , std 6.905905902381388e-07 
2023-05-09 13:10:28,605 INFO ofi_trade_3_30: -1.838124648185826e-08 , std 8.385034143676045e-07 
2023-05-09 13:10:28,605 INFO ofi_trade_4_30: -3.0010655487429354e-08 , std 1.1897533163655137e-06 
2023-05-09 13:10:28,605 INFO ofi_trade_5_30: -3.6284523565395704e-08 , std 1.0004112353377213e-06 
2023-05-09 13:10:28,605 INFO ofi_trade_6_30: -4.55605236230811e-08 , std 1.1222286085897931e-06 
2023-05-09 13:10:28,605 INFO ofi_trade_7_30: -5.087368874665725e-08 , std 1.3241130211115505e-06 
2023-05-09 13:10:28,605 INFO ofi_trade_8_30: -3.931338521397231e-08 , std 1.0488681086589046e-06 
2023-05-09 13:10:28,605 INFO ofi_trade_9_30: -4.5338915030695464e-08 , std 1.1191582812867804e-06 
2023-05-09 13:10:28,605 INFO ofi_trade_10_30: -4.1339407173886525e-08 , std 9.319858080153722e-07 
