2023-05-09 15:22:55,071 INFO Starting...
2023-05-09 15:22:55,071 INFO Tickers: ['D']
2023-05-09 15:24:27,844 INFO ofi_cancel_9_3: -5.266096695484301e-08 , std 2.890425792490867e-06 
2023-05-09 15:24:27,844 INFO ofi_cancel_10_3: -6.28400771408472e-08 , std 2.532757891353485e-06 
2023-05-09 15:24:27,844 INFO ofi_trade_1_3: -5.818863796130756e-10 , std 2.5965893235247696e-07 
2023-05-09 15:24:27,844 INFO ofi_trade_2_3: -1.7377642134743484e-08 , std 1.7345378279727794e-06 
2023-05-09 15:24:27,844 INFO ofi_trade_3_3: -3.2906231777172834e-08 , std 2.1533457031067597e-06 
2023-05-09 15:24:27,844 INFO ofi_trade_4_3: -4.068419541204531e-08 , std 2.4975350954376096e-06 
2023-05-09 15:24:27,844 INFO ofi_trade_5_3: -5.588794462098434e-08 , std 3.740597337933221e-06 
2023-05-09 15:24:27,844 INFO ofi_trade_6_3: -4.475153742985549e-08 , std 3.111623105091037e-06 
2023-05-09 15:24:27,844 INFO ofi_trade_7_3: -1.6166861736126778e-08 , std 1.6530251700620148e-06 
2023-05-09 15:24:27,844 INFO ofi_trade_8_3: -1.1162654631510821e-08 , std 1.921583847236134e-06 
2023-05-09 15:24:27,844 INFO ofi_trade_9_3: -2.7421279439139646e-09 , std 7.11800547784148e-07 
2023-05-09 15:24:27,844 INFO ofi_trade_10_3: -2.911100994947378e-09 , std 7.637101867498964e-07 
2023-05-09 15:24:27,844 INFO ofi_add_1_5: -8.433092021846292e-07 , std 7.739549825644747e-06 
2023-05-09 15:24:27,844 INFO ofi_add_2_5: -4.117374482548668e-07 , std 5.727159397967435e-06 
2023-05-09 15:24:27,844 INFO ofi_add_3_5: -3.309327496001808e-07 , std 5.298684870263319e-06 
2023-05-09 15:24:27,844 INFO ofi_add_4_5: -4.1552394459629586e-07 , std 5.798403404011018e-06 
2023-05-09 15:24:27,844 INFO ofi_add_5_5: -3.015253799104261e-07 , std 4.738653038228668e-06 
2023-05-09 15:24:27,844 INFO ofi_add_6_5: -2.6391040604310374e-07 , std 4.700303978369127e-06 
2023-05-09 15:24:27,844 INFO ofi_add_7_5: -2.0747845868535947e-07 , std 4.453120870608621e-06 
2023-05-09 15:24:27,844 INFO ofi_add_8_5: -1.3854219171260885e-07 , std 3.785274368540687e-06 
2023-05-09 15:24:27,844 INFO ofi_add_9_5: -1.2961588842223275e-07 , std 3.110757555504038e-06 
2023-05-09 15:24:27,844 INFO ofi_add_10_5: -1.8778404682652587e-07 , std 4.186222564410045e-06 
2023-05-09 15:24:27,844 INFO ofi_cancel_1_5: -1.227150560243071e-07 , std 3.970015661898957e-06 
2023-05-09 15:24:27,844 INFO ofi_cancel_2_5: -2.758653089055424e-07 , std 5.032702595211561e-06 
2023-05-09 15:24:27,844 INFO ofi_cancel_3_5: -2.6241146489096685e-07 , std 4.532984304653653e-06 
2023-05-09 15:24:27,844 INFO ofi_cancel_4_5: -2.1174607980435288e-07 , std 4.359814841777734e-06 
2023-05-09 15:24:27,844 INFO ofi_cancel_5_5: -1.80398963421455e-07 , std 4.297827994714363e-06 
2023-05-09 15:24:27,844 INFO ofi_cancel_6_5: -1.3434211643107515e-07 , std 3.6259714803131603e-06 
2023-05-09 15:24:27,845 INFO ofi_cancel_7_5: -7.095170221296886e-08 , std 2.54584810403254e-06 
2023-05-09 15:24:27,845 INFO ofi_cancel_8_5: -7.055367285100528e-08 , std 2.4805731233792006e-06 
2023-05-09 15:24:27,845 INFO ofi_cancel_9_5: -5.5795994772647245e-08 , std 2.2684140521628115e-06 
2023-05-09 15:24:27,845 INFO ofi_cancel_10_5: -5.660604965755011e-08 , std 2.305789762315151e-06 
2023-05-09 15:24:27,845 INFO ofi_trade_1_5: -3.400606615971829e-09 , std 8.224781382888064e-07 
2023-05-09 15:24:27,845 INFO ofi_trade_2_5: -1.8827623548681517e-08 , std 1.902988021177556e-06 
2023-05-09 15:24:27,845 INFO ofi_trade_3_5: -6.128399196698449e-08 , std 3.1365187865310652e-06 
2023-05-09 15:24:27,845 INFO ofi_trade_4_5: -3.755175061976223e-08 , std 2.10078989663276e-06 
2023-05-09 15:24:27,845 INFO ofi_trade_5_5: -3.4348177791240334e-08 , std 1.9237938291645117e-06 
2023-05-09 15:24:27,845 INFO ofi_trade_6_5: -2.0878368382156627e-08 , std 1.5875914394877066e-06 
2023-05-09 15:24:27,845 INFO ofi_trade_7_5: -2.7574965419581472e-08 , std 2.3383610523145598e-06 
2023-05-09 15:24:27,845 INFO ofi_trade_8_5: -1.2144503132635214e-08 , std 1.1346178593398034e-06 
2023-05-09 15:24:27,845 INFO ofi_trade_9_5: -6.880244059619881e-09 , std 9.317095326272292e-07 
2023-05-09 15:24:27,845 INFO ofi_trade_10_5: -2.0106917780000327e-09 , std 4.128508849461838e-07 
2023-05-09 15:24:27,845 INFO ofi_add_1_10: -1.0049538139745103e-06 , std 8.04616262044861e-06 
2023-05-09 15:24:27,845 INFO ofi_add_2_10: -5.040973150290713e-07 , std 6.0584537674244815e-06 
2023-05-09 15:24:27,845 INFO ofi_add_3_10: -3.6819804367185957e-07 , std 5.2090397655294495e-06 
2023-05-09 15:24:27,845 INFO ofi_add_4_10: -4.7206826117672676e-07 , std 5.873257608075434e-06 
2023-05-09 15:24:27,845 INFO ofi_add_5_10: -4.030337775170246e-07 , std 5.129747797568633e-06 
2023-05-09 15:24:27,845 INFO ofi_add_6_10: -3.539522577967819e-07 , std 5.028964655105934e-06 
2023-05-09 15:24:27,845 INFO ofi_add_7_10: -2.622985456782716e-07 , std 4.866082795161017e-06 
2023-05-09 15:24:27,845 INFO ofi_add_8_10: -1.4987965593836034e-07 , std 3.7007162935524265e-06 
2023-05-09 15:24:27,845 INFO ofi_add_9_10: -1.47999457605559e-07 , std 3.6405702976650514e-06 
2023-05-09 15:24:27,845 INFO ofi_add_10_10: -2.865816022585839e-07 , std 4.897398090280193e-06 
2023-05-09 15:24:27,845 INFO ofi_cancel_1_10: -1.6272090171566664e-07 , std 3.813565604035048e-06 
2023-05-09 15:24:27,845 INFO ofi_cancel_2_10: -2.7640804514986853e-07 , std 4.803978649772605e-06 
2023-05-09 15:24:27,845 INFO ofi_cancel_3_10: -3.163467955820985e-07 , std 5.263243019594449e-06 
2023-05-09 15:24:27,845 INFO ofi_cancel_4_10: -2.0079325619123483e-07 , std 4.213962857199599e-06 
2023-05-09 15:24:27,845 INFO ofi_cancel_5_10: -1.9929102682455388e-07 , std 4.476861797934694e-06 
2023-05-09 15:24:27,845 INFO ofi_cancel_6_10: -1.4678563211068216e-07 , std 3.931837825987368e-06 
2023-05-09 15:24:27,845 INFO ofi_cancel_7_10: -8.968540698521405e-08 , std 2.8386776314248005e-06 
2023-05-09 15:24:27,845 INFO ofi_cancel_8_10: -7.189948559288153e-08 , std 2.6336295911991594e-06 
2023-05-09 15:24:27,845 INFO ofi_cancel_9_10: -7.451944484091453e-08 , std 2.6494647153243914e-06 
2023-05-09 15:24:27,845 INFO ofi_cancel_10_10: -7.685388529498939e-08 , std 2.6737659502186345e-06 
2023-05-09 15:24:27,845 INFO ofi_trade_1_10: 5.005770145632545e-11 , std 2.9101384087578148e-08 
2023-05-09 15:24:27,845 INFO ofi_trade_2_10: -2.839652572322429e-08 , std 2.783057515563621e-06 
2023-05-09 15:24:27,845 INFO ofi_trade_3_10: -4.935525910615879e-08 , std 2.28297772738775e-06 
2023-05-09 15:24:27,845 INFO ofi_trade_4_10: -5.685876765770054e-08 , std 2.6417237656715614e-06 
2023-05-09 15:24:27,845 INFO ofi_trade_5_10: -4.618797839552168e-08 , std 2.5477725180912005e-06 
2023-05-09 15:24:27,845 INFO ofi_trade_6_10: -1.5333910574744765e-08 , std 1.4698192881930362e-06 
2023-05-09 15:24:27,845 INFO ofi_trade_7_10: -2.6285369578590278e-08 , std 2.2375272445833354e-06 
2023-05-09 15:24:27,845 INFO ofi_trade_8_10: -9.69603364599562e-09 , std 1.076296730560815e-06 
2023-05-09 15:24:27,845 INFO ofi_trade_9_10: -3.794647421645371e-09 , std 8.511214622180421e-07 
2023-05-09 15:24:27,845 INFO ofi_trade_10_10: -3.3130800693969473e-09 , std 1.1820392821092665e-06 
2023-05-09 15:24:27,845 INFO ofi_add_1_20: -9.956899965316216e-07 , std 7.523435122074146e-06 
2023-05-09 15:24:27,845 INFO ofi_add_2_20: -5.767348371205599e-07 , std 6.618595147456543e-06 
2023-05-09 15:24:27,845 INFO ofi_add_3_20: -4.0944544753076107e-07 , std 5.3298860308625946e-06 
2023-05-09 15:24:27,845 INFO ofi_add_4_20: -5.321615503916918e-07 , std 5.736223786100298e-06 
2023-05-09 15:24:27,845 INFO ofi_add_5_20: -4.4446855127096774e-07 , std 5.315087752851025e-06 
2023-05-09 15:24:27,845 INFO ofi_add_6_20: -3.4624188740479103e-07 , std 4.914148969786882e-06 
2023-05-09 15:24:27,845 INFO ofi_add_7_20: -3.292650512111979e-07 , std 5.04468772016841e-06 
2023-05-09 15:24:27,845 INFO ofi_add_8_20: -1.9259789822753967e-07 , std 3.998791105477056e-06 
2023-05-09 15:24:27,845 INFO ofi_add_9_20: -2.18526978304041e-07 , std 4.5629982096969395e-06 
2023-05-09 15:24:27,845 INFO ofi_add_10_20: -2.865509629245587e-07 , std 4.7938935843614234e-06 
2023-05-09 15:24:27,845 INFO ofi_cancel_1_20: -1.8825409489820587e-07 , std 3.8030987953139507e-06 
2023-05-09 15:24:27,845 INFO ofi_cancel_2_20: -3.1171059765314575e-07 , std 4.6455173176630335e-06 
2023-05-09 15:24:27,845 INFO ofi_cancel_3_20: -3.2271521692750693e-07 , std 4.965270591688675e-06 
2023-05-09 15:24:27,846 INFO ofi_cancel_4_20: -2.714362384685903e-07 , std 4.41197449880809e-06 
2023-05-09 15:24:27,846 INFO ofi_cancel_5_20: -2.0147346721861435e-07 , std 3.821064297623622e-06 
2023-05-09 15:24:27,846 INFO ofi_cancel_6_20: -1.7665427799778802e-07 , std 3.6048171441608076e-06 
2023-05-09 15:24:27,846 INFO ofi_cancel_7_20: -8.50743025455065e-08 , std 3.1903086434097813e-06 
2023-05-09 15:24:27,846 INFO ofi_cancel_8_20: -8.449214059750014e-08 , std 2.6634418709485454e-06 
2023-05-09 15:24:27,846 INFO ofi_cancel_9_20: -7.364399807297397e-08 , std 2.770900727313282e-06 
2023-05-09 15:24:27,846 INFO ofi_cancel_10_20: -1.1572350059175045e-07 , std 2.8931165565800696e-06 
2023-05-09 15:24:27,846 INFO ofi_trade_1_20: -2.7915107815048584e-09 , std 3.561128229823476e-07 
2023-05-09 15:24:27,846 INFO ofi_trade_2_20: -2.2688783835387633e-08 , std 1.6704244856845624e-06 
2023-05-09 15:24:27,846 INFO ofi_trade_3_20: -4.4695097513372493e-08 , std 2.1509831774455792e-06 
2023-05-09 15:24:27,846 INFO ofi_trade_4_20: -5.415845860315645e-08 , std 2.5297815707391893e-06 
2023-05-09 15:24:27,846 INFO ofi_trade_5_20: -2.8147329349906345e-08 , std 1.8741792307006517e-06 
2023-05-09 15:24:27,846 INFO ofi_trade_6_20: -3.368345379066793e-08 , std 2.197735246090708e-06 
2023-05-09 15:24:27,846 INFO ofi_trade_7_20: -2.3095480281194845e-08 , std 1.7558128687691411e-06 
2023-05-09 15:24:27,846 INFO ofi_trade_8_20: -8.195843698046273e-09 , std 9.02374681927382e-07 
2023-05-09 15:24:27,846 INFO ofi_trade_9_20: -4.844725348178877e-09 , std 7.663238076287887e-07 
2023-05-09 15:24:27,846 INFO ofi_trade_10_20: -9.855887328598672e-09 , std 1.3113495522197979e-06 
2023-05-09 15:24:27,846 INFO ofi_add_1_30: -9.950190107754575e-07 , std 7.615692059510406e-06 
2023-05-09 15:24:27,846 INFO ofi_add_2_30: -6.141734757925705e-07 , std 6.255741801318359e-06 
2023-05-09 15:24:27,846 INFO ofi_add_3_30: -4.850975164938065e-07 , std 5.8659595423127655e-06 
2023-05-09 15:24:27,846 INFO ofi_add_4_30: -5.893418401424977e-07 , std 6.19330892949164e-06 
