2023-05-09 14:19:15,166 INFO Starting...
2023-05-09 14:19:15,166 INFO Tickers: ['AVGO']
2023-05-09 14:20:50,988 INFO ofi_add_3_5: -1.2214134444898534e-07 , std 2.3733879172152303e-06 
2023-05-09 14:20:50,988 INFO ofi_add_4_5: -1.3334380822453176e-07 , std 2.3354422285807647e-06 
2023-05-09 14:20:50,988 INFO ofi_add_5_5: -1.2914027107260007e-07 , std 2.2001920710653078e-06 
2023-05-09 14:20:50,988 INFO ofi_add_6_5: -1.3907076108426971e-07 , std 2.262283983033442e-06 
2023-05-09 14:20:50,988 INFO ofi_add_7_5: -1.2046090864396844e-07 , std 2.235631186002107e-06 
2023-05-09 14:20:50,988 INFO ofi_add_8_5: -1.1696946288346021e-07 , std 2.1075244282623217e-06 
2023-05-09 14:20:50,988 INFO ofi_add_9_5: -1.1587869916840689e-07 , std 2.1311495638365443e-06 
2023-05-09 14:20:50,988 INFO ofi_add_10_5: -1.8187029782632505e-07 , std 2.7938865642712005e-06 
2023-05-09 14:20:50,988 INFO ofi_cancel_1_5: -1.2790612647427295e-08 , std 6.979835983417402e-07 
2023-05-09 14:20:50,988 INFO ofi_cancel_2_5: -3.4149558785662025e-08 , std 1.5985737774852953e-06 
2023-05-09 14:20:50,988 INFO ofi_cancel_3_5: -4.028762192514559e-08 , std 1.4574795977114177e-06 
2023-05-09 14:20:50,988 INFO ofi_cancel_4_5: -3.990113433860342e-08 , std 1.5899538091129434e-06 
2023-05-09 14:20:50,988 INFO ofi_cancel_5_5: -4.447720327135008e-08 , std 1.5542724171552415e-06 
2023-05-09 14:20:50,988 INFO ofi_cancel_6_5: -3.8049749781932995e-08 , std 1.3847792177455374e-06 
2023-05-09 14:20:50,988 INFO ofi_cancel_7_5: -4.54440768484856e-08 , std 1.5409949130383145e-06 
2023-05-09 14:20:50,988 INFO ofi_cancel_8_5: -4.2580038512971935e-08 , std 1.6170643694948267e-06 
2023-05-09 14:20:50,988 INFO ofi_cancel_9_5: -5.244703899681523e-08 , std 1.623898424621503e-06 
2023-05-09 14:20:50,988 INFO ofi_cancel_10_5: -7.658193060443817e-08 , std 1.9643459869379506e-06 
2023-05-09 14:20:50,988 INFO ofi_trade_1_5: -2.4147254297536992e-09 , std 4.659298794460339e-07 
2023-05-09 14:20:50,988 INFO ofi_trade_2_5: -2.9969095418209374e-09 , std 4.1995651314422447e-07 
2023-05-09 14:20:50,988 INFO ofi_trade_3_5: -5.24334790177427e-09 , std 5.310323156013981e-07 
2023-05-09 14:20:50,988 INFO ofi_trade_4_5: -6.01852523694731e-09 , std 6.084710935515682e-07 
2023-05-09 14:20:50,988 INFO ofi_trade_5_5: -2.5263703478186957e-09 , std 3.001286396140686e-07 
2023-05-09 14:20:50,988 INFO ofi_trade_6_5: -5.138638401602533e-09 , std 7.004055871880366e-07 
2023-05-09 14:20:50,988 INFO ofi_trade_7_5: -2.494471004387365e-09 , std 4.117205388850223e-07 
2023-05-09 14:20:50,988 INFO ofi_trade_8_5: -3.48471371744479e-09 , std 5.796709637825474e-07 
2023-05-09 14:20:50,988 INFO ofi_trade_9_5: -6.017155847981546e-09 , std 6.128718565280526e-07 
2023-05-09 14:20:50,988 INFO ofi_trade_10_5: -1.0494047412398436e-08 , std 1.0443821842529315e-06 
2023-05-09 14:20:50,988 INFO ofi_add_1_10: -7.012300685716473e-08 , std 2.2893442631094286e-06 
2023-05-09 14:20:50,988 INFO ofi_add_2_10: -1.2746939937510704e-07 , std 2.233861876949364e-06 
2023-05-09 14:20:50,988 INFO ofi_add_3_10: -1.2193466674614772e-07 , std 2.314783647880016e-06 
2023-05-09 14:20:50,988 INFO ofi_add_4_10: -1.2182138290734762e-07 , std 1.9954809569190885e-06 
2023-05-09 14:20:50,988 INFO ofi_add_5_10: -1.4838879453759248e-07 , std 2.214624878032842e-06 
2023-05-09 14:20:50,988 INFO ofi_add_6_10: -1.3175575081746673e-07 , std 2.1127006979068555e-06 
2023-05-09 14:20:50,988 INFO ofi_add_7_10: -1.2137097671411122e-07 , std 1.964476367720625e-06 
2023-05-09 14:20:50,988 INFO ofi_add_8_10: -1.1046251779985371e-07 , std 2.078678099415511e-06 
2023-05-09 14:20:50,988 INFO ofi_add_9_10: -1.3868478559590373e-07 , std 2.3144847358925523e-06 
2023-05-09 14:20:50,988 INFO ofi_add_10_10: -1.7889100861077932e-07 , std 2.57038639063118e-06 
2023-05-09 14:20:50,988 INFO ofi_cancel_1_10: -1.3668588105607653e-08 , std 1.0614557787359692e-06 
2023-05-09 14:20:50,988 INFO ofi_cancel_2_10: -3.404787177633863e-08 , std 1.2775661294667079e-06 
2023-05-09 14:20:50,988 INFO ofi_cancel_3_10: -4.898878819586275e-08 , std 1.6371316659477957e-06 
