2023-05-09 13:50:05,672 INFO Starting...
2023-05-09 13:50:05,672 INFO Tickers: ['PEP']
2023-05-09 13:51:37,364 INFO ofi_cancel_9_3: -3.779285782221175e-08 , std 1.690691985782297e-06 
2023-05-09 13:51:37,364 INFO ofi_cancel_10_3: -2.868772359932577e-08 , std 1.893605085061195e-06 
2023-05-09 13:51:37,364 INFO ofi_trade_1_3: 1.5135640548357787e-10 , std 9.012080672407811e-08 
2023-05-09 13:51:37,364 INFO ofi_trade_2_3: -8.361461317499907e-09 , std 8.549803246350249e-07 
2023-05-09 13:51:37,364 INFO ofi_trade_3_3: -7.427537157432142e-09 , std 1.0088054235231138e-06 
2023-05-09 13:51:37,364 INFO ofi_trade_4_3: -2.8122215959677627e-08 , std 1.6174299529388403e-06 
2023-05-09 13:51:37,364 INFO ofi_trade_5_3: -4.34272616391061e-08 , std 1.950258698962796e-06 
2023-05-09 13:51:37,364 INFO ofi_trade_6_3: -2.897949043181658e-08 , std 1.6734785374418828e-06 
2023-05-09 13:51:37,364 INFO ofi_trade_7_3: -3.2405845353548435e-08 , std 1.8477536662342435e-06 
2023-05-09 13:51:37,364 INFO ofi_trade_8_3: -2.3108738491489952e-08 , std 1.4834382668464019e-06 
2023-05-09 13:51:37,364 INFO ofi_trade_9_3: -7.409442933386738e-09 , std 8.875560074699165e-07 
2023-05-09 13:51:37,364 INFO ofi_trade_10_3: -7.707621922245782e-09 , std 9.044928355548006e-07 
2023-05-09 13:51:37,365 INFO ofi_add_1_5: -2.962293079008195e-07 , std 4.202773279046316e-06 
2023-05-09 13:51:37,365 INFO ofi_add_2_5: -1.6074044914160653e-07 , std 3.064980352309867e-06 
2023-05-09 13:51:37,365 INFO ofi_add_3_5: -1.5920892652556362e-07 , std 2.9915053223268464e-06 
2023-05-09 13:51:37,365 INFO ofi_add_4_5: -1.950411014802223e-07 , std 3.0910908016715645e-06 
2023-05-09 13:51:37,365 INFO ofi_add_5_5: -2.3708630430777405e-07 , std 3.533266417177528e-06 
2023-05-09 13:51:37,365 INFO ofi_add_6_5: -2.8026426176727087e-07 , std 3.6600395334084734e-06 
2023-05-09 13:51:37,365 INFO ofi_add_7_5: -2.0472454367172663e-07 , std 3.1412836456149215e-06 
2023-05-09 13:51:37,365 INFO ofi_add_8_5: -1.6987734907629364e-07 , std 2.7384577657665484e-06 
2023-05-09 13:51:37,365 INFO ofi_add_9_5: -1.4292800349642802e-07 , std 2.7990946771823544e-06 
2023-05-09 13:51:37,365 INFO ofi_add_10_5: -1.9821058580093265e-07 , std 3.070225854793207e-06 
2023-05-09 13:51:37,365 INFO ofi_cancel_1_5: -2.5999350849686168e-08 , std 1.7987708818891391e-06 
2023-05-09 13:51:37,365 INFO ofi_cancel_2_5: -7.400995980969961e-08 , std 2.132374615194036e-06 
2023-05-09 13:51:37,365 INFO ofi_cancel_3_5: -9.01965225394529e-08 , std 2.3126459931880417e-06 
2023-05-09 13:51:37,365 INFO ofi_cancel_4_5: -1.3598834401442636e-07 , std 2.8142417469755788e-06 
2023-05-09 13:51:37,365 INFO ofi_cancel_5_5: -1.0610634046731986e-07 , std 2.4403317346946533e-06 
2023-05-09 13:51:37,365 INFO ofi_cancel_6_5: -1.2540100552945157e-07 , std 2.644304641777349e-06 
2023-05-09 13:51:37,365 INFO ofi_cancel_7_5: -6.173660271792468e-08 , std 2.111583218653021e-06 
2023-05-09 13:51:37,365 INFO ofi_cancel_8_5: -4.700484386300962e-08 , std 1.8709470689355443e-06 
2023-05-09 13:51:37,365 INFO ofi_cancel_9_5: -2.7824487149790472e-08 , std 1.5752786908522525e-06 
2023-05-09 13:51:37,365 INFO ofi_cancel_10_5: -2.7544473988936116e-08 , std 1.5732949092237451e-06 
2023-05-09 13:51:37,365 INFO ofi_trade_1_5: -1.3141246099350075e-09 , std 2.0591568128419396e-07 
2023-05-09 13:51:37,365 INFO ofi_trade_2_5: -6.970974842847398e-09 , std 6.853449516594692e-07 
2023-05-09 13:51:37,365 INFO ofi_trade_3_5: -2.5034533333229848e-08 , std 1.761147394925946e-06 
2023-05-09 13:51:37,365 INFO ofi_trade_4_5: -3.032084250789538e-08 , std 1.4285454937165212e-06 
2023-05-09 13:51:37,365 INFO ofi_trade_5_5: -3.415181385521782e-08 , std 1.667452542164547e-06 
2023-05-09 13:51:37,365 INFO ofi_trade_6_5: -3.5943208787831445e-08 , std 1.6471193041493925e-06 
2023-05-09 13:51:37,365 INFO ofi_trade_7_5: -3.4035106353071285e-08 , std 1.5183497593144497e-06 
2023-05-09 13:51:37,365 INFO ofi_trade_8_5: -1.8352236300114186e-08 , std 1.243544633056353e-06 
2023-05-09 13:51:37,365 INFO ofi_trade_9_5: -8.148405019421944e-09 , std 8.292084337216539e-07 
2023-05-09 13:51:37,365 INFO ofi_trade_10_5: -7.315187686484803e-09 , std 7.891725015181281e-07 
2023-05-09 13:51:37,365 INFO ofi_add_1_10: -3.717248219773274e-07 , std 4.550978645669947e-06 
2023-05-09 13:51:37,365 INFO ofi_add_2_10: -1.8429190627241408e-07 , std 2.970799121557093e-06 
