2023-05-09 14:02:04,111 INFO Starting...
2023-05-09 14:02:04,111 INFO Tickers: ['BMY']
2023-05-09 14:03:33,509 INFO ofi_add_5_5: -2.9001415066549294e-07 , std 5.8788630135753295e-06 
2023-05-09 14:03:33,509 INFO ofi_add_6_5: -2.2622485593427512e-07 , std 5.4103334579785655e-06 
2023-05-09 14:03:33,509 INFO ofi_add_7_5: -2.1310919945910865e-07 , std 5.626831159297897e-06 
2023-05-09 14:03:33,509 INFO ofi_add_8_5: -1.7035561175762688e-07 , std 5.11348264617486e-06 
2023-05-09 14:03:33,509 INFO ofi_add_9_5: -1.8150750761880818e-07 , std 4.9127182902699634e-06 
2023-05-09 14:03:33,509 INFO ofi_add_10_5: -1.4052928307383705e-07 , std 4.886248910623045e-06 
2023-05-09 14:03:33,509 INFO ofi_cancel_1_5: -1.303521128537001e-07 , std 6.22513725295216e-06 
2023-05-09 14:03:33,509 INFO ofi_cancel_2_5: -1.838871163104162e-07 , std 5.388778533877683e-06 
2023-05-09 14:03:33,509 INFO ofi_cancel_3_5: -1.8981412197991942e-07 , std 5.2341291015747195e-06 
2023-05-09 14:03:33,509 INFO ofi_cancel_4_5: -1.5355095510122578e-07 , std 4.701804462463224e-06 
2023-05-09 14:03:33,509 INFO ofi_cancel_5_5: -1.233824560163138e-07 , std 4.216164980116258e-06 
2023-05-09 14:03:33,509 INFO ofi_cancel_6_5: -5.9065565757123965e-08 , std 3.115407538443804e-06 
2023-05-09 14:03:33,509 INFO ofi_cancel_7_5: -3.7504104370905904e-08 , std 3.7448631083611714e-06 
2023-05-09 14:03:33,509 INFO ofi_cancel_8_5: -2.3936071426130847e-08 , std 2.2749516755795357e-06 
2023-05-09 14:03:33,509 INFO ofi_cancel_9_5: -2.5731199489971887e-08 , std 2.374400571515778e-06 
2023-05-09 14:03:33,509 INFO ofi_cancel_10_5: -4.584869425856339e-08 , std 2.2355279431006693e-06 
2023-05-09 14:03:33,509 INFO ofi_trade_1_5: -2.556069525266306e-09 , std 8.12143518667664e-07 
2023-05-09 14:03:33,509 INFO ofi_trade_2_5: -3.5861571401434245e-08 , std 2.920652510601027e-06 
2023-05-09 14:03:33,509 INFO ofi_trade_3_5: -1.0312308495306059e-07 , std 4.271703942690787e-06 
2023-05-09 14:03:33,509 INFO ofi_trade_4_5: -5.885546281295882e-08 , std 3.458468659384469e-06 
2023-05-09 14:03:33,509 INFO ofi_trade_5_5: -5.081951086958707e-08 , std 3.6626784145390665e-06 
2023-05-09 14:03:33,509 INFO ofi_trade_6_5: -2.976507014191155e-08 , std 2.696429631465933e-06 
2023-05-09 14:03:33,509 INFO ofi_trade_7_5: -2.473119221889205e-08 , std 2.5271516540000126e-06 
2023-05-09 14:03:33,509 INFO ofi_trade_8_5: -1.1146224850105779e-08 , std 1.3484927838862176e-06 
2023-05-09 14:03:33,509 INFO ofi_trade_9_5: -2.1481261987364435e-08 , std 2.446023377707046e-06 
2023-05-09 14:03:33,509 INFO ofi_trade_10_5: -1.2505037547025764e-08 , std 1.928604561599574e-06 
2023-05-09 14:03:33,509 INFO ofi_add_1_10: -2.009306727785883e-06 , std 1.1826310444072384e-05 
2023-05-09 14:03:33,509 INFO ofi_add_2_10: -6.27178380818133e-07 , std 8.049455959980645e-06 
2023-05-09 14:03:33,509 INFO ofi_add_3_10: -3.2908734022230706e-07 , std 6.166459780327755e-06 
2023-05-09 14:03:33,509 INFO ofi_add_4_10: -4.4427687861642294e-07 , std 6.505510290115985e-06 
2023-05-09 14:03:33,509 INFO ofi_add_5_10: -3.1253656847159905e-07 , std 5.795535682861467e-06 
2023-05-09 14:03:33,509 INFO ofi_add_6_10: -2.8627281283666915e-07 , std 5.503691521151385e-06 
2023-05-09 14:03:33,509 INFO ofi_add_7_10: -2.627130601184426e-07 , std 5.3717075334414124e-06 
2023-05-09 14:03:33,509 INFO ofi_add_8_10: -1.71091462677829e-07 , std 4.298831764301325e-06 
2023-05-09 14:03:33,509 INFO ofi_add_9_10: -1.714771230839759e-07 , std 4.884208948284511e-06 
2023-05-09 14:03:33,509 INFO ofi_add_10_10: -1.330622911934936e-07 , std 5.069677246894995e-06 
2023-05-09 14:03:33,510 INFO ofi_cancel_1_10: -1.8091507507555355e-07 , std 6.191379366918436e-06 
2023-05-09 14:03:33,510 INFO ofi_cancel_2_10: -2.175476246745377e-07 , std 5.030611887751479e-06 
2023-05-09 14:03:33,510 INFO ofi_cancel_3_10: -2.4823294536821823e-07 , std 5.556873993264599e-06 
2023-05-09 14:03:33,510 INFO ofi_cancel_4_10: -1.8135702865431516e-07 , std 5.758802773827873e-06 
2023-05-09 14:03:33,510 INFO ofi_cancel_5_10: -1.212934738116226e-07 , std 4.510090832472263e-06 
2023-05-09 14:03:33,510 INFO ofi_cancel_6_10: -8.259215732355117e-08 , std 3.4763148505445875e-06 
2023-05-09 14:03:33,510 INFO ofi_cancel_7_10: -2.1496983164036736e-08 , std 2.409547171141447e-06 
