2023-05-09 13:13:35,798 INFO Starting...
2023-05-09 13:13:35,798 INFO Tickers: ['FB']
2023-05-09 13:15:10,583 INFO ofi_cancel_10_5: -6.169368639705782e-08 , std 1.3578102263208436e-06 
2023-05-09 13:15:10,583 INFO ofi_trade_1_5: 0.0 , std 0.0 
2023-05-09 13:15:10,583 INFO ofi_trade_2_5: -1.0836310415773337e-08 , std 6.732038384130062e-07 
2023-05-09 13:15:10,583 INFO ofi_trade_3_5: -1.698484684031814e-08 , std 7.57354240772966e-07 
2023-05-09 13:15:10,583 INFO ofi_trade_4_5: -1.8230021818393955e-08 , std 8.686758606117003e-07 
2023-05-09 13:15:10,583 INFO ofi_trade_5_5: -3.113720991927662e-08 , std 1.2155546243029015e-06 
2023-05-09 13:15:10,583 INFO ofi_trade_6_5: -3.650572990331368e-08 , std 1.3043966854228057e-06 
2023-05-09 13:15:10,583 INFO ofi_trade_7_5: -5.22540937586271e-08 , std 1.4812977525657867e-06 
2023-05-09 13:15:10,583 INFO ofi_trade_8_5: -3.524802775811627e-08 , std 1.1864335789841344e-06 
2023-05-09 13:15:10,583 INFO ofi_trade_9_5: -3.3786374967367784e-08 , std 1.235667868027896e-06 
2023-05-09 13:15:10,583 INFO ofi_trade_10_5: -4.09891788314473e-08 , std 1.2033693561614826e-06 
2023-05-09 13:15:10,583 INFO ofi_add_1_10: -1.914439504676028e-07 , std 2.1462077349856463e-06 
2023-05-09 13:15:10,583 INFO ofi_add_2_10: -1.0634511429673238e-07 , std 1.8289100529657516e-06 
2023-05-09 13:15:10,583 INFO ofi_add_3_10: -6.871622813562088e-08 , std 1.4823920601169422e-06 
2023-05-09 13:15:10,583 INFO ofi_add_4_10: -4.7888387275964995e-08 , std 1.3778799727061902e-06 
2023-05-09 13:15:10,583 INFO ofi_add_5_10: -4.8635143551497396e-08 , std 1.3176826418675885e-06 
2023-05-09 13:15:10,583 INFO ofi_add_6_10: -8.194811675478989e-08 , std 1.6568393773448375e-06 
2023-05-09 13:15:10,583 INFO ofi_add_7_10: -5.1276978205949096e-08 , std 1.4875751779848547e-06 
2023-05-09 13:15:10,583 INFO ofi_add_8_10: -3.886200036873046e-08 , std 1.429088424078064e-06 
2023-05-09 13:15:10,583 INFO ofi_add_9_10: -7.20385652802495e-08 , std 1.7883822381557755e-06 
2023-05-09 13:15:10,583 INFO ofi_add_10_10: -9.338127452290839e-08 , std 2.0729957708622156e-06 
2023-05-09 13:15:10,583 INFO ofi_cancel_1_10: -1.1191360377807105e-08 , std 8.545870161518209e-07 
2023-05-09 13:15:10,583 INFO ofi_cancel_2_10: -2.1290847314695563e-08 , std 8.271114039554658e-07 
2023-05-09 13:15:10,583 INFO ofi_cancel_3_10: -3.576263098231683e-08 , std 1.0195931401050772e-06 
2023-05-09 13:15:10,583 INFO ofi_cancel_4_10: -3.7969473964240545e-08 , std 1.1010120562419309e-06 
2023-05-09 13:15:10,583 INFO ofi_cancel_5_10: -5.982490010897114e-08 , std 1.389095248126739e-06 
2023-05-09 13:15:10,583 INFO ofi_cancel_6_10: -4.2038615159942e-08 , std 1.0863943637730688e-06 
2023-05-09 13:15:10,583 INFO ofi_cancel_7_10: -5.294741832157074e-08 , std 1.2568796886512383e-06 
2023-05-09 13:15:10,583 INFO ofi_cancel_8_10: -6.337157331159935e-08 , std 1.3661361333072765e-06 
2023-05-09 13:15:10,583 INFO ofi_cancel_9_10: -5.506322037458276e-08 , std 1.2126321304791199e-06 
2023-05-09 13:15:10,583 INFO ofi_cancel_10_10: -7.529813950733308e-08 , std 1.4469033623500253e-06 
2023-05-09 13:15:10,583 INFO ofi_trade_1_10: -5.734968927320527e-10 , std 1.3533810244693182e-07 
2023-05-09 13:15:10,583 INFO ofi_trade_2_10: -1.1486387439119589e-08 , std 5.540967416156311e-07 
2023-05-09 13:15:10,583 INFO ofi_trade_3_10: -1.793304968476328e-08 , std 9.491448006196539e-07 
2023-05-09 13:15:10,583 INFO ofi_trade_4_10: -2.283166815371588e-08 , std 1.027748600662262e-06 
2023-05-09 13:15:10,583 INFO ofi_trade_5_10: -3.725392928736822e-08 , std 1.2463926362833884e-06 
2023-05-09 13:15:10,584 INFO ofi_trade_6_10: -4.619260782365749e-08 , std 1.3948804873873272e-06 
2023-05-09 13:15:10,584 INFO ofi_trade_7_10: -5.9353771883675433e-08 , std 1.4762287649831102e-06 
