2023-05-09 09:47:25,376 INFO Starting...
2023-05-09 09:47:25,376 INFO Tickers: ['QCOM']
2023-05-09 09:48:47,123 INFO ofi_cancel_1_3: 9.474917305984166e-08 , std 1.9455700561962048e-05 
2023-05-09 09:48:47,124 INFO ofi_cancel_2_3: -4.97720472050965e-07 , std 2.0675353115777373e-05 
2023-05-09 09:48:47,124 INFO ofi_cancel_3_3: -3.4119929449099577e-07 , std 1.6341642884790984e-05 
2023-05-09 09:48:47,124 INFO ofi_cancel_4_3: -3.1650661322378935e-07 , std 1.7993080288522147e-05 
2023-05-09 09:48:47,124 INFO ofi_cancel_5_3: -2.659290817898612e-07 , std 1.6634201359705464e-05 
2023-05-09 09:48:47,124 INFO ofi_cancel_6_3: -2.4605748597326616e-07 , std 1.252386025490393e-05 
2023-05-09 09:48:47,124 INFO ofi_cancel_7_3: -1.7595250689465173e-07 , std 1.0077580612923918e-05 
2023-05-09 09:48:47,124 INFO ofi_cancel_8_3: -1.7994838066640743e-07 , std 9.659926179680122e-06 
2023-05-09 09:48:47,124 INFO ofi_cancel_9_3: -2.1442965308970347e-07 , std 9.489445885076698e-06 
2023-05-09 09:48:47,124 INFO ofi_cancel_10_3: -3.142086713577211e-07 , std 1.0991471949295146e-05 
2023-05-09 09:48:47,124 INFO ofi_trade_1_3: -3.439723380422984e-08 , std 1.3041324201288085e-05 
2023-05-09 09:48:47,124 INFO ofi_trade_2_3: -4.31354611187717e-07 , std 1.605086733483249e-05 
2023-05-09 09:48:47,124 INFO ofi_trade_3_3: -4.182436184960965e-07 , std 1.5186776481666928e-05 
2023-05-09 09:48:47,124 INFO ofi_trade_4_3: -5.447711263309223e-07 , std 1.7655617858655707e-05 
2023-05-09 09:48:47,124 INFO ofi_trade_5_3: -2.223414558451554e-07 , std 1.5520786203625278e-05 
2023-05-09 09:48:47,124 INFO ofi_trade_6_3: -2.874151425881566e-07 , std 1.3485264080013456e-05 
2023-05-09 09:48:47,124 INFO ofi_trade_7_3: -2.85023349419638e-07 , std 1.2403250704086976e-05 
2023-05-09 09:48:47,124 INFO ofi_trade_8_3: -3.1606655472258453e-07 , std 1.2954088548080999e-05 
2023-05-09 09:48:47,124 INFO ofi_trade_9_3: -2.653900446941997e-07 , std 1.2828082738110459e-05 
2023-05-09 09:48:47,124 INFO ofi_trade_10_3: -2.6141181860591685e-07 , std 1.3584398536478137e-05 
