2023-05-09 08:39:46,962 INFO Starting...
2023-05-09 08:39:46,962 INFO Tickers: ['GOOGL']
2023-05-09 08:41:13,447 INFO used_ofi_cancel_8_1: 0.012914834248971335 , std 0.11290722432728975 
2023-05-09 08:41:13,447 INFO used_ofi_cancel_9_1: 0.015545295538719386 , std 0.12370787899456225 
2023-05-09 08:41:13,447 INFO used_ofi_cancel_10_1: 0.0261310755207263 , std 0.15952505261825303 
2023-05-09 08:41:13,447 INFO used_ofi_trade_1_1: 0.00018723769597164946 , std 0.013682201504759992 
2023-05-09 08:41:13,447 INFO used_ofi_trade_2_1: 0.0001826709228991702 , std 0.013514346237724458 
2023-05-09 08:41:13,447 INFO used_ofi_trade_3_1: 0.0001324364191018984 , std 0.011507340252933946 
2023-05-09 08:41:13,447 INFO used_ofi_trade_4_1: 5.480127686975106e-05 , std 0.00740258560840768 
2023-05-09 08:41:13,447 INFO used_ofi_trade_5_1: 4.566773072479255e-05 , std 0.0067576360647169376 
2023-05-09 08:41:13,447 INFO used_ofi_trade_6_1: 6.393482301470958e-05 , std 0.007995669787648542 
2023-05-09 08:41:13,447 INFO used_ofi_trade_7_1: 8.676868837710585e-05 , std 0.009314567063037507 
2023-05-09 08:41:13,447 INFO used_ofi_trade_8_1: 6.393482301470958e-05 , std 0.00799566978764854 
2023-05-09 08:41:13,447 INFO used_ofi_trade_9_1: 7.763514223214734e-05 , std 0.00881073861925536 
2023-05-09 08:41:13,447 INFO used_ofi_trade_10_1: 9.590223452206437e-05 , std 0.009792499031579124 
2023-05-09 08:41:13,447 INFO used_ofi_add_1_2: 0.022071214259292243 , std 0.1469151992151005 
2023-05-09 08:41:13,447 INFO used_ofi_add_2_2: 0.017399405406145964 , std 0.13075422019062538 
2023-05-09 08:41:13,447 INFO used_ofi_add_3_2: 0.017171066752522002 , std 0.12990851095714412 
2023-05-09 08:41:13,447 INFO used_ofi_add_4_2: 0.018436062893598754 , std 0.1345220222810452 
2023-05-09 08:41:13,447 INFO used_ofi_add_5_2: 0.01980152804227005 , std 0.13931772151977379 
2023-05-09 08:41:13,447 INFO used_ofi_add_6_2: 0.021180693510158787 , std 0.14398635953654604 
2023-05-09 08:41:13,447 INFO used_ofi_add_7_2: 0.02261922702798975 , std 0.1486862387601691 
2023-05-09 08:41:13,447 INFO used_ofi_add_8_2: 0.024824978421997233 , std 0.15559144857075083 
2023-05-09 08:41:13,447 INFO used_ofi_add_9_2: 0.030725249231640432 , std 0.17257232771013437 
2023-05-09 08:41:13,447 INFO used_ofi_add_10_2: 0.0515360341229284 , std 0.2210883789569428 
2023-05-09 08:41:13,447 INFO used_ofi_cancel_1_2: 0.0038497897001000124 , std 0.061927125069431536 
2023-05-09 08:41:13,447 INFO used_ofi_cancel_2_2: 0.006982596027820782 , std 0.08326967863834375 
2023-05-09 08:41:13,447 INFO used_ofi_cancel_3_2: 0.008937174902841903 , std 0.09411323927906165 
2023-05-09 08:41:13,448 INFO used_ofi_cancel_4_2: 0.010526411932064684 , std 0.1020568791601094 
2023-05-09 08:41:13,448 INFO used_ofi_cancel_5_2: 0.011261662396733844 , std 0.10552173878777694 
2023-05-09 08:41:13,448 INFO used_ofi_cancel_6_2: 0.01453603868970147 , std 0.1196860153439531 
2023-05-09 08:41:13,448 INFO used_ofi_cancel_7_2: 0.016367314691765653 , std 0.12688351233137565 
2023-05-09 08:41:13,448 INFO used_ofi_cancel_8_2: 0.018308193247569333 , std 0.1340634301648999 
2023-05-09 08:41:13,448 INFO used_ofi_cancel_9_2: 0.0234229790887461 , std 0.15124266309264148 
2023-05-09 08:41:13,448 INFO used_ofi_cancel_10_2: 0.035945070853484216 , std 0.1861532238099094 
2023-05-09 08:41:13,448 INFO used_ofi_trade_1_2: 0.000196371242116608 , std 0.014011876407243875 
2023-05-09 08:41:13,448 INFO used_ofi_trade_2_2: 0.000392742484233216 , std 0.019813839546496133 
2023-05-09 08:41:13,448 INFO used_ofi_trade_3_2: 0.00025117251898635907 , std 0.015846432764255337 
2023-05-09 08:41:13,448 INFO used_ofi_trade_4_2: 0.000196371242116608 , std 0.014011876407243875 
2023-05-09 08:41:13,448 INFO used_ofi_trade_5_2: 0.00011873609988446064 , std 0.01089596262948093 
2023-05-09 08:41:13,448 INFO used_ofi_trade_6_2: 0.00014613673831933617 , std 0.012087819587214624 
2023-05-09 08:41:13,448 INFO used_ofi_trade_7_2: 0.00018723769597164946 , std 0.013682201504759992 
2023-05-09 08:41:13,448 INFO used_ofi_trade_8_2: 0.00015527028446429467 , std 0.012459782325669135 
2023-05-09 08:41:13,448 INFO used_ofi_trade_9_2: 0.00010960255373950213 , std 0.010468550091570274 
2023-05-09 08:41:13,448 INFO used_ofi_trade_10_2: 0.0003059737958561101 , std 0.017489430405029198 
2023-05-09 08:41:13,448 INFO used_ofi_add_1_3: 0.045667730724792556 , std 0.2087634764398227 
2023-05-09 08:41:13,448 INFO used_ofi_add_2_3: 0.03154270161161422 , std 0.17477917377838495 
2023-05-09 08:41:13,448 INFO used_ofi_add_3_3: 0.03035534061276961 , std 0.17156309017108648 
2023-05-09 08:41:13,448 INFO used_ofi_add_4_3: 0.03223228434555858 , std 0.17661643239355068 
2023-05-09 08:41:13,448 INFO used_ofi_add_5_3: 0.03168883834993355 , std 0.17517036243030765 
2023-05-09 08:41:13,448 INFO used_ofi_add_6_3: 0.036465682983746854 , std 0.18744582403530818 
2023-05-09 08:41:13,448 INFO used_ofi_add_7_3: 0.03714156539847378 , std 0.18910861830764 
2023-05-09 08:41:13,448 INFO used_ofi_add_8_3: 0.0422015499627808 , std 0.20104869843776585 
2023-05-09 08:41:13,448 INFO used_ofi_add_9_3: 0.05002899900901024 , std 0.2180048124862538 
2023-05-09 08:41:13,448 INFO used_ofi_add_10_3: 0.09034447169285711 , std 0.2866746380958658 
2023-05-09 08:41:13,448 INFO used_ofi_cancel_1_3: 0.008238458622752578 , std 0.090391296164364 
2023-05-09 08:41:13,448 INFO used_ofi_cancel_2_3: 0.012727596552999685 , std 0.1120964086801346 
2023-05-09 08:41:13,448 INFO used_ofi_cancel_3_3: 0.017203034164029355 , std 0.13002726552373772 
2023-05-09 08:41:13,448 INFO used_ofi_cancel_4_3: 0.019901997049864596 , std 0.13966355130559932 
2023-05-09 08:41:13,448 INFO used_ofi_cancel_5_3: 0.021025423225694492 , std 0.14346900293748097 
2023-05-09 08:41:13,448 INFO used_ofi_cancel_6_3: 0.02373808643074717 , std 0.15223202581373455 
2023-05-09 08:41:13,448 INFO used_ofi_cancel_7_3: 0.026382248039712657 , std 0.1602692267033311 
2023-05-09 08:41:13,448 INFO used_ofi_cancel_8_3: 0.030930754019901998 , std 0.17313013162261018 
2023-05-09 08:41:13,448 INFO used_ofi_cancel_9_3: 0.03971265863827961 , std 0.1952832900740846 
2023-05-09 08:41:13,448 INFO used_ofi_cancel_10_3: 0.06494864663679997 , std 0.24643522462677298 
2023-05-09 08:41:13,448 INFO used_ofi_trade_1_3: 0.0005023450379727181 , std 0.022407424828291674 
2023-05-09 08:41:13,448 INFO used_ofi_trade_2_3: 0.0008494197914811415 , std 0.029132426563864906 
2023-05-09 08:41:13,448 INFO used_ofi_trade_3_3: 0.0006119475917122202 , std 0.024730004283404765 
2023-05-09 08:41:13,448 INFO used_ofi_trade_4_3: 0.000392742484233216 , std 0.019813839546496133 
2023-05-09 08:41:13,448 INFO used_ofi_trade_5_3: 0.00025117251898635907 , std 0.015846432764255337 
2023-05-09 08:41:13,448 INFO used_ofi_trade_6_3: 0.00030140702278363084 , std 0.017358461239126224 
2023-05-09 08:41:13,448 INFO used_ofi_trade_7_3: 0.0004703776264653633 , std 0.021683089525108824 
2023-05-09 08:41:13,448 INFO used_ofi_trade_8_3: 0.0002603060651313176 , std 0.016131903355889952 
2023-05-09 08:41:13,448 INFO used_ofi_trade_9_3: 0.00020093801518908724 , std 0.014173836428544636 
2023-05-09 08:41:13,448 INFO used_ofi_trade_10_3: 0.00039730925730569524 , std 0.019928657823841386 
2023-05-09 08:41:14,143 INFO Grouping by horizont:
2023-05-09 08:41:14,143 INFO 1: 0.26216930854488907
2023-05-09 08:41:14,143 INFO 2: 0.39796230585505976
2023-05-09 08:41:14,143 INFO 3: 0.6967160334835804
2023-05-09 08:41:14,143 INFO Grouping by ofi type:
2023-05-09 08:41:14,143 INFO add: 0.8352719285026007
2023-05-09 08:41:14,143 INFO cancel: 0.5142871495572514
2023-05-09 08:41:14,143 INFO trade: 0.007288569823676891
2023-05-09 08:41:14,144 INFO Grouping by ofi type and horizont:
2023-05-09 08:41:14,144 INFO add_1: 0.16183730414251984
2023-05-09 08:41:14,144 INFO cancel_1: 0.09934101464564124
2023-05-09 08:41:14,144 INFO trade_1: 0.0009909897567279983
2023-05-09 08:41:14,144 INFO add_2: 0.24576545966854363
2023-05-09 08:41:14,144 INFO cancel_2: 0.150137231530828
2023-05-09 08:41:14,144 INFO trade_2: 0.0020596146556881444
2023-05-09 08:41:14,144 INFO add_3: 0.4276691646915374
2023-05-09 08:41:14,144 INFO cancel_3: 0.2648089033807821
2023-05-09 08:41:14,144 INFO trade_3: 0.004237965411260749
2023-05-09 08:41:14,144 INFO Grouping by level:
2023-05-09 08:41:14,144 INFO 1: 0.09566019554922298
2023-05-09 08:41:14,144 INFO 2: 0.08447160152164877
2023-05-09 08:41:14,144 INFO 3: 0.09114822375361346
2023-05-09 08:41:14,144 INFO 4: 0.09953281911468534
2023-05-09 08:41:14,144 INFO 5: 0.10308576856507423
2023-05-09 08:41:14,144 INFO 6: 0.11929781297237557
2023-05-09 08:41:14,144 INFO 7: 0.12881953482849484
2023-05-09 08:41:14,144 INFO 8: 0.1478492782215159
2023-05-09 08:41:14,144 INFO 9: 0.1808031127125262
2023-05-09 08:41:14,144 INFO 10: 0.30617930064437165
2023-05-09 08:41:14,144 INFO Grouping by level and horizont:
2023-05-09 08:41:14,144 INFO 1_1: 0.015134285962196254
2023-05-09 08:41:14,144 INFO 2_1: 0.014577139647353785
