2023-05-09 10:07:04,367 INFO Starting...
2023-05-09 10:07:04,367 INFO Tickers: ['CAT']
2023-05-09 10:08:22,658 INFO used_ofi_trade_6_2: 0.0028542331702995347 , std 0.05334872560154644 
2023-05-09 10:08:22,658 INFO used_ofi_trade_7_2: 0.0024477903668488807 , std 0.049414559485730945 
2023-05-09 10:08:22,658 INFO used_ofi_trade_8_2: 0.001771907952121951 , std 0.04205672709961104 
2023-05-09 10:08:22,658 INFO used_ofi_trade_9_2: 0.001269562914149233 , std 0.03560830133769723 
2023-05-09 10:08:22,659 INFO used_ofi_trade_10_2: 0.0010868919912500627 , std 0.032950123778969616 
2023-05-09 10:08:22,659 INFO used_ofi_add_1_3: 0.03096728820448183 , std 0.17322908319835442 
2023-05-09 10:08:22,659 INFO used_ofi_add_2_3: 0.03554319482310604 , std 0.1851482544472747 
2023-05-09 10:08:22,659 INFO used_ofi_add_3_3: 0.03722376731377841 , std 0.18930968929441536 
2023-05-09 10:08:22,659 INFO used_ofi_add_4_3: 0.045777333278532055 , std 0.20900183979199383 
2023-05-09 10:08:22,659 INFO used_ofi_add_5_3: 0.05139903093075402 , std 0.22081025915960842 
2023-05-09 10:08:22,659 INFO used_ofi_add_6_3: 0.05390618934754513 , std 0.22583248680730536 
2023-05-09 10:08:22,659 INFO used_ofi_add_7_3: 0.05347691267873208 , std 0.22498251596309288 
2023-05-09 10:08:22,659 INFO used_ofi_add_8_3: 0.050485676316258166 , std 0.21894490814620052 
2023-05-09 10:08:22,659 INFO used_ofi_add_9_3: 0.04578646682467701 , std 0.20902168854066264 
2023-05-09 10:08:22,659 INFO used_ofi_add_10_3: 0.05716229854822284 , std 0.2321524718216601 
2023-05-09 10:08:22,659 INFO used_ofi_cancel_1_3: 0.012430756303288533 , std 0.11079816154168257 
2023-05-09 10:08:22,659 INFO used_ofi_cancel_2_3: 0.021203527375521183 , std 0.14406227057198806 
2023-05-09 10:08:22,659 INFO used_ofi_cancel_3_3: 0.02685262566617802 , std 0.16165259713660696 
2023-05-09 10:08:22,659 INFO used_ofi_cancel_4_3: 0.03270722874509643 , std 0.17786923829856685 
2023-05-09 10:08:22,659 INFO used_ofi_cancel_5_3: 0.03598617181113653 , std 0.18625565024856536 
2023-05-09 10:08:22,659 INFO used_ofi_cancel_6_3: 0.03642914879916702 , std 0.18735545339523788 
2023-05-09 10:08:22,659 INFO used_ofi_cancel_7_3: 0.034031592936115414 , std 0.18131035165799542 
2023-05-09 10:08:22,659 INFO used_ofi_cancel_8_3: 0.029852995574796894 , std 0.1701816506854016 
