2023-05-09 08:58:49,722 INFO Starting...
2023-05-09 08:58:49,722 INFO Tickers: ['CVX']
2023-05-09 09:00:10,426 INFO ofi_trade_4_3: -1.9124768413368757e-07 , std 6.867630134495339e-06 
2023-05-09 09:00:10,426 INFO ofi_trade_5_3: -2.6567969796697514e-07 , std 7.330199679723421e-06 
2023-05-09 09:00:10,426 INFO ofi_trade_6_3: -2.2114129719630454e-07 , std 7.4780198571644605e-06 
2023-05-09 09:00:10,426 INFO ofi_trade_7_3: -1.793649359153533e-07 , std 6.627079746767018e-06 
2023-05-09 09:00:10,426 INFO ofi_trade_8_3: -9.089078639470544e-08 , std 5.658090256232016e-06 
2023-05-09 09:00:10,426 INFO ofi_trade_9_3: -6.644515820585094e-08 , std 4.877970898256281e-06 
2023-05-09 09:00:10,426 INFO ofi_trade_10_3: -5.898120572276958e-08 , std 3.912149764794491e-06 
2023-05-09 09:00:10,426 INFO used_intercept: 0.98624031273262 , std 0.11649188072000509 
2023-05-09 09:00:10,426 INFO used_ofi_add_1_1: 0.0184040954820914 , std 0.1344075323468795 
2023-05-09 09:00:10,426 INFO used_ofi_add_2_1: 0.013421746060016532 , std 0.11507216341373339 
2023-05-09 09:00:10,426 INFO used_ofi_add_3_1: 0.014504071278194116 , std 0.11955627626582879 
2023-05-09 09:00:10,426 INFO used_ofi_add_4_1: 0.016600220118462093 , std 0.12776796472700308 
2023-05-09 09:00:10,426 INFO used_ofi_add_5_1: 0.018805971512469575 , std 0.13583926879934888 
2023-05-09 09:00:10,426 INFO used_ofi_add_6_1: 0.021427299256072667 , std 0.1448039022356213 
2023-05-09 09:00:10,426 INFO used_ofi_add_7_1: 0.018668968320295198 , std 0.13535301231280747 
2023-05-09 09:00:10,426 INFO used_ofi_add_8_1: 0.015262155608225672 , std 0.12259372828336684 
2023-05-09 09:00:10,426 INFO used_ofi_add_9_1: 0.011937544811460773 , std 0.10860497150377206 
2023-05-09 09:00:10,426 INFO used_ofi_add_10_1: 0.012234385061171926 , std 0.10993045475821019 
2023-05-09 09:00:10,426 INFO used_ofi_cancel_1_1: 0.006293013293876414 , std 0.07907851337474366 
2023-05-09 09:00:10,426 INFO used_ofi_cancel_2_1: 0.007695012627127545 , std 0.08738306133225074 
2023-05-09 09:00:10,426 INFO used_ofi_cancel_3_1: 0.009279682883277848 , std 0.09588310783899134 
2023-05-09 09:00:10,426 INFO used_ofi_cancel_4_1: 0.011083558246907153 , std 0.10469342378341902 
2023-05-09 09:00:10,426 INFO used_ofi_cancel_5_1: 0.011946678357605732 , std 0.10864600882602933 
2023-05-09 09:00:10,426 INFO used_ofi_cancel_6_1: 0.012814365241376791 , std 0.11247291800623552 
2023-05-09 09:00:10,426 INFO used_ofi_cancel_7_1: 0.010279806186150804 , std 0.10086690126560834 
2023-05-09 09:00:10,426 INFO used_ofi_cancel_8_1: 0.00705566439698045 , std 0.08370114692701426 
2023-05-09 09:00:10,426 INFO used_ofi_cancel_9_1: 0.005886570490425761 , std 0.07649783512157067 
2023-05-09 09:00:10,426 INFO used_ofi_cancel_10_1: 0.006046407547962534 , std 0.07752321267676203 
