2023-05-09 08:41:14,158 INFO Starting...
2023-05-09 08:41:14,159 INFO Tickers: ['JNJ']
2023-05-09 08:42:33,273 INFO ofi_cancel_5_3: -3.590885039661227e-07 , std 7.955447957645478e-06 
2023-05-09 08:42:33,273 INFO ofi_cancel_6_3: -3.22950066844549e-07 , std 7.427571524929726e-06 
2023-05-09 08:42:33,273 INFO ofi_cancel_7_3: -1.811588916218963e-07 , std 7.296872769759836e-06 
2023-05-09 08:42:33,273 INFO ofi_cancel_8_3: -1.1711508780991425e-07 , std 7.479726382381339e-06 
2023-05-09 08:42:33,273 INFO ofi_cancel_9_3: -9.579237198030447e-08 , std 7.125183642460062e-06 
2023-05-09 08:42:33,273 INFO ofi_cancel_10_3: -6.348553165199843e-08 , std 6.299188010194057e-06 
2023-05-09 08:42:33,273 INFO ofi_trade_1_3: -1.2437904842008566e-08 , std 2.8239013541678013e-06 
2023-05-09 08:42:33,273 INFO ofi_trade_2_3: -3.9077485085369406e-08 , std 3.4471647124114718e-06 
2023-05-09 08:42:33,273 INFO ofi_trade_3_3: -1.207266585476986e-07 , std 5.888054566831399e-06 
2023-05-09 08:42:33,273 INFO ofi_trade_4_3: -2.1370094461238317e-07 , std 6.210233338800575e-06 
2023-05-09 08:42:33,273 INFO ofi_trade_5_3: -2.201993408070819e-07 , std 6.690200820579635e-06 
2023-05-09 08:42:33,273 INFO ofi_trade_6_3: -1.4989084281494354e-07 , std 6.314721626369878e-06 
2023-05-09 08:42:33,273 INFO ofi_trade_7_3: -1.4759579141450315e-07 , std 5.850907184336543e-06 
2023-05-09 08:42:33,273 INFO ofi_trade_8_3: -1.0021046640279452e-07 , std 5.21853052032637e-06 
2023-05-09 08:42:33,273 INFO ofi_trade_9_3: -4.423490603552864e-08 , std 3.876508617342421e-06 
2023-05-09 08:42:33,273 INFO ofi_trade_10_3: -5.40468698463116e-08 , std 3.818416059215746e-06 
2023-05-09 08:42:33,273 INFO used_intercept: 0.9820069140944317 , std 0.13292604998706276 
2023-05-09 08:42:33,273 INFO used_ofi_add_1_1: 0.012928534568188772 , std 0.1129663116247845 
2023-05-09 08:42:33,273 INFO used_ofi_add_2_1: 0.013261909002479758 , std 0.11439419028993429 
2023-05-09 08:42:33,273 INFO used_ofi_add_3_1: 0.015289556246660547 , std 0.12270202001776806 
2023-05-09 08:42:33,273 INFO used_ofi_add_4_1: 0.017942851401770994 , std 0.13274375874347147 
2023-05-09 08:42:33,273 INFO used_ofi_add_5_1: 0.021299429610043247 , std 0.14438062165100296 
2023-05-09 08:42:33,273 INFO used_ofi_add_6_1: 0.022463956743525457 , std 0.14818679897666487 
2023-05-09 08:42:33,273 INFO used_ofi_add_7_1: 0.022107748443872074 , std 0.14703399573776996 
2023-05-09 08:42:33,273 INFO used_ofi_add_8_1: 0.02030843985331525 , std 0.14105320671306812 
2023-05-09 08:42:33,273 INFO used_ofi_add_9_1: 0.015362624615820216 , std 0.12299030197838204 
2023-05-09 08:42:33,273 INFO used_ofi_add_10_1: 0.014243765213062799 , std 0.1184942208110503 
2023-05-09 08:42:33,273 INFO used_ofi_cancel_1_1: 0.0041055289921588505 , std 0.06394273706882896 
2023-05-09 08:42:33,273 INFO used_ofi_cancel_2_1: 0.007370771738981518 , std 0.08553621141337363 
2023-05-09 08:42:33,273 INFO used_ofi_cancel_3_1: 0.009782027921250566 , std 0.09841920468586629 
2023-05-09 08:42:33,273 INFO used_ofi_cancel_4_1: 0.011631571015604664 , std 0.10722069562968528 
2023-05-09 08:42:33,273 INFO used_ofi_cancel_5_1: 0.01110182533919707 , std 0.10477869446282977 
2023-05-09 08:42:33,273 INFO used_ofi_cancel_6_1: 0.011152059842994342 , std 0.10501281542865432 
2023-05-09 08:42:33,273 INFO used_ofi_cancel_7_1: 0.009334484160147599 , std 0.09616315076790877 
2023-05-09 08:42:33,273 INFO used_ofi_cancel_8_1: 0.00779091486164961 , std 0.08792164982112277 
2023-05-09 08:42:33,273 INFO used_ofi_cancel_9_1: 0.005959638859585429 , std 0.0769683153268197 
2023-05-09 08:42:33,273 INFO used_ofi_cancel_10_1: 0.006384348755325999 , std 0.07964664993768643 
2023-05-09 08:42:33,273 INFO used_ofi_trade_1_1: 0.00019180446904412874 , std 0.013848020800453163 
2023-05-09 08:42:33,273 INFO used_ofi_trade_2_1: 0.0009453220260032058 , std 0.030731553691122737 
2023-05-09 08:42:33,273 INFO used_ofi_trade_3_1: 0.0014522338370484033 , std 0.038080504906460144 
2023-05-09 08:42:33,273 INFO used_ofi_trade_4_1: 0.0024751910052837564 , std 0.04968968137119738 
2023-05-09 08:42:33,273 INFO used_ofi_trade_5_1: 0.0028176989857197007 , std 0.053007165158547906 
2023-05-09 08:42:33,273 INFO used_ofi_trade_6_1: 0.002160083663282688 , std 0.04642647630232458 
2023-05-09 08:42:33,273 INFO used_ofi_trade_7_1: 0.002041347563398227 , std 0.04513513557666173 
2023-05-09 08:42:33,273 INFO used_ofi_trade_8_1: 0.0012238951834244404 , std 0.034962798286241784 
2023-05-09 08:42:33,273 INFO used_ofi_trade_9_1: 0.0007306836915966808 , std 0.027021284072736358 
2023-05-09 08:42:33,273 INFO used_ofi_trade_10_1: 0.0006119475917122202 , std 0.024730004283404758 
2023-05-09 08:42:33,273 INFO used_ofi_add_1_2: 0.02166477145584159 , std 0.1455864318321173 
2023-05-09 08:42:33,273 INFO used_ofi_add_2_2: 0.022833865362396278 , std 0.1493736253660874 
2023-05-09 08:42:33,273 INFO used_ofi_add_3_2: 0.023952724765153696 , std 0.1529019023474806 
2023-05-09 08:42:33,273 INFO used_ofi_add_4_2: 0.026857192439250503 , std 0.161665963188086 
2023-05-09 08:42:33,274 INFO used_ofi_add_5_2: 0.03142853228480223 , std 0.1744728621970345 
2023-05-09 08:42:33,274 INFO used_ofi_add_6_2: 0.03373018591333178 , std 0.1805338208524482 
2023-05-09 08:42:33,274 INFO used_ofi_add_7_2: 0.030081334228420856 , std 0.17081114588767002 
2023-05-09 08:42:33,274 INFO used_ofi_add_8_2: 0.030035666497696064 , std 0.17068545701299584 
2023-05-09 08:42:33,274 INFO used_ofi_add_9_2: 0.024002959268950966 , std 0.15305821511857523 
2023-05-09 08:42:33,274 INFO used_ofi_add_10_2: 0.0262406780744658 , std 0.15985025770594818 
2023-05-09 08:42:33,274 INFO used_ofi_cancel_1_2: 0.00693236152402351 , std 0.08297170534419399 
2023-05-09 08:42:33,274 INFO used_ofi_cancel_2_2: 0.01324364191018984 , std 0.11431643739701 
2023-05-09 08:42:33,274 INFO used_ofi_cancel_3_2: 0.014796344754832788 , std 0.12073695762577802 
2023-05-09 08:42:33,274 INFO used_ofi_cancel_4_2: 0.01955948906942865 , std 0.13848074038208907 
2023-05-09 08:42:33,274 INFO used_ofi_cancel_5_2: 0.021258328652390933 , std 0.14424427931567294 
2023-05-09 08:42:33,274 INFO used_ofi_cancel_6_2: 0.01822599133226471 , std 0.1337677261981414 
2023-05-09 08:42:33,274 INFO used_ofi_cancel_7_2: 0.015554429084864345 , std 0.12374364153647759 
2023-05-09 08:42:33,274 INFO used_ofi_cancel_8_2: 0.012663661729984975 , std 0.1118181264445684 
2023-05-09 08:42:33,274 INFO used_ofi_cancel_9_2: 0.011512834915720202 , std 0.10667843993949096 
2023-05-09 08:42:33,274 INFO used_ofi_cancel_10_2: 0.01018390395162874 , std 0.10040015962105212 
2023-05-09 08:42:33,274 INFO used_ofi_trade_1_2: 0.00025117251898635907 , std 0.01584643276425534 
2023-05-09 08:42:33,274 INFO used_ofi_trade_2_2: 0.0009087878414233718 , std 0.030132406908221797 
2023-05-09 08:42:33,274 INFO used_ofi_trade_3_2: 0.002488891324501194 , std 0.049826667001476393 
2023-05-09 08:42:33,274 INFO used_ofi_trade_4_2: 0.004151196722883643 , std 0.06429591191243472 
2023-05-09 08:42:33,274 INFO used_ofi_trade_5_2: 0.004941248464422555 , std 0.07012012926425189 
2023-05-09 08:42:33,274 INFO used_ofi_trade_6_2: 0.003808688742447699 , std 0.06159693687603995 
2023-05-09 08:42:33,274 INFO used_ofi_trade_7_2: 0.003073438277778539 , std 0.05535334005217052 
2023-05-09 08:42:33,274 INFO used_ofi_trade_8_2: 0.002429523274558964 , std 0.04923028225815226 
2023-05-09 08:42:33,274 INFO used_ofi_trade_9_2: 0.0013745986948162558 , std 0.03705009005717078 
2023-05-09 08:42:33,274 INFO used_ofi_trade_10_2: 0.0012832632333666708 , std 0.03579967135101326 
2023-05-09 08:42:33,274 INFO used_ofi_add_1_3: 0.040082567257150425 , std 0.1961528869510374 
2023-05-09 08:42:33,274 INFO used_ofi_add_2_3: 0.041740305882460395 , std 0.19999513180899942 
2023-05-09 08:42:33,274 INFO used_ofi_add_3_3: 0.04324277422330607 , std 0.203403138374948 
