2023-05-09 10:39:37,617 INFO Starting...
2023-05-09 10:39:37,617 INFO Tickers: ['RTN']
2023-05-09 10:40:54,855 INFO used_ofi_trade_1_3: 0.003279377375036539 , std 0.05717187297149392 
2023-05-09 10:40:54,855 INFO used_ofi_trade_2_3: 0.003206299327681964 , std 0.05653334389812147 
2023-05-09 10:40:54,855 INFO used_ofi_trade_3_3: 0.0023750365390236773 , std 0.0486764392746838 
2023-05-09 10:40:54,855 INFO used_ofi_trade_4_3: 0.0021649371528792752 , std 0.04647849180000743 
2023-05-09 10:40:54,855 INFO used_ofi_trade_5_3: 0.0016488234434375913 , std 0.04057221739922484 
2023-05-09 10:40:54,855 INFO used_ofi_trade_6_3: 0.002224313066354867 , std 0.04711014219611006 
2023-05-09 10:40:54,855 INFO used_ofi_trade_7_3: 0.0015209368605670856 , std 0.03896952157306084 
2023-05-09 10:40:54,855 INFO used_ofi_trade_8_3: 0.0018817597193802982 , std 0.04333842059580409 
2023-05-09 10:40:54,855 INFO used_ofi_trade_9_3: 0.0022471499561531718 , std 0.04735082125188255 
2023-05-09 10:40:54,855 INFO used_ofi_trade_10_3: 0.002333930137386729 , std 0.04825435635774792 
2023-05-09 10:40:55,549 INFO Grouping by horizont:
2023-05-09 10:40:55,549 INFO 1: 0.27533981292019877
2023-05-09 10:40:55,549 INFO 2: 0.42615006577024267
2023-05-09 10:40:55,549 INFO 3: 0.7465379275065773
2023-05-09 10:40:55,550 INFO Grouping by ofi type:
2023-05-09 10:40:55,550 INFO add: 0.8847239476761181
2023-05-09 10:40:55,550 INFO cancel: 0.5211378251973108
2023-05-09 10:40:55,550 INFO trade: 0.04216603332358959
2023-05-09 10:40:55,550 INFO Grouping by ofi type and horizont:
2023-05-09 10:40:55,550 INFO add_1: 0.1714548012277112
2023-05-09 10:40:55,550 INFO cancel_1: 0.09679187372113418
2023-05-09 10:40:55,550 INFO trade_1: 0.007093137971353406
2023-05-09 10:40:55,550 INFO add_2: 0.26086579216603334
2023-05-09 10:40:55,550 INFO cancel_2: 0.15309394182987426
2023-05-09 10:40:55,550 INFO trade_2: 0.01219033177433499
2023-05-09 10:40:55,550 INFO add_3: 0.4524033542823736
2023-05-09 10:40:55,550 INFO cancel_3: 0.2712520096463022
2023-05-09 10:40:55,550 INFO trade_3: 0.022882563577901197
2023-05-09 10:40:55,550 INFO Grouping by level:
2023-05-09 10:40:55,550 INFO 1: 0.10275686933645133
2023-05-09 10:40:55,550 INFO 2: 0.15133550131540485
2023-05-09 10:40:55,550 INFO 3: 0.143548121894183
2023-05-09 10:40:55,550 INFO 4: 0.1485950745396083
