2023-05-09 10:16:29,466 INFO Starting...
2023-05-09 10:16:29,466 INFO Tickers: ['ADP']
2023-05-09 10:17:47,614 INFO used_ofi_trade_3_1: 0.0013837322409612145 , std 0.0371728062708015 
2023-05-09 10:17:47,614 INFO used_ofi_trade_4_1: 0.0017399405406145964 , std 0.041676289992389225 
2023-05-09 10:17:47,614 INFO used_ofi_trade_5_1: 0.0012741296872217122 , std 0.03567220599797344 
2023-05-09 10:17:47,614 INFO used_ofi_trade_6_1: 0.0013654651486712974 , std 0.03692696377444348 
2023-05-09 10:17:47,614 INFO used_ofi_trade_7_1: 0.0010092568490179155 , std 0.031752767590095606 
2023-05-09 10:17:47,614 INFO used_ofi_trade_8_1: 0.0008083188338288282 , std 0.028419455562901014 
2023-05-09 10:17:47,614 INFO used_ofi_trade_9_1: 0.0006895827339443675 , std 0.026250851597565614 
2023-05-09 10:17:47,614 INFO used_ofi_trade_10_1: 0.0005662798609874277 , std 0.023789896765359603 
2023-05-09 10:17:47,614 INFO used_ofi_add_1_2: 0.0246560078183155 , std 0.15507446307106362 
2023-05-09 10:17:47,614 INFO used_ofi_add_2_2: 0.032839665164198326 , std 0.17821678247601053 
2023-05-09 10:17:47,614 INFO used_ofi_add_3_2: 0.028071954076529983 , std 0.16517844735574666 
2023-05-09 10:17:47,614 INFO used_ofi_add_4_2: 0.028629100391372453 , std 0.16676173122798038 
2023-05-09 10:17:47,614 INFO used_ofi_add_5_2: 0.029921497170884083 , std 0.17037077559821362 
2023-05-09 10:17:47,614 INFO used_ofi_add_6_2: 0.02948765372899855 , std 0.16916894516003003 
2023-05-09 10:17:47,614 INFO used_ofi_add_7_2: 0.02508985126020103 , std 0.15639805185468908 
2023-05-09 10:17:47,614 INFO used_ofi_add_8_2: 0.021075657729491763 , std 0.1436366052953114 
2023-05-09 10:17:47,614 INFO used_ofi_add_9_2: 0.021103058367926638 , std 0.14372793498637113 
2023-05-09 10:17:47,614 INFO used_ofi_add_10_2: 0.02692569403533769 , std 0.16186630605550084 
2023-05-09 10:17:47,614 INFO used_ofi_cancel_1_2: 0.007804615180867048 , std 0.08799831340852861 
2023-05-09 10:17:47,614 INFO used_ofi_cancel_2_2: 0.015531595219501948 , std 0.12365421452356358 
2023-05-09 10:17:47,614 INFO used_ofi_cancel_3_2: 0.014832878939412621 , std 0.12088368228086598 
2023-05-09 10:17:47,614 INFO used_ofi_cancel_4_2: 0.014545172235846428 , std 0.11972305626100595 
2023-05-09 10:17:47,614 INFO used_ofi_cancel_5_2: 0.016234878272663754 , std 0.12637763647155115 
2023-05-09 10:17:47,614 INFO used_ofi_cancel_6_2: 0.015431126211907405 , std 0.12325991463464343 
2023-05-09 10:17:47,614 INFO used_ofi_cancel_7_2: 0.0134948144291762 , std 0.11538069341401229 
2023-05-09 10:17:47,614 INFO used_ofi_cancel_8_2: 0.01232572052262151 , std 0.11033493162285342 
2023-05-09 10:17:47,614 INFO used_ofi_cancel_9_2: 0.013280176094769674 , std 0.1144718874556613 
2023-05-09 10:17:47,614 INFO used_ofi_cancel_10_2: 0.015485927488777156 , std 0.1234751535272967 
2023-05-09 10:17:47,614 INFO used_ofi_trade_1_2: 0.0008357194722637038 , std 0.02889673070136798 
2023-05-09 10:17:47,614 INFO used_ofi_trade_2_2: 0.002488891324501194 , std 0.049826667001476393 
2023-05-09 10:17:47,614 INFO used_ofi_trade_3_2: 0.002735497070415074 , std 0.052230394658597266 
2023-05-09 10:17:47,614 INFO used_ofi_trade_4_2: 0.002735497070415074 , std 0.05223039465859725 
2023-05-09 10:17:47,614 INFO used_ofi_trade_5_2: 0.0025802267859507794 , std 0.05073035792978246 
2023-05-09 10:17:47,614 INFO used_ofi_trade_6_2: 0.0026532951551104474 , std 0.05144176493794041 
2023-05-09 10:17:47,615 INFO used_ofi_trade_7_2: 0.001552702844642947 , std 0.03937374707237278 
2023-05-09 10:17:47,615 INFO used_ofi_trade_8_2: 0.0014065661063236107 , std 0.037477829154209996 
2023-05-09 10:17:47,615 INFO used_ofi_trade_9_2: 0.0012832632333666708 , std 0.03579967135101326 
2023-05-09 10:17:47,615 INFO used_ofi_trade_10_2: 0.001159960360409731 , std 0.034038431990501695 
2023-05-09 10:17:47,615 INFO used_ofi_add_1_3: 0.0485630648527444 , std 0.21495277059124532 
2023-05-09 10:17:47,615 INFO used_ofi_add_2_3: 0.05657318482187302 , std 0.23102523580982062 
2023-05-09 10:17:47,615 INFO used_ofi_add_3_3: 0.045567261717198014 , std 0.20854468676232052 
2023-05-09 10:17:47,615 INFO used_ofi_add_4_3: 0.04739853771926219 , std 0.21248980291142885 
2023-05-09 10:17:47,615 INFO used_ofi_add_5_3: 0.048307325560685566 , std 0.2144148499005129 
2023-05-09 10:17:47,615 INFO used_ofi_add_6_3: 0.046708954985317824 , std 0.2110147589849994 
2023-05-09 10:17:47,615 INFO used_ofi_add_7_3: 0.04160330269028602 , std 0.1996809152010939 
2023-05-09 10:17:47,615 INFO used_ofi_add_8_3: 0.03741557178282254 , std 0.1897778879927453 
