2023-05-09 09:38:56,000 INFO Starting...
2023-05-09 09:38:56,001 INFO Tickers: ['ORCL']
2023-05-09 09:40:15,923 INFO used_ofi_add_5_2: 0.017276102533189022 , std 0.1302982686548511 
2023-05-09 09:40:15,923 INFO used_ofi_add_6_2: 0.010252405547715929 , std 0.10073377650123663 
2023-05-09 09:40:15,923 INFO used_ofi_add_7_2: 0.007877683550026715 , std 0.08840602723747035 
2023-05-09 09:40:15,923 INFO used_ofi_add_8_2: 0.007073931489270367 , std 0.08380865696666112 
2023-05-09 09:40:15,923 INFO used_ofi_add_9_2: 0.00631584715923881 , std 0.07922093936517004 
2023-05-09 09:40:15,923 INFO used_ofi_add_10_2: 0.007443840108141186 , std 0.08595597333859709 
2023-05-09 09:40:15,924 INFO used_ofi_cancel_1_2: 0.03671228872966074 , std 0.1880545042956716 
2023-05-09 09:40:15,924 INFO used_ofi_cancel_2_2: 0.014759810570252954 , std 0.1205900433791414 
2023-05-09 09:40:15,924 INFO used_ofi_cancel_3_2: 0.015549862311791864 , std 0.12372576164193204 
2023-05-09 09:40:15,924 INFO used_ofi_cancel_4_2: 0.021760673690363653 , std 0.14590115411094307 
2023-05-09 09:40:15,924 INFO used_ofi_cancel_5_2: 0.0065715864512976485 , std 0.08079851918699232 
2023-05-09 09:40:15,924 INFO used_ofi_cancel_6_2: 0.0027765980280673873 , std 0.05262022929879647 
2023-05-09 09:40:15,924 INFO used_ofi_cancel_7_2: 0.0020961488402679784 , std 0.04573570815355789 
2023-05-09 09:40:15,924 INFO used_ofi_cancel_8_2: 0.0017856082713393888 , std 0.042218714741696174 
2023-05-09 09:40:15,924 INFO used_ofi_cancel_9_2: 0.0012786964602941916 , std 0.035735995797747444 
2023-05-09 09:40:15,924 INFO used_ofi_cancel_10_2: 0.0012010613180620442 , std 0.034635513129911887 
2023-05-09 09:40:15,924 INFO used_ofi_trade_1_2: 0.0007032830531618053 , std 0.0265101574138846 
2023-05-09 09:40:15,924 INFO used_ofi_trade_2_2: 0.005493828006192544 , std 0.07391647894773476 
2023-05-09 09:40:15,924 INFO used_ofi_trade_3_2: 0.007028263758545574 , std 0.08353961495653356 
