2023-05-09 08:32:46,586 INFO Starting...
2023-05-09 08:32:46,586 INFO Tickers: ['AMZN']
2023-05-09 08:34:09,304 INFO ofi_add_4_3: -7.357777934960454e-08 , std 2.561665014727059e-06 
2023-05-09 08:34:09,304 INFO ofi_add_5_3: -6.643451335067559e-08 , std 2.3000965735135438e-06 
2023-05-09 08:34:09,304 INFO ofi_add_6_3: -7.029637172543781e-08 , std 2.270031589299153e-06 
2023-05-09 08:34:09,304 INFO ofi_add_7_3: -7.328808096184482e-08 , std 2.4378729219210563e-06 
2023-05-09 08:34:09,304 INFO ofi_add_8_3: -6.860806265045164e-08 , std 2.4227702483903856e-06 
2023-05-09 08:34:09,304 INFO ofi_add_9_3: -8.823500903372569e-08 , std 2.487004885339287e-06 
2023-05-09 08:34:09,304 INFO ofi_add_10_3: -1.0576234095444904e-07 , std 2.4734832322296445e-06 
2023-05-09 08:34:09,305 INFO ofi_cancel_1_3: -4.401093556927819e-09 , std 1.800845298501167e-06 
2023-05-09 08:34:09,305 INFO ofi_cancel_2_3: -9.045224490653387e-10 , std 2.3555126646963067e-06 
2023-05-09 08:34:09,305 INFO ofi_cancel_3_3: -2.3926979829331494e-08 , std 2.3162164268141507e-06 
2023-05-09 08:34:09,305 INFO ofi_cancel_4_3: -2.8819226158108653e-08 , std 2.3835881859826905e-06 
2023-05-09 08:34:09,305 INFO ofi_cancel_5_3: -4.398017988740057e-08 , std 2.373377085632663e-06 
2023-05-09 08:34:09,305 INFO ofi_cancel_6_3: -4.503207472597033e-08 , std 2.339727211742002e-06 
2023-05-09 08:34:09,305 INFO ofi_cancel_7_3: -3.885056372350551e-08 , std 2.4587083220351614e-06 
2023-05-09 08:34:09,305 INFO ofi_cancel_8_3: -5.315947627113608e-08 , std 2.1944066855735363e-06 
2023-05-09 08:34:09,305 INFO ofi_cancel_9_3: -2.0669825718253062e-08 , std 2.1803277439066565e-06 
2023-05-09 08:34:09,305 INFO ofi_cancel_10_3: -6.741989468566881e-08 , std 2.2333281583938506e-06 
2023-05-09 08:34:09,305 INFO ofi_trade_1_3: -2.871045970043039e-08 , std 1.5537833078820626e-06 
2023-05-09 08:34:09,305 INFO ofi_trade_2_3: -3.843458368313149e-08 , std 2.3337463128691533e-06 
2023-05-09 08:34:09,305 INFO ofi_trade_3_3: -1.854289507529466e-08 , std 1.513484835243198e-06 
2023-05-09 08:34:09,305 INFO ofi_trade_4_3: -1.7619899919204465e-08 , std 1.2234986392490885e-06 
2023-05-09 08:34:09,305 INFO ofi_trade_5_3: -2.516063695514732e-08 , std 1.3100949932268298e-06 
2023-05-09 08:34:09,305 INFO ofi_trade_6_3: -2.5747196124832422e-08 , std 1.2706883235224752e-06 
2023-05-09 08:34:09,305 INFO ofi_trade_7_3: -2.268462641024998e-08 , std 1.2260502509754772e-06 
2023-05-09 08:34:09,305 INFO ofi_trade_8_3: -2.729219273387953e-08 , std 1.5154769692174282e-06 
2023-05-09 08:34:09,305 INFO ofi_trade_9_3: -2.3836719683237663e-08 , std 1.4609406403091025e-06 
2023-05-09 08:34:09,305 INFO ofi_trade_10_3: -4.1337092954677287e-08 , std 1.7006106877817337e-06 
2023-05-09 08:34:09,305 INFO used_intercept: 0.9866193548976357 , std 0.11489823079146518 
2023-05-09 08:34:09,305 INFO used_ofi_add_1_1: 0.00846679727637654 , std 0.09162483626319493 
2023-05-09 08:34:09,305 INFO used_ofi_add_2_1: 0.011480867504212847 , std 0.106531953824022 
2023-05-09 08:34:09,305 INFO used_ofi_add_3_1: 0.01312947258337786 , std 0.11382921212527208 
2023-05-09 08:34:09,305 INFO used_ofi_add_4_1: 0.013791654678887351 , std 0.11662523286195693 
2023-05-09 08:34:09,305 INFO used_ofi_add_5_1: 0.014271165851497673 , std 0.11860649087101735 
2023-05-09 08:34:09,305 INFO used_ofi_add_6_1: 0.01441273581674453 , std 0.11918476774748214 
2023-05-09 08:34:09,305 INFO used_ofi_add_7_1: 0.016481484018577634 , std 0.12731788838620833 
2023-05-09 08:34:09,305 INFO used_ofi_add_8_1: 0.018929274385426513 , std 0.1362752984097549 
2023-05-09 08:34:09,305 INFO used_ofi_add_9_1: 0.0228292985893238 , std 0.14935903626913002 
2023-05-09 08:34:09,305 INFO used_ofi_add_10_1: 0.034675507939334986 , std 0.18295659892030158 
2023-05-09 08:34:09,305 INFO used_ofi_cancel_1_1: 0.00153443575235303 , std 0.03914180960654388 
2023-05-09 08:34:09,305 INFO used_ofi_cancel_2_1: 0.00472204335694355 , std 0.06855469103918925 
2023-05-09 08:34:09,305 INFO used_ofi_cancel_3_1: 0.00607380818639741 , std 0.07769759996622973 
2023-05-09 08:34:09,305 INFO used_ofi_cancel_4_1: 0.007041964077763012 , std 0.08362042106860326 
2023-05-09 08:34:09,305 INFO used_ofi_cancel_5_1: 0.007754380677069776 , std 0.08771687555644501 
2023-05-09 08:34:09,305 INFO used_ofi_cancel_6_1: 0.00890064071826207 , std 0.0939224111331608 
2023-05-09 08:34:09,305 INFO used_ofi_cancel_7_1: 0.010530978705137164 , std 0.102078779345411 
2023-05-09 08:34:09,305 INFO used_ofi_cancel_8_1: 0.010891753777863025 , std 0.1037936581757548 
2023-05-09 08:34:09,305 INFO used_ofi_cancel_9_1: 0.0145954067396437 , std 0.11992656437065172 
2023-05-09 08:34:09,305 INFO used_ofi_cancel_10_1: 0.018742036689454865 , std 0.1356125833032687 
2023-05-09 08:34:09,305 INFO used_ofi_trade_1_1: 0.0006987162800893261 , std 0.02642400567002029 
2023-05-09 08:34:09,305 INFO used_ofi_trade_2_1: 0.0010731916720326251 , std 0.03274202088551813 
2023-05-09 08:34:09,305 INFO used_ofi_trade_3_1: 0.000662182095509492 , std 0.025724377745280427 
2023-05-09 08:34:09,305 INFO used_ofi_trade_4_1: 0.0003836089380882575 , std 0.019582180222612502 
2023-05-09 08:34:09,305 INFO used_ofi_trade_5_1: 0.00039730925730569524 , std 0.019928657823841383 
2023-05-09 08:34:09,305 INFO used_ofi_trade_6_1: 0.0004795111726103218 , std 0.021892492814790734 
2023-05-09 08:34:09,305 INFO used_ofi_trade_7_1: 0.0003790421650157782 , std 0.019465315102841736 
2023-05-09 08:34:09,305 INFO used_ofi_trade_8_1: 0.0005343124494800728 , std 0.023109023339085613 
2023-05-09 08:34:09,305 INFO used_ofi_trade_9_1: 0.000607380818639741 , std 0.02463761163710658 
2023-05-09 08:34:09,305 INFO used_ofi_trade_10_1: 0.000680449187799409 , std 0.02607654456982811 
2023-05-09 08:34:09,305 INFO used_ofi_add_1_2: 0.016431249514780363 , std 0.12712695840836985 
2023-05-09 08:34:09,305 INFO used_ofi_add_2_2: 0.021646504363551672 , std 0.14552640039659612 
2023-05-09 08:34:09,306 INFO used_ofi_add_3_2: 0.020504811095431858 , std 0.14171931349457106 
2023-05-09 08:34:09,306 INFO used_ofi_add_4_2: 0.020883853260447637 , std 0.14299551717953862 
2023-05-09 08:34:09,306 INFO used_ofi_add_5_2: 0.02202554652856745 , std 0.14676655555229653 
2023-05-09 08:34:09,306 INFO used_ofi_add_6_2: 0.02380202125376188 , std 0.1524319029534085 
2023-05-09 08:34:09,306 INFO used_ofi_add_7_2: 0.025870769455594984 , std 0.15874971730170245 
2023-05-09 08:34:09,306 INFO used_ofi_add_8_2: 0.029414585359838884 , std 0.16896558089725738 
2023-05-09 08:34:09,306 INFO used_ofi_add_9_2: 0.033748453005621695 , std 0.18058099270230257 
