2023-05-09 10:05:47,527 INFO Starting...
2023-05-09 10:05:47,527 INFO Tickers: ['UPS']
2023-05-09 10:07:03,662 INFO used_ofi_add_9_2: 0.024121695368835426 , std 0.15342698322449194 
2023-05-09 10:07:03,662 INFO used_ofi_add_10_2: 0.03010873486685573 , std 0.1708865089805896 
2023-05-09 10:07:03,662 INFO used_ofi_cancel_1_2: 0.006105775597904765 , std 0.0779005462256382 
2023-05-09 10:07:03,662 INFO used_ofi_cancel_2_2: 0.013051837441145712 , std 0.1134966386310873 
2023-05-09 10:07:03,662 INFO used_ofi_cancel_3_2: 0.015545295538719386 , std 0.12370787899456226 
2023-05-09 10:07:03,662 INFO used_ofi_cancel_4_2: 0.019048010485310976 , std 0.1366937591181926 
2023-05-09 10:07:03,662 INFO used_ofi_cancel_5_2: 0.01907997789681833 , std 0.13680618531439015 
2023-05-09 10:07:03,662 INFO used_ofi_cancel_6_2: 0.02037237467632996 , std 0.14127045347976055 
2023-05-09 10:07:03,662 INFO used_ofi_cancel_7_2: 0.01636274791869317 , std 0.1268661042171725 
2023-05-09 10:07:03,662 INFO used_ofi_cancel_8_2: 0.014759810570252954 , std 0.1205900433791414 
2023-05-09 10:07:03,662 INFO used_ofi_cancel_9_2: 0.012517524991665639 , std 0.11117929915118491 
2023-05-09 10:07:03,662 INFO used_ofi_cancel_10_2: 0.014928781173934686 , std 0.12126793750450057 
2023-05-09 10:07:03,662 INFO used_ofi_trade_1_2: 0.0004795111726103218 , std 0.021892492814790734 
2023-05-09 10:07:03,662 INFO used_ofi_trade_2_2: 0.0012604293680042746 , std 0.03548014495196639 
2023-05-09 10:07:03,662 INFO used_ofi_trade_3_2: 0.0020002466057459137 , std 0.04467936457988315 
2023-05-09 10:07:03,662 INFO used_ofi_trade_4_2: 0.0018632434135715363 , std 0.043125070870125175 
2023-05-09 10:07:03,662 INFO used_ofi_trade_5_2: 0.002863366716444493 , std 0.05343377066511077 
2023-05-09 10:07:03,662 INFO used_ofi_trade_6_2: 0.003379412073634649 , std 0.058034400554078464 
2023-05-09 10:07:03,662 INFO used_ofi_trade_7_2: 0.0028359660780096175 , std 0.05317822274591355 
2023-05-09 10:07:03,662 INFO used_ofi_trade_8_2: 0.0018084421367017853 , std 0.04248731191473504 
2023-05-09 10:07:03,662 INFO used_ofi_trade_9_2: 0.0014293999716860069 , std 0.037780375691712643 
2023-05-09 10:07:03,662 INFO used_ofi_trade_10_2: 0.0013380645102364218 , std 0.03655508300637364 
2023-05-09 10:07:03,662 INFO used_ofi_add_1_3: 0.03349728048663534 , std 0.17993113317776618 
2023-05-09 10:07:03,662 INFO used_ofi_add_2_3: 0.040498143606746036 , std 0.19712443778271987 
2023-05-09 10:07:03,662 INFO used_ofi_add_3_3: 0.04313317166956657 , std 0.2031568388494226 
2023-05-09 10:07:03,662 INFO used_ofi_add_4_3: 0.04848542971051226 , std 0.2147896478331747 
2023-05-09 10:07:03,662 INFO used_ofi_add_5_3: 0.053823987432240504 , std 0.225670037464291 
2023-05-09 10:07:03,662 INFO used_ofi_add_6_3: 0.05429893183177835 , std 0.2266066147174575 
2023-05-09 10:07:03,662 INFO used_ofi_add_7_3: 0.053513446863311914 , std 0.22505501075985712 
2023-05-09 10:07:03,662 INFO used_ofi_add_8_3: 0.046421248281751634 , std 0.21039561780064622 
2023-05-09 10:07:03,662 INFO used_ofi_add_9_3: 0.042333986381882696 , std 0.20134999373951137 
2023-05-09 10:07:03,662 INFO used_ofi_add_10_3: 0.05453183725847479 , std 0.22706412306590842 
2023-05-09 10:07:03,663 INFO used_ofi_cancel_1_3: 0.013869289821119499 , std 0.11694841863393146 
2023-05-09 10:07:03,663 INFO used_ofi_cancel_2_3: 0.02719056687354149 , std 0.16263837169203627 
2023-05-09 10:07:03,663 INFO used_ofi_cancel_3_3: 0.028076520849602462 , std 0.16519149441355718 
2023-05-09 10:07:03,663 INFO used_ofi_cancel_4_3: 0.03223228434555858 , std 0.17661643239355065 
2023-05-09 10:07:03,663 INFO used_ofi_cancel_5_3: 0.03345161275591055 , std 0.17981268687147506 
2023-05-09 10:07:03,663 INFO used_ofi_cancel_6_3: 0.0342553648166669 , std 0.1818843995452715 
2023-05-09 10:07:03,663 INFO used_ofi_cancel_7_3: 0.03023203773981267 , std 0.17122517815412314 
2023-05-09 10:07:03,663 INFO used_ofi_cancel_8_3: 0.026085407790001507 , std 0.15938933242356854 
2023-05-09 10:07:03,663 INFO used_ofi_cancel_9_3: 0.024194763737995097 , std 0.15365343193582656 
2023-05-09 10:07:03,663 INFO used_ofi_cancel_10_3: 0.029460253090563677 , std 0.16909271592355365 
2023-05-09 10:07:03,663 INFO used_ofi_trade_1_3: 0.0006302146840021373 , std 0.025096165313732797 
2023-05-09 10:07:03,663 INFO used_ofi_trade_2_3: 0.0020276472441807893 , std 0.04498372917882594 
2023-05-09 10:07:03,663 INFO used_ofi_trade_3_3: 0.0034616139889392756 , std 0.05873356125360402 
2023-05-09 10:07:03,663 INFO used_ofi_trade_4_3: 0.0046261411224214856 , std 0.06785823414101584 
2023-05-09 10:07:03,663 INFO used_ofi_trade_5_3: 0.005868303398135843 , std 0.07637975133085517 
2023-05-09 10:07:03,663 INFO used_ofi_trade_6_3: 0.006274746201586497 , std 0.07896438286779787 
2023-05-09 10:07:03,663 INFO used_ofi_trade_7_3: 0.0046261411224214856 , std 0.06785823414101584 
2023-05-09 10:07:03,663 INFO used_ofi_trade_8_3: 0.0034068127120695244 , std 0.0582683991475174 
2023-05-09 10:07:03,663 INFO used_ofi_trade_9_3: 0.0024203897284140055 , std 0.04913788194434711 
2023-05-09 10:07:03,663 INFO used_ofi_trade_10_3: 0.002324487493891941 , std 0.04815687128315836 
2023-05-09 10:07:04,352 INFO Grouping by horizont:
2023-05-09 10:07:04,352 INFO 1: 0.27787444114114523
2023-05-09 10:07:04,352 INFO 2: 0.4423878743041379
2023-05-09 10:07:04,352 INFO 3: 0.7852520630397353
2023-05-09 10:07:04,352 INFO Grouping by ofi type:
2023-05-09 10:07:04,352 INFO add: 0.9176976156877789
2023-05-09 10:07:04,352 INFO cancel: 0.5220369634612486
2023-05-09 10:07:04,352 INFO trade: 0.0657797993359912
2023-05-09 10:07:04,352 INFO Grouping by ofi type and horizont:
2023-05-09 10:07:04,352 INFO add_1: 0.1758024961981614
2023-05-09 10:07:04,352 INFO cancel_1: 0.09121672534970066
2023-05-09 10:07:04,352 INFO trade_1: 0.01085521959328319
2023-05-09 10:07:04,352 INFO add_2: 0.27135765596671735
2023-05-09 10:07:04,352 INFO cancel_2: 0.15177213629077557
2023-05-09 10:07:04,352 INFO trade_2: 0.01925808204664502
2023-05-09 10:07:04,352 INFO add_3: 0.47053746352290005
2023-05-09 10:07:04,352 INFO cancel_3: 0.27904810182077244
2023-05-09 10:07:04,352 INFO trade_3: 0.03566649769606298
2023-05-09 10:07:04,352 INFO Grouping by level:
2023-05-09 10:07:04,352 INFO 1: 0.08552195932831902
2023-05-09 10:07:04,352 INFO 2: 0.12810711822918805
2023-05-09 10:07:04,352 INFO 3: 0.141437528827755
2023-05-09 10:07:04,352 INFO 4: 0.16579669639635936
2023-05-09 10:07:04,352 INFO 5: 0.18225077977650211
2023-05-09 10:07:04,353 INFO 6: 0.1896169847424112
