2023-05-09 09:05:32,307 INFO Starting...
2023-05-09 09:05:32,307 INFO Tickers: ['CSCO']
2023-05-09 09:06:53,087 INFO used_ofi_add_1_1: 0.10571942741780778 , std 0.3074781782245021 
2023-05-09 09:06:53,087 INFO used_ofi_add_2_1: 0.027414153778695338 , std 0.16328691910650214 
2023-05-09 09:06:53,087 INFO used_ofi_add_3_1: 0.015049922809197125 , std 0.12175147897514155 
2023-05-09 09:06:53,087 INFO used_ofi_add_4_1: 0.018114717408581425 , std 0.13336631666874757 
2023-05-09 09:06:53,087 INFO used_ofi_add_5_1: 0.007262329974696033 , std 0.08490929594593671 
2023-05-09 09:06:53,087 INFO used_ofi_add_6_1: 0.004279750431629046 , std 0.0652796612113759 
2023-05-09 09:06:53,087 INFO used_ofi_add_7_1: 0.003489572390357087 , std 0.05896944356944149 
2023-05-09 09:06:53,087 INFO used_ofi_add_8_1: 0.004046807772063324 , std 0.06348567648626965 
2023-05-09 09:06:53,087 INFO used_ofi_add_9_1: 0.003421059843425993 , std 0.058389692523370014 
2023-05-09 09:06:53,087 INFO used_ofi_add_10_1: 0.004800445788305365 , std 0.0691187493270741 
2023-05-09 09:06:53,087 INFO used_ofi_cancel_1_1: 0.03193598187614759 , std 0.17582967593029897 
2023-05-09 09:06:53,087 INFO used_ofi_cancel_2_1: 0.007664270250025121 , std 0.08720968530822536 
2023-05-09 09:06:53,087 INFO used_ofi_cancel_3_1: 0.008468150800683298 , std 0.09163209712049694 
2023-05-09 09:06:53,087 INFO used_ofi_cancel_4_1: 0.008239775644246316 , std 0.09039846094695861 
2023-05-09 09:06:53,087 INFO used_ofi_cancel_5_1: 0.0016351661200887922 , std 0.04040411305608014 
2023-05-09 09:06:53,087 INFO used_ofi_cancel_6_1: 0.000717097991212124 , std 0.026769082197249935 
2023-05-09 09:06:53,088 INFO used_ofi_cancel_7_1: 0.0004932903379038815 , std 0.022204661730060464 
2023-05-09 09:06:53,088 INFO used_ofi_cancel_8_1: 0.00046588531913144363 , std 0.021579348229287677 
2023-05-09 09:06:53,088 INFO used_ofi_cancel_9_1: 0.0003288602252692543 , std 0.018131521619033798 
2023-05-09 09:06:53,088 INFO used_ofi_cancel_10_1: 0.00045675031287396433 , std 0.021366836266177868 
2023-05-09 09:06:53,088 INFO used_ofi_trade_1_1: 0.00038367026281413 , std 0.01958374478856284 
2023-05-09 09:06:53,088 INFO used_ofi_trade_2_1: 0.004298020444144004 , std 0.06541825023956023 
2023-05-09 09:06:53,088 INFO used_ofi_trade_3_1: 0.0058875115329454 , std 0.07650391323909407 
2023-05-09 09:06:53,088 INFO used_ofi_trade_4_1: 0.005526678785774969 , std 0.07413591981876147 
2023-05-09 09:06:53,088 INFO used_ofi_trade_5_1: 0.003165279668216573 , std 0.0561717070493549 
2023-05-09 09:06:53,088 INFO used_ofi_trade_6_1: 0.0024755866957768867 , std 0.04969364311749119 
2023-05-09 09:06:53,088 INFO used_ofi_trade_7_1: 0.002215239017438727 , std 0.047014165243406625 
2023-05-09 09:06:53,088 INFO used_ofi_trade_8_1: 0.0018224337483671177 , std 0.04265105489433913 
2023-05-09 09:06:53,088 INFO used_ofi_trade_9_1: 0.0023248590925284782 , std 0.04816071140180931 
2023-05-09 09:06:53,088 INFO used_ofi_trade_10_1: 0.0025623692552229397 , std 0.05055495543488123 
2023-05-09 09:06:53,088 INFO used_ofi_add_1_2: 0.12259635147850076 , std 0.3279733008686235 
2023-05-09 09:06:53,088 INFO used_ofi_add_2_2: 0.04160081849656067 , std 0.19967521227477605 
2023-05-09 09:06:53,088 INFO used_ofi_add_3_2: 0.02329883345970092 , std 0.1508509125564643 
2023-05-09 09:06:53,088 INFO used_ofi_add_4_2: 0.028464679498305456 , std 0.16629624625758754 
2023-05-09 09:06:53,088 INFO used_ofi_add_5_2: 0.011857238122208114 , std 0.10824344796024084 
2023-05-09 09:06:53,088 INFO used_ofi_add_6_2: 0.007586622696836547 , std 0.08677018988622989 
2023-05-09 09:06:53,088 INFO used_ofi_add_7_2: 0.006289451808274489 , std 0.07905627491999533 
2023-05-09 09:06:53,088 INFO used_ofi_add_8_2: 0.00613872420502608 , std 0.07810915612244641 
2023-05-09 09:06:53,088 INFO used_ofi_add_9_2: 0.006029104129936329 , std 0.07741288028052382 
2023-05-09 09:06:53,088 INFO used_ofi_add_10_2: 0.00678730964930711 , std 0.0821050673042263 
2023-05-09 09:06:53,088 INFO used_ofi_cancel_1_2: 0.04442810293325051 , std 0.20604428311167242 
2023-05-09 09:06:53,088 INFO used_ofi_cancel_2_2: 0.013378216664078416 , std 0.1148879453335614 
2023-05-09 09:06:53,088 INFO used_ofi_cancel_3_2: 0.01407704464277558 , std 0.11780866460876674 
2023-05-09 09:06:53,088 INFO used_ofi_cancel_4_2: 0.014428742383688534 , std 0.11924996342520901 
2023-05-09 09:06:53,088 INFO used_ofi_cancel_5_2: 0.0031424421525728745 , std 0.055969341696062554 
2023-05-09 09:06:53,088 INFO used_ofi_cancel_6_2: 0.0012971708885620586 , std 0.03599289146828754 
2023-05-09 09:06:53,088 INFO used_ofi_cancel_7_2: 0.0007719080287569997 , std 0.027772507750510034 
2023-05-09 09:06:53,088 INFO used_ofi_cancel_8_2: 0.0006851254693109465 , std 0.0261659334326572 
2023-05-09 09:06:53,088 INFO used_ofi_cancel_9_2: 0.0009180681288766683 , std 0.03028572732802383 
2023-05-09 09:06:53,088 INFO used_ofi_cancel_10_2: 0.0009454731476491061 , std 0.03073400768165747 
2023-05-09 09:06:53,088 INFO used_ofi_trade_1_2: 0.0006668554567959879 , std 0.02581493289930713 
2023-05-09 09:06:53,088 INFO used_ofi_trade_2_2: 0.006855822196238205 , std 0.08251557367098512 
2023-05-09 09:06:53,088 INFO used_ofi_trade_3_2: 0.009399921438946185 , std 0.09649643991302387 
2023-05-09 09:06:53,088 INFO used_ofi_trade_4_2: 0.00896144113858718 , std 0.09423976714374255 
2023-05-09 09:06:53,088 INFO used_ofi_trade_5_2: 0.0051886835542482345 , std 0.07184539732802728 
2023-05-09 09:06:53,088 INFO used_ofi_trade_6_2: 0.004074212790835762 , std 0.06369940016178136 
2023-05-09 09:06:53,088 INFO used_ofi_trade_7_2: 0.00384127013127004 , std 0.06185882940250853 
2023-05-09 09:06:53,088 INFO used_ofi_trade_8_2: 0.003507842402872046 , std 0.05912307032410156 
2023-05-09 09:06:53,088 INFO used_ofi_trade_9_2: 0.0030145520649681643 , std 0.05482211725951271 
2023-05-09 09:06:53,088 INFO used_ofi_trade_10_2: 0.004087915300221981 , std 0.06380598912892263 
2023-05-09 09:06:53,088 INFO used_ofi_add_1_3: 0.16757255478720004 , std 0.37348626971990667 
2023-05-09 09:06:53,088 INFO used_ofi_add_2_3: 0.06304981318912203 , std 0.2430525339220697 
2023-05-09 09:06:53,088 INFO used_ofi_add_3_3: 0.04849318071782879 , std 0.21480594065736822 
2023-05-09 09:06:53,088 INFO used_ofi_add_4_3: 0.05716686915930538 , std 0.2321611901886882 
2023-05-09 09:06:53,088 INFO used_ofi_add_5_3: 0.023321670975344617 , std 0.15092306198279432 
2023-05-09 09:06:53,088 INFO used_ofi_add_6_3: 0.014807845143373924 , std 0.1207831646612382 
2023-05-09 09:06:53,088 INFO used_ofi_add_7_3: 0.013478701732910686 , std 0.11531273274233822 
2023-05-09 09:06:53,088 INFO used_ofi_add_8_3: 0.013113301482611516 , std 0.11376002288518432 
2023-05-09 09:06:53,088 INFO used_ofi_add_9_3: 0.0130539239419379 , std 0.11350559022205028 
2023-05-09 09:06:53,088 INFO used_ofi_add_10_3: 0.01547926810329865 , std 0.12344901928441901 
2023-05-09 09:06:53,088 INFO used_ofi_cancel_1_3: 0.08300523435858553 , std 0.27589013289289965 
2023-05-09 09:06:53,089 INFO used_ofi_cancel_2_3: 0.024755866957768866 , std 0.15538022399564919 
2023-05-09 09:06:53,089 INFO used_ofi_cancel_3_3: 0.02867021713909874 , std 0.16687790683099923 
2023-05-09 09:06:53,089 INFO used_ofi_cancel_4_3: 0.026450410618531275 , std 0.160470515661421 
2023-05-09 09:06:53,089 INFO used_ofi_cancel_5_3: 0.006316856827046927 , std 0.0792272310943246 
2023-05-09 09:06:53,089 INFO used_ofi_cancel_6_3: 0.00243447916761823 , std 0.04928034576583918 
2023-05-09 09:06:53,089 INFO used_ofi_cancel_7_3: 0.0018132987421096384 , std 0.04254422040396912 
2023-05-09 09:06:53,089 INFO used_ofi_cancel_8_3: 0.0013976559573943307 , std 0.0373591021736215 
2023-05-09 09:06:53,089 INFO used_ofi_cancel_9_3: 0.001265198366660881 , std 0.03554711858581339 
2023-05-09 09:06:53,089 INFO used_ofi_cancel_10_3: 0.0018635412765257745 , std 0.04312851134037043 
2023-05-09 09:06:53,089 INFO used_ofi_trade_1_3: 0.0013245759073344965 , std 0.036370611845282536 
2023-05-09 09:06:53,089 INFO used_ofi_trade_2_3: 0.013095031470096557 , std 0.11368179986652982 
2023-05-09 09:06:53,089 INFO used_ofi_trade_3_3: 0.0156117256940321 , std 0.12396773658854306 
2023-05-09 09:06:53,089 INFO used_ofi_trade_4_3: 0.016447578766591454 , std 0.1271890558157746 
2023-05-09 09:06:53,089 INFO used_ofi_trade_5_3: 0.010386502114753948 , std 0.10138354249371123 
2023-05-09 09:06:53,089 INFO used_ofi_trade_6_3: 0.007531812659291671 , std 0.08645857075707997 
2023-05-09 09:06:53,089 INFO used_ofi_trade_7_3: 0.0065041244553252515 , std 0.0803854515468744 
2023-05-09 09:06:53,089 INFO used_ofi_trade_8_3: 0.0060428066393225476 , std 0.07750026533659293 
2023-05-09 09:06:53,089 INFO used_ofi_trade_9_3: 0.007349112534142086 , std 0.08541137558371603 
2023-05-09 09:06:53,089 INFO used_ofi_trade_10_3: 0.0076871077656688195 , std 0.08733851464198261 
2023-05-09 09:06:53,768 INFO Grouping by horizont:
2023-05-09 09:06:53,768 INFO 1: 0.2846650649955695
2023-05-09 09:06:53,768 INFO 2: 0.4043199444591619
2023-05-09 09:06:53,768 INFO 3: 0.6994902666508326
2023-05-09 09:06:53,768 INFO Grouping by ofi type:
2023-05-09 09:06:53,768 INFO add: 0.8837844503923487
2023-05-09 09:06:53,768 INFO cancel: 0.3324502827284437
2023-05-09 09:06:53,768 INFO trade: 0.17224054298477195
2023-05-09 09:06:53,769 INFO Grouping by ofi type and horizont:
2023-05-09 09:06:53,769 INFO add_1: 0.19359818761475847
2023-05-09 09:06:53,769 INFO cancel_1: 0.060405228877581776
2023-05-09 09:06:53,769 INFO trade_1: 0.030661648503229225
2023-05-09 09:06:53,769 INFO add_2: 0.2606491335446565
2023-05-09 09:06:53,769 INFO cancel_2: 0.09407229443952168
2023-05-09 09:06:53,769 INFO trade_2: 0.04959851647498379
2023-05-09 09:06:53,769 INFO add_3: 0.42953712923293347
2023-05-09 09:06:53,769 INFO cancel_3: 0.1779727594113402
2023-05-09 09:06:53,769 INFO trade_3: 0.09198037800655894
2023-05-09 09:06:53,769 INFO Grouping by level:
2023-05-09 09:06:53,769 INFO 1: 0.5576327544784369
2023-05-09 09:06:53,769 INFO 2: 0.20211201344672924
2023-05-09 09:06:53,769 INFO 3: 0.16895650823520814
2023-05-09 09:06:53,769 INFO 4: 0.18380089340361197
2023-05-09 09:06:53,769 INFO 5: 0.07227616950917612
2023-05-09 09:06:53,769 INFO 6: 0.045204578465136244
2023-05-09 09:06:53,769 INFO 7: 0.0388968566443468
2023-05-09 09:06:53,769 INFO 8: 0.03722058299609935
2023-05-09 09:06:53,769 INFO 9: 0.037704738327745756
2023-05-09 09:06:53,769 INFO 10: 0.04467018059907371
2023-05-09 09:06:53,769 INFO Grouping by level and horizont:
2023-05-09 09:06:53,769 INFO 1_1: 0.1380390795567695
2023-05-09 09:06:53,769 INFO 2_1: 0.039376444472864466
2023-05-09 09:06:53,769 INFO 3_1: 0.029405585142825826
2023-05-09 09:06:53,769 INFO 4_1: 0.03188117183860271
2023-05-09 09:06:53,769 INFO 5_1: 0.012062775763001398
2023-05-09 09:06:53,769 INFO 6_1: 0.007472435118618057
2023-05-09 09:06:53,769 INFO 7_1: 0.006198101745699696
2023-05-09 09:06:53,769 INFO 8_1: 0.006335126839561885
2023-05-09 09:06:53,769 INFO 9_1: 0.006074779161223726
2023-05-09 09:06:53,769 INFO 10_1: 0.00781956535640227
2023-05-09 09:06:53,769 INFO 1_2: 0.16769130986854724
2023-05-09 09:06:53,769 INFO 2_2: 0.06183485735687729
2023-05-09 09:06:53,769 INFO 3_2: 0.046775799541422684
2023-05-09 09:06:53,769 INFO 4_2: 0.05185486302058118
2023-05-09 09:06:53,769 INFO 5_2: 0.020188363829029225
2023-05-09 09:06:53,769 INFO 6_2: 0.012958006376234368
2023-05-09 09:06:53,769 INFO 7_2: 0.010902629968301528
2023-05-09 09:06:53,769 INFO 8_2: 0.010331692077209072
2023-05-09 09:06:53,769 INFO 9_2: 0.009961724323781162
2023-05-09 09:06:53,769 INFO 10_2: 0.011820698097178197
2023-05-09 09:06:53,769 INFO 1_3: 0.25190236505312
2023-05-09 09:06:53,770 INFO 2_3: 0.10090071161698745
2023-05-09 09:06:53,770 INFO 3_3: 0.09277512355095964
2023-05-09 09:06:53,770 INFO 4_3: 0.10006485854442809
2023-05-09 09:06:53,770 INFO 5_3: 0.04002502991714549
2023-05-09 09:06:53,770 INFO 6_3: 0.024774136970283824
2023-05-09 09:06:53,770 INFO 7_3: 0.02179612493034558
2023-05-09 09:06:53,770 INFO 8_3: 0.020553764079328393
2023-05-09 09:06:53,770 INFO 9_3: 0.021668234842740865
2023-05-09 09:06:53,770 INFO 10_3: 0.025029917145493245
2023-05-09 09:06:53,780 INFO Non empty regressions: 0.38435538828344096 --- 84150 / 218938
