2023-05-09 08:31:25,095 INFO Starting...
2023-05-09 08:31:25,095 INFO Tickers: ['MSFT']
2023-05-09 08:32:45,861 INFO used_ofi_trade_5_1: 0.00527462289871354 , std 0.07243480690931611 
2023-05-09 08:32:45,861 INFO used_ofi_trade_6_1: 0.004607874030131569 , std 0.06772474826128191 
2023-05-09 08:32:45,861 INFO used_ofi_trade_7_1: 0.003055171185488622 , std 0.055189103222610725 
2023-05-09 08:32:45,861 INFO used_ofi_trade_8_1: 0.002520858736008549 , std 0.050144830314217216 
2023-05-09 08:32:45,861 INFO used_ofi_trade_9_1: 0.00251629196293607 , std 0.05009950336773144 
2023-05-09 08:32:45,861 INFO used_ofi_trade_10_1: 0.002840532851082097 , std 0.05322090025736149 
2023-05-09 08:32:45,861 INFO used_ofi_add_1_2: 0.07346567841697378 , std 0.2608993532220952 
2023-05-09 08:32:45,861 INFO used_ofi_add_2_2: 0.028236357907139235 , std 0.16564741470750208 
2023-05-09 08:32:45,861 INFO used_ofi_add_3_2: 0.020043567015111452 , std 0.14014928625013467 
2023-05-09 08:32:45,861 INFO used_ofi_add_4_2: 0.024085161184255594 , std 0.15331362038313498 
2023-05-09 08:32:45,861 INFO used_ofi_add_5_2: 0.028039986665022627 , std 0.16508708554229182 
2023-05-09 08:32:45,861 INFO used_ofi_add_6_2: 0.026030606513131757 , std 0.15922629819753478 
2023-05-09 08:32:45,861 INFO used_ofi_add_7_2: 0.025861635909450023 , std 0.15872243602445457 
2023-05-09 08:32:45,861 INFO used_ofi_add_8_2: 0.02244112287816306 , std 0.148113196178228 
2023-05-09 08:32:45,861 INFO used_ofi_add_9_2: 0.024546405264575997 , std 0.15473809890638823 
2023-05-09 08:32:45,861 INFO used_ofi_add_10_2: 0.02712663205052678 , std 0.16245238651408636 
2023-05-09 08:32:45,861 INFO used_ofi_cancel_1_2: 0.017143666114087124 , std 0.1298066285913621 
2023-05-09 08:32:45,861 INFO used_ofi_cancel_2_2: 0.008498764687883895 , std 0.09179616379056302 
2023-05-09 08:32:45,861 INFO used_ofi_cancel_3_2: 0.008316093764984725 , std 0.09081264421586184 
2023-05-09 08:32:45,861 INFO used_ofi_cancel_4_2: 0.010334607463020555 , std 0.10113260281237617 
2023-05-09 08:32:45,861 INFO used_ofi_cancel_5_2: 0.012001479634475483 , std 0.10889189189769252 
2023-05-09 08:32:45,861 INFO used_ofi_cancel_6_2: 0.009142679691103469 , std 0.09517925771495254 
2023-05-09 08:32:45,861 INFO used_ofi_cancel_7_2: 0.007489507838865979 , std 0.08621725529844677 
2023-05-09 08:32:45,861 INFO used_ofi_cancel_8_2: 0.005868303398135843 , std 0.07637975133085516 
2023-05-09 08:32:45,861 INFO used_ofi_cancel_9_2: 0.006452850351413188 , std 0.08007003855222912 
2023-05-09 08:32:45,861 INFO used_ofi_cancel_10_2: 0.005722166659816507 , std 0.07542826703917965 
2023-05-09 08:32:45,861 INFO used_ofi_trade_1_2: 0.00041557634959561225 , std 0.020381453478426622 
2023-05-09 08:32:45,861 INFO used_ofi_trade_2_2: 0.004690075945436196 , std 0.06832334251968529 
2023-05-09 08:32:45,861 INFO used_ofi_trade_3_2: 0.006964328935530864 , std 0.0831614517550565 
2023-05-09 08:32:45,861 INFO used_ofi_trade_4_2: 0.00773154681170738 , std 0.08758864079094819 
2023-05-09 08:32:45,862 INFO used_ofi_trade_5_2: 0.009457787033104539 , std 0.09679017149246599 
2023-05-09 08:32:45,862 INFO used_ofi_trade_6_2: 0.00662182095509492 , std 0.08110470049469133 
2023-05-09 08:32:45,862 INFO used_ofi_trade_7_2: 0.005630831198366922 , std 0.07482730075568957 
2023-05-09 08:32:45,862 INFO used_ofi_trade_8_2: 0.004644408214711402 , std 0.06799145304408873 
2023-05-09 08:32:45,862 INFO used_ofi_trade_9_2: 0.004991482968219827 , std 0.07047388215500688 
2023-05-09 08:32:45,862 INFO used_ofi_trade_10_2: 0.005370525133235604 , std 0.07308681545278115 
2023-05-09 08:32:45,862 INFO used_ofi_add_1_3: 0.11497307887273774 , std 0.3189894512476251 
2023-05-09 08:32:45,862 INFO used_ofi_add_2_3: 0.049471852694167776 , std 0.2168510744385979 
2023-05-09 08:32:45,862 INFO used_ofi_add_3_3: 0.03814625547441922 , std 0.19154925911550674 
2023-05-09 08:32:45,862 INFO used_ofi_add_4_3: 0.04245272248176716 , std 0.20161966381197355 
2023-05-09 08:32:45,862 INFO used_ofi_add_5_3: 0.054860644919693294 , std 0.22770804675875775 
2023-05-09 08:32:45,862 INFO used_ofi_add_6_3: 0.04857219839888936 , std 0.21497195152295634 
2023-05-09 08:32:45,862 INFO used_ofi_add_7_3: 0.04884620478323812 , std 0.21554640581905346 
2023-05-09 08:32:45,862 INFO used_ofi_add_8_3: 0.042982468158174754 , std 0.20281759191255141 
2023-05-09 08:32:45,862 INFO used_ofi_add_9_3: 0.04301900234275459 , std 0.20289989595903857 
2023-05-09 08:32:45,862 INFO used_ofi_add_10_3: 0.05378745324766067 , std 0.22559779059377202 
2023-05-09 08:32:45,862 INFO used_ofi_cancel_1_3: 0.0391189781388573 , std 0.19387801238982438 
2023-05-09 08:32:45,862 INFO used_ofi_cancel_2_3: 0.018417795801308836 , std 0.1344566123295174 
2023-05-09 08:32:45,862 INFO used_ofi_cancel_3_3: 0.015307823338950465 , std 0.12277415804465512 
2023-05-09 08:32:45,862 INFO used_ofi_cancel_4_3: 0.020221671164938143 , std 0.14075778905707229 
2023-05-09 08:32:45,862 INFO used_ofi_cancel_5_3: 0.02189767688253803 , std 0.1463494743061484 
2023-05-09 08:32:45,862 INFO used_ofi_cancel_6_3: 0.016266845684171107 , std 0.12649994235436818 
2023-05-09 08:32:45,862 INFO used_ofi_cancel_7_3: 0.014335100674512383 , std 0.11886801741075677 
2023-05-09 08:32:45,862 INFO used_ofi_cancel_8_3: 0.011334730765893511 , std 0.10585959873510867 
2023-05-09 08:32:45,862 INFO used_ofi_cancel_9_3: 0.010932854735515337 , std 0.10398715027755812 
2023-05-09 08:32:45,862 INFO used_ofi_cancel_10_3: 0.010124535901686509 , std 0.10011008777571805 
2023-05-09 08:32:45,862 INFO used_ofi_trade_1_3: 0.0008083188338288282 , std 0.028419455562901017 
2023-05-09 08:32:45,862 INFO used_ofi_trade_2_3: 0.009366451571654952 , std 0.09632611876646331 
