2023-05-09 08:52:04,313 INFO Starting...
2023-05-09 08:52:04,313 INFO Tickers: ['MA']
2023-05-09 08:53:24,819 INFO ofi_cancel_4_3: -3.2914403256308946e-07 , std 7.5626023804617295e-06 
2023-05-09 08:53:24,819 INFO ofi_cancel_5_3: -3.0827476048923157e-07 , std 7.413171304104744e-06 
2023-05-09 08:53:24,819 INFO ofi_cancel_6_3: -3.636498436683679e-07 , std 7.590184723179984e-06 
2023-05-09 08:53:24,819 INFO ofi_cancel_7_3: -3.2900731147863714e-07 , std 6.99510158881224e-06 
2023-05-09 08:53:24,819 INFO ofi_cancel_8_3: -2.509696602883554e-07 , std 6.405727690478323e-06 
2023-05-09 08:53:24,819 INFO ofi_cancel_9_3: -1.970689064480334e-07 , std 6.2474231788215674e-06 
2023-05-09 08:53:24,819 INFO ofi_cancel_10_3: -2.1476499967412597e-07 , std 7.475751859537716e-06 
2023-05-09 08:53:24,819 INFO ofi_trade_1_3: -2.5019815842966264e-09 , std 2.3209732294200378e-06 
2023-05-09 08:53:24,819 INFO ofi_trade_2_3: -2.7813115610086408e-08 , std 3.112382730242497e-06 
2023-05-09 08:53:24,819 INFO ofi_trade_3_3: -4.01279208733687e-08 , std 3.296690933972044e-06 
2023-05-09 08:53:24,819 INFO ofi_trade_4_3: -5.653457524599075e-08 , std 4.018133740555834e-06 
2023-05-09 08:53:24,819 INFO ofi_trade_5_3: -7.103019345094391e-08 , std 4.616076430256523e-06 
2023-05-09 08:53:24,819 INFO ofi_trade_6_3: -1.1056038754585023e-07 , std 4.6459908751151805e-06 
2023-05-09 08:53:24,819 INFO ofi_trade_7_3: -7.43588395296478e-08 , std 4.31355040172245e-06 
2023-05-09 08:53:24,819 INFO ofi_trade_8_3: -4.7546908628123634e-08 , std 4.600416266577527e-06 
2023-05-09 08:53:24,819 INFO ofi_trade_9_3: -3.6885596698234624e-08 , std 3.804796926225989e-06 
2023-05-09 08:53:24,819 INFO ofi_trade_10_3: -4.535652145932742e-08 , std 3.731106764889984e-06 
2023-05-09 08:53:24,819 INFO used_intercept: 0.9855552967717481 , std 0.11931493526335926 
2023-05-09 08:53:24,819 INFO used_ofi_add_1_1: 0.010572079662789476 , std 0.10227566081132454 
2023-05-09 08:53:24,819 INFO used_ofi_add_2_1: 0.01638558178405557 , std 0.1269531192750048 
2023-05-09 08:53:24,819 INFO used_ofi_add_3_1: 0.014156996524685692 , std 0.11813795314836688 
2023-05-09 08:53:24,819 INFO used_ofi_add_4_1: 0.014750677024107995 , std 0.12055328511259432 
2023-05-09 08:53:24,819 INFO used_ofi_add_5_1: 0.016947294871970518 , std 0.12907394806270162 
2023-05-09 08:53:24,819 INFO used_ofi_add_6_1: 0.020043567015111452 , std 0.14014928625013467 
2023-05-09 08:53:24,819 INFO used_ofi_add_7_1: 0.019714759353892945 , std 0.13901829957782907 
2023-05-09 08:53:24,819 INFO used_ofi_add_8_1: 0.01773277984043695 , std 0.13197851476497052 
2023-05-09 08:53:24,819 INFO used_ofi_add_9_1: 0.018595899951135527 , std 0.13509290305616684 
2023-05-09 08:53:24,819 INFO used_ofi_add_10_1: 0.02306677078909272 , std 0.15011560503310833 
2023-05-09 08:53:24,819 INFO used_ofi_cancel_1_1: 0.004059861261434058 , std 0.06358756787275295 
2023-05-09 08:53:24,819 INFO used_ofi_cancel_2_1: 0.008334360857274641 , std 0.09091149149791443 
2023-05-09 08:53:24,819 INFO used_ofi_cancel_3_1: 0.008553565964753646 , std 0.09208910073423593 
2023-05-09 08:53:24,819 INFO used_ofi_cancel_4_1: 0.009489754444611892 , std 0.09695204487370473 
2023-05-09 08:53:24,819 INFO used_ofi_cancel_5_1: 0.01048987774748485 , std 0.10188150083468377 
2023-05-09 08:53:24,819 INFO used_ofi_cancel_6_1: 0.011855342896156147 , std 0.10823490075281034 
2023-05-09 08:53:24,819 INFO used_ofi_cancel_7_1: 0.010558379343572039 , std 0.10221007763038471 
2023-05-09 08:53:24,819 INFO used_ofi_cancel_8_1: 0.009731793417453293 , std 0.09816865902279255 
2023-05-09 08:53:24,819 INFO used_ofi_cancel_9_1: 0.010617747393514268 , std 0.1024939551085906 
2023-05-09 08:53:24,819 INFO used_ofi_cancel_10_1: 0.013097505171870505 , std 0.11369239433727892 
2023-05-09 08:53:24,819 INFO used_ofi_trade_1_1: 0.0002557392920588383 , std 0.01598980579848722 
2023-05-09 08:53:24,819 INFO used_ofi_trade_2_1: 0.00041557634959561225 , std 0.020381453478426625 
2023-05-09 08:53:24,819 INFO used_ofi_trade_3_1: 0.0004977782649002388 , std 0.022305391314640318 
2023-05-09 08:53:24,819 INFO used_ofi_trade_4_1: 0.0005480127686975107 , std 0.02340325726694588 
2023-05-09 08:53:24,819 INFO used_ofi_trade_5_1: 0.0007763514223214735 , std 0.027852265631192957 
2023-05-09 08:53:24,819 INFO used_ofi_trade_6_1: 0.0011645271334822101 , std 0.034105292991522505 
2023-05-09 08:53:24,819 INFO used_ofi_trade_7_1: 0.0009224881606408096 , std 0.030358477831312406 
2023-05-09 08:53:24,819 INFO used_ofi_trade_8_1: 0.0008859539760609755 , std 0.02975179089757921 
2023-05-09 08:53:24,819 INFO used_ofi_trade_9_1: 0.0005845469532773447 , std 0.024170338395164418 
2023-05-09 08:53:24,820 INFO used_ofi_trade_10_1: 0.000643915003219575 , std 0.025367309212610697 
2023-05-09 08:53:24,820 INFO used_ofi_add_1_2: 0.017997652678640747 , std 0.13294260858242463 
