2023-05-09 09:08:13,823 INFO Starting...
2023-05-09 09:08:13,823 INFO Tickers: ['BA']
2023-05-09 09:09:34,510 INFO used_ofi_trade_8_2: 0.0017308069944696378 , std 0.04156694963089705 
2023-05-09 09:09:34,510 INFO used_ofi_trade_9_2: 0.0014385335178309655 , std 0.037900714230064886 
2023-05-09 09:09:34,510 INFO used_ofi_trade_10_2: 0.001735373767542117 , std 0.04162165596692477 
2023-05-09 09:09:34,510 INFO used_ofi_add_1_3: 0.025875336228667462 , std 0.15876335598531818 
2023-05-09 09:09:34,510 INFO used_ofi_add_2_3: 0.04182250779776502 , std 0.20018338002759095 
2023-05-09 09:09:34,510 INFO used_ofi_add_3_3: 0.03637434752229727 , std 0.18721980227696108 
2023-05-09 09:09:34,510 INFO used_ofi_add_4_3: 0.039520854169235474 , std 0.19483058346925283 
2023-05-09 09:09:34,510 INFO used_ofi_add_5_3: 0.040443342329876286 , std 0.196996645634043 
2023-05-09 09:09:34,510 INFO used_ofi_add_6_3: 0.04353048092687226 , std 0.20404798003692043 
2023-05-09 09:09:34,511 INFO used_ofi_add_7_3: 0.04328387518095838 , std 0.20349540862210527 
2023-05-09 09:09:34,511 INFO used_ofi_add_8_3: 0.04802418563019185 , std 0.21381735950279795 
2023-05-09 09:09:34,511 INFO used_ofi_add_9_3: 0.051435565115333856 , std 0.22088446698806163 
2023-05-09 09:09:34,511 INFO used_ofi_add_10_3: 0.07323277299027733 , std 0.2605182027237864 
2023-05-09 09:09:34,511 INFO used_ofi_cancel_1_3: 0.010215871363136094 , std 0.1005559910469185 
2023-05-09 09:09:34,511 INFO used_ofi_cancel_2_3: 0.022372621282075872 , std 0.14789214684710164 
2023-05-09 09:09:34,511 INFO used_ofi_cancel_3_3: 0.021504934398304813 , std 0.14506023643586624 
2023-05-09 09:09:34,511 INFO used_ofi_cancel_4_3: 0.024464203349271373 , std 0.15448529413428605 
2023-05-09 09:09:34,511 INFO used_ofi_cancel_5_3: 0.027446306165600325 , std 0.16337994504670536 
2023-05-09 09:09:34,511 INFO used_ofi_cancel_6_3: 0.027679211592296766 , std 0.1640520430775723 
2023-05-09 09:09:34,511 INFO used_ofi_cancel_7_3: 0.030460376393436635 , std 0.17185034728916554 
2023-05-09 09:09:34,511 INFO used_ofi_cancel_8_3: 0.031072323985148854 , std 0.1735132117946953 
2023-05-09 09:09:34,511 INFO used_ofi_cancel_9_3: 0.034885579500669034 , std 0.18348998840146985 
2023-05-09 09:09:34,511 INFO used_ofi_cancel_10_3: 0.04158960237106858 , std 0.19964946117053503 
2023-05-09 09:09:34,511 INFO used_ofi_trade_1_3: 0.0016303379868750942 , std 0.04034451616916041 
2023-05-09 09:09:34,511 INFO used_ofi_trade_2_3: 0.0026167609705306134 , std 0.051087312833557025 
2023-05-09 09:09:34,511 INFO used_ofi_trade_3_3: 0.0020367807903257477 , std 0.04508472373584991 
2023-05-09 09:09:34,511 INFO used_ofi_trade_4_3: 0.0021189827056303746 , std 0.045983612493187324 
2023-05-09 09:09:34,511 INFO used_ofi_trade_5_3: 0.0023655884515442543 , std 0.04857975342488036 
2023-05-09 09:09:34,511 INFO used_ofi_trade_6_3: 0.003183040831518041 , std 0.05632858140041281 
2023-05-09 09:09:34,511 INFO used_ofi_trade_7_3: 0.0033063437044749807 , std 0.05740567738284133 
2023-05-09 09:09:34,511 INFO used_ofi_trade_8_3: 0.003411379485142004 , std 0.05830730636164182 
2023-05-09 09:09:34,511 INFO used_ofi_trade_9_3: 0.003845222927027533 , std 0.061890525831253 
2023-05-09 09:09:34,511 INFO used_ofi_trade_10_3: 0.002972969270183995 , std 0.05444383090766608 
2023-05-09 09:09:35,203 INFO Grouping by horizont:
2023-05-09 09:09:35,203 INFO 1: 0.2704169007137867
2023-05-09 09:09:35,203 INFO 2: 0.4257374196818786
2023-05-09 09:09:35,203 INFO 3: 0.7427217054157362
2023-05-09 09:09:35,203 INFO Grouping by ofi type:
2023-05-09 09:09:35,203 INFO add: 0.8767016938161324
2023-05-09 09:09:35,204 INFO cancel: 0.5137893712923511
2023-05-09 09:09:35,204 INFO trade: 0.04838496070291771
2023-05-09 09:09:35,204 INFO Grouping by ofi type and horizont:
2023-05-09 09:09:35,204 INFO add_1: 0.17049133911486802
2023-05-09 09:09:35,204 INFO cancel_1: 0.09209354577961666
2023-05-09 09:09:35,204 INFO trade_1: 0.007832015819301923
2023-05-09 09:09:35,204 INFO add_2: 0.26266708680978934
2023-05-09 09:09:35,204 INFO cancel_2: 0.1500047951117261
2023-05-09 09:09:35,204 INFO trade_2: 0.013065537760363151
2023-05-09 09:09:35,204 INFO add_3: 0.44354326789147525
2023-05-09 09:09:35,204 INFO cancel_3: 0.27169103040100834
2023-05-09 09:09:35,204 INFO trade_3: 0.02748740712325264
2023-05-09 09:09:35,204 INFO Grouping by level:
2023-05-09 09:09:35,204 INFO 1: 0.06461527220250898
2023-05-09 09:09:35,204 INFO 2: 0.12421622757143574
2023-05-09 09:09:35,204 INFO 3: 0.11684545583245422
2023-05-09 09:09:35,204 INFO 4: 0.1256547610892667
2023-05-09 09:09:35,204 INFO 5: 0.13674288610924634
2023-05-09 09:09:35,204 INFO 6: 0.14632397601530783
2023-05-09 09:09:35,204 INFO 7: 0.15335680654692585
2023-05-09 09:09:35,204 INFO 8: 0.16409785681339709
2023-05-09 09:09:35,204 INFO 9: 0.1765057792513232
2023-05-09 09:09:35,204 INFO 10: 0.23051700437953535
2023-05-09 09:09:35,204 INFO Grouping by level and horizont:
2023-05-09 09:09:35,204 INFO 1_1: 0.008955441995131819
2023-05-09 09:09:35,204 INFO 2_1: 0.021166993190941348
2023-05-09 09:09:35,204 INFO 3_1: 0.021230928013956058
2023-05-09 09:09:35,204 INFO 4_1: 0.022806464723961403
2023-05-09 09:09:35,204 INFO 5_1: 0.02624981162061076
2023-05-09 09:09:35,204 INFO 6_1: 0.02764724418078941
2023-05-09 09:09:35,204 INFO 7_1: 0.02955615532508574
2023-05-09 09:09:35,204 INFO 8_1: 0.03336941084060592
2023-05-09 09:09:35,204 INFO 9_1: 0.0352874555310472
2023-05-09 09:09:35,204 INFO 10_1: 0.04414699529165696
2023-05-09 09:09:35,204 INFO 1_2: 0.017938284628698516
2023-05-09 09:09:35,204 INFO 2_2: 0.03623734433012289
2023-05-09 09:09:35,204 INFO 3_2: 0.03569846510757034
2023-05-09 09:09:35,204 INFO 4_2: 0.03674425614116809
2023-05-09 09:09:35,204 INFO 5_2: 0.040237837541614724
2023-05-09 09:09:35,204 INFO 6_2: 0.04428399848383134
2023-05-09 09:09:35,204 INFO 7_2: 0.04675005594297014
2023-05-09 09:09:35,205 INFO 8_2: 0.04822055687230846
2023-05-09 09:09:35,205 INFO 9_2: 0.051051956177245596
2023-05-09 09:09:35,205 INFO 10_2: 0.0685746644563485
2023-05-09 09:09:35,205 INFO 1_3: 0.03772154557867865
2023-05-09 09:09:35,205 INFO 2_3: 0.06681189005037151
2023-05-09 09:09:35,205 INFO 3_3: 0.05991606271092784
2023-05-09 09:09:35,205 INFO 4_3: 0.06610404022413723
2023-05-09 09:09:35,205 INFO 5_3: 0.07025523694702086
2023-05-09 09:09:35,205 INFO 6_3: 0.07439273335068708
2023-05-09 09:09:35,205 INFO 7_3: 0.07705059527887
2023-05-09 09:09:35,205 INFO 8_3: 0.0825078891004827
2023-05-09 09:09:35,205 INFO 9_3: 0.09016636754303042
2023-05-09 09:09:35,205 INFO 10_3: 0.11779534463152991
2023-05-09 09:09:35,216 INFO Non empty regressions: 0.3854082466788143 --- 84394 / 218973
