2023-05-09 09:41:35,037 INFO Starting...
2023-05-09 09:41:35,037 INFO Tickers: ['TXN']
2023-05-09 09:42:55,590 INFO ofi_cancel_8_3: -2.741814369311947e-07 , std 8.988039965792275e-06 
2023-05-09 09:42:55,590 INFO ofi_cancel_9_3: -2.9635476710828957e-07 , std 9.419323351994044e-06 
2023-05-09 09:42:55,590 INFO ofi_cancel_10_3: -3.131163443228356e-07 , std 9.749921307827384e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_1_3: -2.142414989997618e-08 , std 4.435165254012022e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_2_3: -8.390738049549658e-08 , std 7.166293416954229e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_3_3: -1.7493164638948166e-07 , std 8.556188888153685e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_4_3: -2.1488472676603637e-07 , std 8.261718582408645e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_5_3: -3.0764253252305613e-07 , std 8.934739312214614e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_6_3: -2.5852477527773477e-07 , std 8.768159985393055e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_7_3: -2.357441986082858e-07 , std 8.096459704792074e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_8_3: -1.2692213539879157e-07 , std 7.752454372358794e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_9_3: -1.3769324999890303e-07 , std 7.103722403196975e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_10_3: -1.194308361353245e-07 , std 7.825870506932377e-06 
2023-05-09 09:42:55,591 INFO used_intercept: 0.9875509766044216 , std 0.11087851555677856 
2023-05-09 09:42:55,591 INFO used_ofi_add_1_1: 0.019856329319139804 , std 0.13950647119438464 
2023-05-09 09:42:55,591 INFO used_ofi_add_2_1: 0.018751170235599822 , std 0.13564499198420626 
2023-05-09 09:42:55,591 INFO used_ofi_add_3_1: 0.013787087905814873 , std 0.1166061924294426 
2023-05-09 09:42:55,591 INFO used_ofi_add_4_1: 0.015312390112022943 , std 0.12279218550494231 
2023-05-09 09:42:55,591 INFO used_ofi_add_5_1: 0.01919871399670279 , std 0.13722289669576138 
2023-05-09 09:42:55,591 INFO used_ofi_add_6_1: 0.02196161170555274 , std 0.14655817724319328 
2023-05-09 09:42:55,591 INFO used_ofi_add_7_1: 0.019038876939166016 , std 0.136661618986683 
2023-05-09 09:42:55,591 INFO used_ofi_add_8_1: 0.015102318550688897 , std 0.1219599873937449 
2023-05-09 09:42:55,591 INFO used_ofi_add_9_1: 0.012965068752768606 , std 0.11312371875519558 
2023-05-09 09:42:55,591 INFO used_ofi_add_10_1: 0.01570056582318368 , std 0.12431435177008149 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_1_1: 0.004320167326565376 , std 0.06558584817501298 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_2_1: 0.007813748727012007 , std 0.08804938419911364 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_3_1: 0.00773154681170738 , std 0.0875886407909482 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_4_1: 0.009699826005945938 , std 0.09800887399312529 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_5_1: 0.01043050969754262 , std 0.10159583734086787 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_6_1: 0.011120092431486987 , std 0.1048638926218275 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_7_1: 0.009042210683508925 , std 0.09465964879220692 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_8_1: 0.007873116776954237 , std 0.0883806019959735 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_9_1: 0.007366204965909039 , std 0.0855099058022476 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_10_1: 0.007101332127705242 , std 0.08396965648207252 
2023-05-09 09:42:55,591 INFO used_ofi_trade_1_1: 0.0002603060651313176 , std 0.016131903355889956 
2023-05-09 09:42:55,591 INFO used_ofi_trade_2_1: 0.0012786964602941916 , std 0.035735995797747444 
2023-05-09 09:42:55,591 INFO used_ofi_trade_3_1: 0.002077881747978061 , std 0.04553640472654248 
2023-05-09 09:42:55,591 INFO used_ofi_trade_4_1: 0.0025756600128783 , std 0.050685559959187186 
2023-05-09 09:42:55,591 INFO used_ofi_trade_5_1: 0.0035620829965338193 , std 0.05957679549337665 
2023-05-09 09:42:55,591 INFO used_ofi_trade_6_1: 0.0033702785274896904 , std 0.05795618819536729 
2023-05-09 09:42:55,591 INFO used_ofi_trade_7_1: 0.0024751910052837564 , std 0.04968968137119738 
2023-05-09 09:42:55,591 INFO used_ofi_trade_8_1: 0.0016942728098898038 , std 0.04112666105503183 
2023-05-09 09:42:55,591 INFO used_ofi_trade_9_1: 0.0012375955026418782 , std 0.03515769986807611 
2023-05-09 09:42:55,591 INFO used_ofi_trade_10_1: 0.0010960255373950213 , std 0.03308812876873516 
2023-05-09 09:42:55,591 INFO used_ofi_add_1_2: 0.02951962114050591 , std 0.16925783027153252 
2023-05-09 09:42:55,591 INFO used_ofi_add_2_2: 0.028126755353399733 , std 0.16533493577187408 
2023-05-09 09:42:55,591 INFO used_ofi_add_3_2: 0.021856575924885716 , std 0.1462151360623291 
2023-05-09 09:42:55,591 INFO used_ofi_add_4_2: 0.0250304832102588 , std 0.15621766263940756 
2023-05-09 09:42:55,591 INFO used_ofi_add_5_2: 0.029268448621519547 , std 0.16855802127697456 
2023-05-09 09:42:55,591 INFO used_ofi_add_6_2: 0.03256565877984957 , std 0.17749686376971277 
2023-05-09 09:42:55,591 INFO used_ofi_add_7_2: 0.03054257830874126 , std 0.17207477798618734 
2023-05-09 09:42:55,591 INFO used_ofi_add_8_2: 0.026172176478378613 , std 0.1596470909749477 
2023-05-09 09:42:55,591 INFO used_ofi_add_9_2: 0.02183374205952332 , std 0.1461404453503599 
2023-05-09 09:42:55,591 INFO used_ofi_add_10_2: 0.026414215451220014 , std 0.16036366381857375 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_1_2: 0.009065044548871321 , std 0.09477800122495884 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_2_2: 0.013700319217437766 , std 0.11624379755831307 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_3_2: 0.013156873221812734 , std 0.11394634662347838 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_4_2: 0.014668475108803368 , std 0.12022192373600493 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_5_2: 0.01632164696104086 , std 0.12670931615915226 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_6_2: 0.016097875080489377 , std 0.12585203017187419 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_7_2: 0.014088494928598504 , std 0.11785588334591258 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_8_2: 0.012193284103519612 , std 0.10974792902961981 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_9_2: 0.010823252181775836 , std 0.10347033098422717 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_10_2: 0.012709329460709767 , std 0.1120169737377729 
2023-05-09 09:42:55,591 INFO used_ofi_trade_1_2: 0.0003790421650157782 , std 0.019465315102841736 
2023-05-09 09:42:55,591 INFO used_ofi_trade_2_2: 0.002571093239805821 , std 0.05064072194744113 
2023-05-09 09:42:55,591 INFO used_ofi_trade_3_2: 0.003023203773981267 , std 0.054900491918763825 
2023-05-09 09:42:55,591 INFO used_ofi_trade_4_2: 0.003931991615404639 , std 0.06258219441135814 
2023-05-09 09:42:55,591 INFO used_ofi_trade_5_2: 0.005064551337379495 , std 0.07098522139946133 
