2023-05-09 10:34:37,286 INFO Starting...
2023-05-09 10:34:37,286 INFO Tickers: ['TGT']
2023-05-09 10:35:54,102 INFO ofi_cancel_2_3: -6.099506838067038e-07 , std 1.4800519972312199e-05 
2023-05-09 10:35:54,102 INFO ofi_cancel_3_3: -6.360391954034548e-07 , std 1.4726919514252054e-05 
2023-05-09 10:35:54,102 INFO ofi_cancel_4_3: -6.436115435628825e-07 , std 1.479205074878557e-05 
2023-05-09 10:35:54,102 INFO ofi_cancel_5_3: -5.185016146569469e-07 , std 1.3478414658442897e-05 
2023-05-09 10:35:54,102 INFO ofi_cancel_6_3: -3.7691914356025785e-07 , std 1.1931084334665292e-05 
2023-05-09 10:35:54,102 INFO ofi_cancel_7_3: -1.9061198208633807e-07 , std 1.101437206369332e-05 
2023-05-09 10:35:54,102 INFO ofi_cancel_8_3: -1.3107941366398205e-07 , std 9.687075612690719e-06 
2023-05-09 10:35:54,102 INFO ofi_cancel_9_3: -2.3877665840624523e-07 , std 9.316332752064631e-06 
2023-05-09 10:35:54,102 INFO ofi_cancel_10_3: -2.775063467818263e-07 , std 1.0872336419982047e-05 
2023-05-09 10:35:54,102 INFO ofi_trade_1_3: -2.8105388303708213e-08 , std 8.639265528345864e-06 
2023-05-09 10:35:54,102 INFO ofi_trade_2_3: -1.697499078873759e-07 , std 1.0343570977314112e-05 
2023-05-09 10:35:54,102 INFO ofi_trade_3_3: -3.069022726163251e-07 , std 1.174344312800259e-05 
2023-05-09 10:35:54,102 INFO ofi_trade_4_3: -3.2680439278809124e-07 , std 1.2674072897294659e-05 
2023-05-09 10:35:54,102 INFO ofi_trade_5_3: -3.281112174024879e-07 , std 1.1419609292302333e-05 
2023-05-09 10:35:54,102 INFO ofi_trade_6_3: -2.740704474569742e-07 , std 1.0346097753399388e-05 
2023-05-09 10:35:54,102 INFO ofi_trade_7_3: -1.607845546938118e-07 , std 9.668260069246054e-06 
2023-05-09 10:35:54,102 INFO ofi_trade_8_3: -1.2798102525942205e-07 , std 7.783043582304225e-06 
2023-05-09 10:35:54,102 INFO ofi_trade_9_3: -1.2967058827373208e-07 , std 8.534494297869047e-06 
2023-05-09 10:35:54,102 INFO ofi_trade_10_3: -1.2335636356102973e-07 , std 7.189389221754942e-06 
2023-05-09 10:35:54,102 INFO used_intercept: 0.9880533216423942 , std 0.10864600882602933 
2023-05-09 10:35:54,102 INFO used_ofi_add_1_1: 0.03336941084060592 , std 0.17959925740591684 
2023-05-09 10:35:54,102 INFO used_ofi_add_2_1: 0.018413229028236357 , std 0.13444025448127533 
2023-05-09 10:35:54,102 INFO used_ofi_add_3_1: 0.014937914720079645 , std 0.12130446580359389 
2023-05-09 10:35:54,102 INFO used_ofi_add_4_1: 0.02042717595319971 , std 0.14145637644085443 
2023-05-09 10:35:54,102 INFO used_ofi_add_5_1: 0.023217474300484535 , std 0.1505935695426298 
2023-05-09 10:35:54,102 INFO used_ofi_add_6_1: 0.021272028971608372 , std 0.1442897423763707 
2023-05-09 10:35:54,102 INFO used_ofi_add_7_1: 0.014805478300977747 , std 0.1207736565367507 
2023-05-09 10:35:54,103 INFO used_ofi_add_8_1: 0.012713896233782248 , std 0.11203683803258134 
2023-05-09 10:35:54,103 INFO used_ofi_add_9_1: 0.01012910267475899 , std 0.10013243207754009 
2023-05-09 10:35:54,103 INFO used_ofi_add_10_1: 0.013088371625725546 , std 0.11365327163752238 
2023-05-09 10:35:54,103 INFO used_ofi_cancel_1_1: 0.004731176903088509 , std 0.06862064462098989 
2023-05-09 10:35:54,103 INFO used_ofi_cancel_2_1: 0.007379905285126477 , std 0.08558879764962841 
2023-05-09 10:35:54,103 INFO used_ofi_cancel_3_1: 0.010215871363136094 , std 0.10055599104691851 
2023-05-09 10:35:54,103 INFO used_ofi_cancel_4_1: 0.012554059176245472 , std 0.11133936758597474 
2023-05-09 10:35:54,103 INFO used_ofi_cancel_5_1: 0.011672671973256978 , std 0.10740773111029633 
2023-05-09 10:35:54,103 INFO used_ofi_cancel_6_1: 0.009676992140583542 , std 0.09789457576237116 
2023-05-09 10:35:54,103 INFO used_ofi_cancel_7_1: 0.006169710420919474 , std 0.07830482165385139 
2023-05-09 10:35:54,103 INFO used_ofi_cancel_8_1: 0.004795111726103218 , std 0.06908052279504988 
2023-05-09 10:35:54,103 INFO used_ofi_cancel_9_1: 0.004370401830362647 , std 0.0659643950794958 
2023-05-09 10:35:54,103 INFO used_ofi_cancel_10_1: 0.0057175998867440275 , std 0.07539833511609612 
2023-05-09 10:35:54,103 INFO used_ofi_trade_1_1: 0.0002785731574212346 , std 0.016688186073303444 
2023-05-09 10:35:54,103 INFO used_ofi_trade_2_1: 0.0012649961410767538 , std 0.0355442811973996 
2023-05-09 10:35:54,103 INFO used_ofi_trade_3_1: 0.0019363117827312043 , std 0.043960919910885174 
2023-05-09 10:35:54,103 INFO used_ofi_trade_4_1: 0.0027263635242701155 , std 0.052143364546255025 
2023-05-09 10:35:54,103 INFO used_ofi_trade_5_1: 0.0032835098391125845 , std 0.05720776522683817 
2023-05-09 10:35:54,103 INFO used_ofi_trade_6_1: 0.001986546286528476 , std 0.04452639577127208 
2023-05-09 10:35:54,103 INFO used_ofi_trade_7_1: 0.0014933347947007165 , std 0.038614825467579834 
2023-05-09 10:35:54,103 INFO used_ofi_trade_8_1: 0.0009590223452206437 , std 0.03095323280954691 
2023-05-09 10:35:54,103 INFO used_ofi_trade_9_1: 0.0007124165993067638 , std 0.02668162404906786 
2023-05-09 10:35:54,103 INFO used_ofi_trade_10_1: 0.0008174523799737867 , std 0.028579435816339375 
2023-05-09 10:35:54,103 INFO used_ofi_add_1_2: 0.045649463632502635 , std 0.20872371715396282 
2023-05-09 10:35:54,103 INFO used_ofi_add_2_2: 0.028304859503226424 , std 0.16584237827445988 
2023-05-09 10:35:54,103 INFO used_ofi_add_3_2: 0.0261310755207263 , std 0.15952505261825303 
2023-05-09 10:35:54,103 INFO used_ofi_add_4_2: 0.03215008243025396 , std 0.17639856753948382 
2023-05-09 10:35:54,103 INFO used_ofi_add_5_2: 0.034990615281336054 , std 0.1837560124827745 
