2023-05-09 09:52:54,012 INFO Starting...
2023-05-09 09:52:54,012 INFO Tickers: ['DHR']
2023-05-09 09:54:12,471 INFO used_ofi_cancel_9_1: 0.006914094431733592 , std 0.08286307820689903 
2023-05-09 09:54:12,471 INFO used_ofi_cancel_10_1: 0.00981399533275792 , std 0.09857829795835657 
2023-05-09 09:54:12,471 INFO used_ofi_trade_1_1: 0.000447543761102967 , std 0.021150495636860736 
2023-05-09 09:54:12,471 INFO used_ofi_trade_2_1: 0.0008357194722637038 , std 0.028896730701367977 
2023-05-09 09:54:12,471 INFO used_ofi_trade_3_1: 0.0014979015677731957 , std 0.03867373603191781 
2023-05-09 09:54:12,471 INFO used_ofi_trade_4_1: 0.0015846702561503015 , std 0.03977636328687646 
2023-05-09 09:54:12,471 INFO used_ofi_trade_5_1: 0.0015253022062080713 , std 0.03902532074676401 
2023-05-09 09:54:12,471 INFO used_ofi_trade_6_1: 0.0013334977371639426 , std 0.03649273244015747 
2023-05-09 09:54:12,471 INFO used_ofi_trade_7_1: 0.0008905207491334548 , std 0.02982830404043813 
2023-05-09 09:54:12,471 INFO used_ofi_trade_8_1: 0.0005206121302626351 , std 0.02281098624067926 
2023-05-09 09:54:12,471 INFO used_ofi_trade_9_1: 0.00040644280345065374 , std 0.020156329221814595 
2023-05-09 09:54:12,471 INFO used_ofi_trade_10_1: 0.0002968402497111516 , std 0.017226495162316193 
2023-05-09 09:54:12,471 INFO used_ofi_add_1_2: 0.03478967726614697 , std 0.18324670698777729 
2023-05-09 09:54:12,471 INFO used_ofi_add_2_2: 0.030168102916797963 , std 0.17104966671466934 
2023-05-09 09:54:12,471 INFO used_ofi_add_3_2: 0.027555908719339828 , std 0.16369661149208692 
2023-05-09 09:54:12,471 INFO used_ofi_add_4_2: 0.029368917629114092 , std 0.16883833778620427 
2023-05-09 09:54:12,471 INFO used_ofi_add_5_2: 0.028473830106908158 , std 0.16632219066002915 
2023-05-09 09:54:12,471 INFO used_ofi_add_6_2: 0.02754220840012239 , std 0.1636570657092648 
2023-05-09 09:54:12,471 INFO used_ofi_add_7_2: 0.023464080046398415 , std 0.15137211432088352 
2023-05-09 09:54:12,471 INFO used_ofi_add_8_2: 0.020906687125810033 , std 0.14307200131134504 
2023-05-09 09:54:12,471 INFO used_ofi_add_9_2: 0.02005726733432889 , std 0.1401961959591206 
2023-05-09 09:54:12,471 INFO used_ofi_add_10_2: 0.02619501034374101 , std 0.1597148451986612 
2023-05-09 09:54:12,471 INFO used_ofi_cancel_1_2: 0.011426066227343098 , std 0.10628034266933593 
2023-05-09 09:54:12,471 INFO used_ofi_cancel_2_2: 0.018125522324670164 , std 0.13340535133617407 
2023-05-09 09:54:12,471 INFO used_ofi_cancel_3_2: 0.017312636717768858 , std 0.13043354372111268 
2023-05-09 09:54:12,471 INFO used_ofi_cancel_4_2: 0.018495430943540985 , std 0.13473436821299042 
2023-05-09 09:54:12,471 INFO used_ofi_cancel_5_2: 0.01740853895229092 , std 0.13078792652166904 
2023-05-09 09:54:12,471 INFO used_ofi_cancel_6_2: 0.01484201248555758 , std 0.12092033390185511 
2023-05-09 09:54:12,471 INFO used_ofi_cancel_7_2: 0.012554059176245472 , std 0.11133936758597471 
2023-05-09 09:54:12,471 INFO used_ofi_cancel_8_2: 0.011686372292474415 , std 0.10747000044252397 
2023-05-09 09:54:12,471 INFO used_ofi_cancel_9_2: 0.011211427892936571 , std 0.10528880176703528 
2023-05-09 09:54:12,471 INFO used_ofi_cancel_10_2: 0.015906070611445246 , std 0.1251122197435125 
2023-05-09 09:54:12,471 INFO used_ofi_trade_1_2: 0.0005388792225525522 , std 0.023207516707654294 
2023-05-09 09:54:12,472 INFO used_ofi_trade_2_2: 0.0014887680216282373 , std 0.03855582435127038 
2023-05-09 09:54:12,472 INFO used_ofi_trade_3_2: 0.002361021678471775 , std 0.04853295019989576 
2023-05-09 09:54:12,472 INFO used_ofi_trade_4_2: 0.0026030606513131756 , std 0.050953750858585084 
2023-05-09 09:54:12,472 INFO used_ofi_trade_5_2: 0.0026898293396902815 , std 0.05179376562689395 
2023-05-09 09:54:12,472 INFO used_ofi_trade_6_2: 0.002283386536239628 , std 0.04773020722944484 
2023-05-09 09:54:12,472 INFO used_ofi_trade_7_2: 0.0014568006101208825 , std 0.03814024570061439 
2023-05-09 09:54:12,472 INFO used_ofi_trade_8_2: 0.0007261169185242016 , std 0.026936771758041732 
2023-05-09 09:54:12,472 INFO used_ofi_trade_9_2: 0.0007169833723792431 , std 0.026766944301189376 
2023-05-09 09:54:12,472 INFO used_ofi_trade_10_2: 0.0006987162800893261 , std 0.026424005670020286 
2023-05-09 09:54:12,472 INFO used_ofi_add_1_3: 0.05616674201842236 , std 0.23024343445461878 
2023-05-09 09:54:12,472 INFO used_ofi_add_2_3: 0.053253140798180595 , std 0.22453784490216736 
2023-05-09 09:54:12,472 INFO used_ofi_add_3_3: 0.04890100606010787 , std 0.21566107128180823 
