2023-05-09 09:44:14,837 INFO Starting...
2023-05-09 09:44:14,838 INFO Tickers: ['LIN']
2023-05-09 09:44:45,683 INFO used_ofi_cancel_1_1: 0.005564378280740462 , std 0.07438693416917573 
2023-05-09 09:44:45,683 INFO used_ofi_cancel_2_1: 0.010946914134005746 , std 0.10405325177498516 
2023-05-09 09:44:45,683 INFO used_ofi_cancel_3_1: 0.01012256179611827 , std 0.10010042726583158 
2023-05-09 09:44:45,683 INFO used_ofi_cancel_4_1: 0.010365018366085174 , std 0.10127973519098425 
2023-05-09 09:44:45,683 INFO used_ofi_cancel_5_1: 0.010959036962504092 , std 0.10411021309822854 
2023-05-09 09:44:45,683 INFO used_ofi_cancel_6_1: 0.010571106450557043 , std 0.10227100351012518 
2023-05-09 09:44:45,683 INFO used_ofi_cancel_7_1: 0.008837541975293675 , std 0.09359187906612729 
2023-05-09 09:44:45,683 INFO used_ofi_cancel_8_1: 0.00829201469286814 , std 0.09068217677802734 
2023-05-09 09:44:45,683 INFO used_ofi_cancel_9_1: 0.009977087854138127 , std 0.09938584190964496 
2023-05-09 09:44:45,683 INFO used_ofi_cancel_10_1: 0.012631987295275733 , std 0.11167999011572184 
2023-05-09 09:44:45,684 INFO used_ofi_trade_1_1: 0.0012486513353295592 , std 0.035314192687534836 
2023-05-09 09:44:45,684 INFO used_ofi_trade_2_1: 0.0007637381953957497 , std 0.027625258358332933 
2023-05-09 09:44:45,684 INFO used_ofi_trade_3_1: 0.000981949108365964 , std 0.03132067822245462 
2023-05-09 09:44:45,684 INFO used_ofi_trade_4_1: 0.0004970359684321546 , std 0.022288762273357375 
2023-05-09 09:44:45,684 INFO used_ofi_trade_5_1: 0.00031519354095697606 , std 0.017750892765962926 
2023-05-09 09:44:45,684 INFO used_ofi_trade_6_1: 0.00031519354095697606 , std 0.017750892765962926 
2023-05-09 09:44:45,684 INFO used_ofi_trade_7_1: 0.00040005334044539273 , std 0.019997332266334714 
2023-05-09 09:44:45,684 INFO used_ofi_trade_8_1: 0.00026670222696359517 , std 0.01632884248456478 
2023-05-09 09:44:45,684 INFO used_ofi_trade_9_1: 0.00041217616894373795 , std 0.020297937820120862 
2023-05-09 09:44:45,684 INFO used_ofi_trade_10_1: 0.0008485979948841663 , std 0.029118342609551887 
2023-05-09 09:44:45,684 INFO used_ofi_add_1_2: 0.028621998084593096 , std 0.16674165439457128 
2023-05-09 09:44:45,684 INFO used_ofi_add_2_2: 0.03608966043957376 , std 0.18651326185805137 
2023-05-09 09:44:45,684 INFO used_ofi_add_3_2: 0.03134963449672078 , std 0.1742608243801308 
2023-05-09 09:44:45,684 INFO used_ofi_add_4_2: 0.023675884057268243 , std 0.15203728677983908 
2023-05-09 09:44:45,684 INFO used_ofi_add_5_2: 0.025373080047036575 , std 0.15725548275326764 
2023-05-09 09:44:45,684 INFO used_ofi_add_6_2: 0.024682078822630897 , std 0.15515435478137357 
2023-05-09 09:44:45,684 INFO used_ofi_add_7_2: 0.02253633817842379 , std 0.1484198492113892 
2023-05-09 09:44:45,684 INFO used_ofi_add_8_2: 0.02246360120743372 , std 0.14818565324695607 
2023-05-09 09:44:45,684 INFO used_ofi_add_9_2: 0.023700129714264932 , std 0.1521132261369535 
2023-05-09 09:44:45,684 INFO used_ofi_add_10_2: 0.031192037726242287 , std 0.17383640156401925 
2023-05-09 09:44:45,684 INFO used_ofi_cancel_1_2: 0.010910545648510711 , std 0.10388217191685238 
2023-05-09 09:44:45,684 INFO used_ofi_cancel_2_2: 0.018535804773969863 , std 0.13487857025988648 
2023-05-09 09:44:45,684 INFO used_ofi_cancel_3_2: 0.01721441646765023 , std 0.13006952115437548 
2023-05-09 09:44:45,684 INFO used_ofi_cancel_4_2: 0.01614760755979585 , std 0.12604309711321232 
2023-05-09 09:44:45,684 INFO used_ofi_cancel_5_2: 0.015820291190340532 , std 0.12477984443408063 
2023-05-09 09:44:45,684 INFO used_ofi_cancel_6_2: 0.01670525767071973 , std 0.12816470667416435 
2023-05-09 09:44:45,684 INFO used_ofi_cancel_7_2: 0.015505097649383555 , std 0.12355035247325938 
2023-05-09 09:44:45,684 INFO used_ofi_cancel_8_2: 0.013710919031628459 , std 0.11628813237358568 
2023-05-09 09:44:45,684 INFO used_ofi_cancel_9_2: 0.01714167949666016 , std 0.1297992385212407 
2023-05-09 09:44:45,684 INFO used_ofi_cancel_10_2: 0.021833214125519765 , std 0.146138717958209 
2023-05-09 09:44:45,684 INFO used_ofi_trade_1_2: 0.0018911612457418565 , std 0.043446343400618426 
2023-05-09 09:44:45,684 INFO used_ofi_trade_2_2: 0.001660827504273297 , std 0.04071939533286743 
2023-05-09 09:44:45,684 INFO used_ofi_trade_3_2: 0.0011031773933494163 , std 0.03319578878394394 
2023-05-09 09:44:45,684 INFO used_ofi_trade_4_2: 0.001345633963316321 , std 0.036658194616662323 
2023-05-09 09:44:45,684 INFO used_ofi_trade_5_2: 0.000727369709900714 , std 0.02695998225529522 
