2023-05-09 10:33:15,480 INFO Starting...
2023-05-09 10:33:15,480 INFO Tickers: ['SO']
2023-05-09 10:34:36,597 INFO ofi_add_7_3: -2.059413127323274e-06 , std 2.9344352752481033e-05 
2023-05-09 10:34:36,597 INFO ofi_add_8_3: -9.040061754881355e-07 , std 2.2519401840303422e-05 
2023-05-09 10:34:36,597 INFO ofi_add_9_3: -1.0746655390399737e-06 , std 2.3570636183758644e-05 
2023-05-09 10:34:36,597 INFO ofi_add_10_3: -8.201914539926451e-07 , std 2.504740327399974e-05 
2023-05-09 10:34:36,597 INFO ofi_cancel_1_3: -4.202497524737016e-07 , std 3.049627082001117e-05 
2023-05-09 10:34:36,597 INFO ofi_cancel_2_3: -1.5649001680937342e-06 , std 2.8686002953798365e-05 
2023-05-09 10:34:36,597 INFO ofi_cancel_3_3: -1.0490983512899018e-06 , std 2.6841524901445317e-05 
2023-05-09 10:34:36,597 INFO ofi_cancel_4_3: -7.259112126609069e-07 , std 2.3418628167656687e-05 
2023-05-09 10:34:36,597 INFO ofi_cancel_5_3: -7.192574343850506e-07 , std 2.0376845552033802e-05 
2023-05-09 10:34:36,597 INFO ofi_cancel_6_3: -5.418558529137431e-07 , std 1.8685925077806304e-05 
2023-05-09 10:34:36,597 INFO ofi_cancel_7_3: -2.8981030602251046e-08 , std 1.9038998691396782e-05 
2023-05-09 10:34:36,597 INFO ofi_cancel_8_3: -1.6313005205840402e-07 , std 1.2431804722995758e-05 
2023-05-09 10:34:36,597 INFO ofi_cancel_9_3: -9.61726032177571e-08 , std 1.4502046071289981e-05 
2023-05-09 10:34:36,597 INFO ofi_cancel_10_3: -1.8189833695969027e-07 , std 1.2815212834531744e-05 
2023-05-09 10:34:36,597 INFO ofi_trade_1_3: -1.193829015029566e-07 , std 1.7310078455193573e-05 
2023-05-09 10:34:36,597 INFO ofi_trade_2_3: -6.999310423005185e-07 , std 2.464499240900326e-05 
2023-05-09 10:34:36,597 INFO ofi_trade_3_3: -6.856745896689732e-07 , std 2.227857884031592e-05 
2023-05-09 10:34:36,597 INFO ofi_trade_4_3: -5.008714506170561e-07 , std 2.0375521394177986e-05 
2023-05-09 10:34:36,597 INFO ofi_trade_5_3: -2.816018487821856e-07 , std 1.8942789863421728e-05 
2023-05-09 10:34:36,597 INFO ofi_trade_6_3: -1.2844530878790194e-07 , std 1.763215882932255e-05 
2023-05-09 10:34:36,597 INFO ofi_trade_7_3: -1.4086539893262316e-07 , std 1.4993183209378283e-05 
2023-05-09 10:34:36,597 INFO ofi_trade_8_3: -1.5055331609050832e-07 , std 1.5310081779555686e-05 
2023-05-09 10:34:36,597 INFO ofi_trade_9_3: -7.913263594288669e-08 , std 1.1945713669893957e-05 
2023-05-09 10:34:36,597 INFO ofi_trade_10_3: -1.744747458775472e-07 , std 1.5095803717092283e-05 
2023-05-09 10:34:36,597 INFO used_intercept: 0.9779379192868527 , std 0.14688548365224474 
2023-05-09 10:34:36,598 INFO used_ofi_add_1_1: 0.09255022308686459 , std 0.28980110298864675 
2023-05-09 10:34:36,598 INFO used_ofi_add_2_1: 0.036698588410443295 , std 0.18802074890586992 
2023-05-09 10:34:36,598 INFO used_ofi_add_3_1: 0.014494937732049157 , std 0.11951918052008713 
2023-05-09 10:34:36,598 INFO used_ofi_add_4_1: 0.011553935873372516 , std 0.10686647013542887 
2023-05-09 10:34:36,598 INFO used_ofi_add_5_1: 0.009740926963598252 , std 0.09821426223053398 
2023-05-09 10:34:36,598 INFO used_ofi_add_6_1: 0.008151689934375471 , std 0.08991796197417552 
2023-05-09 10:34:36,598 INFO used_ofi_add_7_1: 0.008169957026665387 , std 0.09001782506175003 
2023-05-09 10:34:36,598 INFO used_ofi_add_8_1: 0.005863736625063364 , std 0.07635020116447143 
2023-05-09 10:34:36,598 INFO used_ofi_add_9_1: 0.004516538568681984 , std 0.0670532582954743 
2023-05-09 10:34:36,598 INFO used_ofi_add_10_1: 0.0053659583601631256 , std 0.07305590223274312 
2023-05-09 10:34:36,598 INFO used_ofi_cancel_1_1: 0.01931288332351477 , std 0.13762229420136507 
2023-05-09 10:34:36,598 INFO used_ofi_cancel_2_1: 0.013394345421581657 , std 0.1149562392056604 
2023-05-09 10:34:36,598 INFO used_ofi_cancel_3_1: 0.009206614514118179 , std 0.0955083910622863 
