2023-05-09 10:11:11,207 INFO Starting...
2023-05-09 10:11:11,207 INFO Tickers: ['ANTM']
2023-05-09 10:12:29,685 INFO used_ofi_add_5_2: 0.022177971829956705 , std 0.14726204329516265 
2023-05-09 10:12:29,685 INFO used_ofi_add_6_2: 0.024717294798955042 , std 0.15526219802893618 
2023-05-09 10:12:29,685 INFO used_ofi_add_7_2: 0.022232777361661703 , std 0.14743975370451645 
2023-05-09 10:12:29,685 INFO used_ofi_add_8_2: 0.023004621933173788 , std 0.14991800860098672 
2023-05-09 10:12:29,685 INFO used_ofi_add_9_2: 0.02569922724200296 , std 0.15823645901361308 
2023-05-09 10:12:29,685 INFO used_ofi_add_10_2: 0.03629039624399423 , std 0.187011773384587 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_1_2: 0.007229763057417929 , std 0.0847200896101481 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_2_2: 0.013660278777471273 , std 0.11607616276046105 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_3_2: 0.013450190905935439 , std 0.115192375053774 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_4_2: 0.01451889877418294 , std 0.11961647191155561 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_5_2: 0.014322512285573357 , std 0.11881657261259038 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_6_2: 0.013769889840881273 , std 0.11653445831448853 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_7_2: 0.014888836113191691 , std 0.12110804544862497 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_8_2: 0.014354482179067941 , std 0.11894717743788104 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_9_2: 0.016683717276530445 , std 0.12808345269537064 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_10_2: 0.02465792213960796 , std 0.155080330846194 
2023-05-09 10:12:29,685 INFO used_ofi_trade_1_2: 0.001676135844644586 , std 0.04090631263356406 
2023-05-09 10:12:29,685 INFO used_ofi_trade_2_2: 0.001434078079614169 , std 0.037842059929075474 
2023-05-09 10:12:29,685 INFO used_ofi_trade_3_2: 0.0009225597837008349 , std 0.030359655254075805 
2023-05-09 10:12:29,685 INFO used_ofi_trade_4_2: 0.0008083815926487513 , std 0.028420557908834552 
2023-05-09 10:12:29,685 INFO used_ofi_trade_5_2: 0.0007901130820804179 , std 0.02809784339407463 
2023-05-09 10:12:29,685 INFO used_ofi_trade_6_2: 0.0006805020186704178 , std 0.0260775561675745 
2023-05-09 10:12:29,685 INFO used_ofi_trade_7_2: 0.0008357843585012514 , std 0.028897851529263125 
2023-05-09 10:12:29,685 INFO used_ofi_trade_8_2: 0.0009225597837008349 , std 0.030359655254075805 
2023-05-09 10:12:29,685 INFO used_ofi_trade_9_2: 0.0011280805275945853 , std 0.03356796034789494 
2023-05-09 10:12:29,685 INFO used_ofi_trade_10_2: 0.0012696614844991687 , std 0.03560968188869353 
2023-05-09 10:12:29,685 INFO used_ofi_add_1_3: 0.04177551654213632 , std 0.2000757925381629 
2023-05-09 10:12:29,685 INFO used_ofi_add_2_3: 0.04570781344197008 , std 0.20885068645404098 
2023-05-09 10:12:29,685 INFO used_ofi_add_3_3: 0.0408209868649409 , std 0.1978752988533769 
2023-05-09 10:12:29,685 INFO used_ofi_add_4_3: 0.04031860282431173 , std 0.19670539669924444 
2023-05-09 10:12:29,685 INFO used_ofi_add_5_3: 0.039843621549535066 , std 0.19559168533287016 
2023-05-09 10:12:29,685 INFO used_ofi_add_6_3: 0.038985001552823396 , std 0.1935592188627288 
2023-05-09 10:12:29,685 INFO used_ofi_add_7_3: 0.03798023347156506 , std 0.19114846412412123 
2023-05-09 10:12:29,685 INFO used_ofi_add_8_3: 0.038720108149582565 , std 0.19292708823404553 
2023-05-09 10:12:29,685 INFO used_ofi_add_9_3: 0.04104934324704507 , std 0.1984043715900215 
2023-05-09 10:12:29,685 INFO used_ofi_add_10_3: 0.06056924678930927 , std 0.23853849402703334 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_1_3: 0.014728986645718775 , std 0.12046594372730002 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_2_3: 0.023004621933173788 , std 0.1499180086009867 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_3_3: 0.023685123951844207 , std 0.15206623180453305 
2023-05-09 10:12:29,686 INFO used_ofi_cancel_4_3: 0.023347156506330038 , std 0.15100353237391162 
2023-05-09 10:12:29,686 INFO used_ofi_cancel_5_3: 0.02165275215111712 , std 0.14554693564413992 
2023-05-09 10:12:29,686 INFO used_ofi_cancel_6_3: 0.02329691810226712 , std 0.15084485973742487 
2023-05-09 10:12:29,686 INFO used_ofi_cancel_7_3: 0.02521967883958421 , std 0.1567917301352735 
2023-05-09 10:12:29,686 INFO used_ofi_cancel_8_3: 0.02670856245090338 , std 0.16123031707067245 
2023-05-09 10:12:29,686 INFO used_ofi_cancel_9_3: 0.028663293081715047 , std 0.16685834924098572 
2023-05-09 10:12:29,686 INFO used_ofi_cancel_10_3: 0.04237381026324924 , std 0.20144048864869094 
2023-05-09 10:12:29,686 INFO used_ofi_trade_1_3: 0.0029914686055645882 , std 0.05461245023935943 
2023-05-09 10:12:29,686 INFO used_ofi_trade_2_3: 0.002799649244597088 , std 0.05283759276030954 
2023-05-09 10:12:29,686 INFO used_ofi_trade_3_3: 0.0020004019072325033 , std 0.044681095548811736 
2023-05-09 10:12:29,686 INFO used_ofi_trade_4_3: 0.001379272547909169 , std 0.037112937840431785 
2023-05-09 10:12:29,686 INFO used_ofi_trade_5_3: 0.001274228612141252 , std 0.035673589020243715 
2023-05-09 10:12:29,686 INFO used_ofi_trade_6_3: 0.0011143791446683352 , std 0.03336371238022326 
2023-05-09 10:12:29,686 INFO used_ofi_trade_7_3: 0.0013747054202670856 , std 0.03705152635553054 
2023-05-09 10:12:29,686 INFO used_ofi_trade_8_3: 0.0016395988235079193 , std 0.04045875108312008 
2023-05-09 10:12:29,686 INFO used_ofi_trade_9_3: 0.0016030618023712526 , std 0.04000614946766348 
2023-05-09 10:12:29,686 INFO used_ofi_trade_10_3: 0.002489084564935421 , std 0.04982859643782898 
2023-05-09 10:12:30,372 INFO Grouping by horizont:
2023-05-09 10:12:30,372 INFO 1: 0.27900582765487136
2023-05-09 10:12:30,372 INFO 2: 0.41173112406145523
2023-05-09 10:12:30,372 INFO 3: 0.6971172290323169
2023-05-09 10:12:30,372 INFO Grouping by ofi type:
2023-05-09 10:12:30,372 INFO add: 0.8513719651436817
2023-05-09 10:12:30,372 INFO cancel: 0.5012194230804362
2023-05-09 10:12:30,372 INFO trade: 0.03526279252452548
2023-05-09 10:12:30,373 INFO Grouping by ofi type and horizont:
2023-05-09 10:12:30,373 INFO add_1: 0.17187471455452238
2023-05-09 10:12:30,373 INFO cancel_1: 0.10100202780467309
2023-05-09 10:12:30,373 INFO trade_1: 0.006129085295675844
2023-05-09 10:12:30,373 INFO add_2: 0.25372677615594
2023-05-09 10:12:30,373 INFO cancel_2: 0.14753649134986024
2023-05-09 10:12:30,373 INFO trade_2: 0.010467856555655016
2023-05-09 10:12:30,373 INFO add_3: 0.4257704744332194
2023-05-09 10:12:30,373 INFO cancel_3: 0.2526809039259029
2023-05-09 10:12:30,373 INFO trade_3: 0.018665850673194612
2023-05-09 10:12:30,373 INFO Grouping by level:
2023-05-09 10:12:30,373 INFO 1: 0.10885292022141435
2023-05-09 10:12:30,373 INFO 2: 0.1436224629605948
2023-05-09 10:12:30,373 INFO 3: 0.13276183342772063
2023-05-09 10:12:30,373 INFO 4: 0.1315424103472844
2023-05-09 10:12:30,373 INFO 5: 0.12610752845320522
2023-05-09 10:12:30,373 INFO 6: 0.12785217121248102
2023-05-09 10:12:30,373 INFO 7: 0.12784303695719687
2023-05-09 10:12:30,373 INFO 8: 0.13201282449441898
2023-05-09 10:12:30,373 INFO 9: 0.1461252489084565
2023-05-09 10:12:30,373 INFO 10: 0.2111337437658708
2023-05-09 10:12:30,373 INFO Grouping by level and horizont:
2023-05-09 10:12:30,373 INFO 1_1: 0.018921609821151285
2023-05-09 10:12:30,373 INFO 2_1: 0.02834359414676921
2023-05-09 10:12:30,373 INFO 3_1: 0.026530444472862128
2023-05-09 10:12:30,373 INFO 4_1: 0.027119603938690878
2023-05-09 10:12:30,373 INFO 5_1: 0.026046328942801296
2023-05-09 10:12:30,373 INFO 6_1: 0.02528818575421546
2023-05-09 10:12:30,373 INFO 7_1: 0.025311021392425876
2023-05-09 10:12:30,373 INFO 8_1: 0.026662891174482544
2023-05-09 10:12:30,373 INFO 9_1: 0.03129852573119713
2023-05-09 10:12:30,373 INFO 10_1: 0.04348362228027548
2023-05-09 10:12:30,373 INFO 1_2: 0.030435338606843384
2023-05-09 10:12:30,373 INFO 2_2: 0.043766784194084654
2023-05-09 10:12:30,373 INFO 3_2: 0.0397248762308409
2023-05-09 10:12:30,373 INFO 4_2: 0.03937777453004257
2023-05-09 10:12:30,373 INFO 5_2: 0.037290597197610485
2023-05-09 10:12:30,373 INFO 6_2: 0.039167686658506735
2023-05-09 10:12:30,373 INFO 7_2: 0.03795739783335464
2023-05-09 10:12:30,373 INFO 8_2: 0.038281663895942564
2023-05-09 10:12:30,374 INFO 9_2: 0.043511025046127985
2023-05-09 10:12:30,374 INFO 10_2: 0.06221797986810136
2023-05-09 10:12:30,374 INFO 1_3: 0.059495971793419686
2023-05-09 10:12:30,374 INFO 2_3: 0.07151208461974096
2023-05-09 10:12:30,374 INFO 3_3: 0.06650651272401761
2023-05-09 10:12:30,374 INFO 4_3: 0.06504503187855093
2023-05-09 10:12:30,374 INFO 5_3: 0.06277060231279344
2023-05-09 10:12:30,374 INFO 6_3: 0.06339629879975885
2023-05-09 10:12:30,374 INFO 7_3: 0.06457461773141636
2023-05-09 10:12:30,374 INFO 8_3: 0.06706826942399387
2023-05-09 10:12:30,374 INFO 9_3: 0.07131569813113137
2023-05-09 10:12:30,374 INFO 10_3: 0.10543214161749394
2023-05-09 10:12:30,384 INFO Non empty regressions: 0.38253347704561647 --- 83758 / 218956
