2023-05-09 09:40:16,624 INFO Starting...
2023-05-09 09:40:16,624 INFO Tickers: ['IBM']
2023-05-09 09:41:34,326 INFO used_ofi_cancel_9_1: 0.009243148698698012 , std 0.09569593983462292 
2023-05-09 09:41:34,326 INFO used_ofi_cancel_10_1: 0.009352751252437515 , std 0.09625631042403163 
2023-05-09 09:41:34,326 INFO used_ofi_trade_1_1: 0.00019180446904412874 , std 0.013848020800453161 
2023-05-09 09:41:34,326 INFO used_ofi_trade_2_1: 0.0005160453571901558 , std 0.022710769568191177 
2023-05-09 09:41:34,327 INFO used_ofi_trade_3_1: 0.0007443840108141187 , std 0.027273245191186228 
2023-05-09 09:41:34,327 INFO used_ofi_trade_4_1: 0.0011005923104675005 , std 0.03315691492032454 
2023-05-09 09:41:34,327 INFO used_ofi_trade_5_1: 0.0018495430943540985 , std 0.04296652516432095 
2023-05-09 09:41:34,327 INFO used_ofi_trade_6_1: 0.0020641814287606234 , std 0.04538634798912316 
2023-05-09 09:41:34,327 INFO used_ofi_trade_7_1: 0.0019545788750211213 , std 0.04416739177767284 
2023-05-09 09:41:34,327 INFO used_ofi_trade_8_1: 0.0013015303256565878 , std 0.03605324318931633 
2023-05-09 09:41:34,327 INFO used_ofi_trade_9_1: 0.001306097098729067 , std 0.036116356531324674 
2023-05-09 09:41:34,327 INFO used_ofi_trade_10_1: 0.0009087878414233718 , std 0.030132406908221797 
2023-05-09 09:41:34,327 INFO used_ofi_add_1_2: 0.014951615039297083 , std 0.12135923634818135 
2023-05-09 09:41:34,327 INFO used_ofi_add_2_2: 0.01803418686322058 , std 0.13307499752922416 
2023-05-09 09:41:34,327 INFO used_ofi_add_3_2: 0.02085188584894028 , std 0.1428883644859967 
2023-05-09 09:41:34,327 INFO used_ofi_add_4_2: 0.02440483529932914 , std 0.15430242808634528 
2023-05-09 09:41:34,327 INFO used_ofi_add_5_2: 0.026889159850757856 , std 0.16175949101452516 
2023-05-09 09:41:34,327 INFO used_ofi_add_6_2: 0.029186246706214922 , std 0.16832827958907817 
