2023-05-09 10:20:26,936 INFO Starting...
2023-05-09 10:20:26,936 INFO Tickers: ['CB']
2023-05-09 10:21:43,141 INFO ofi_cancel_6_3: -2.8560366901359396e-07 , std 1.0100871520925623e-05 
2023-05-09 10:21:43,141 INFO ofi_cancel_7_3: -2.4147471587189427e-07 , std 9.144221490364667e-06 
2023-05-09 10:21:43,141 INFO ofi_cancel_8_3: -3.727888609780592e-07 , std 1.002976803965481e-05 
2023-05-09 10:21:43,141 INFO ofi_cancel_9_3: -2.6151672453406423e-07 , std 9.469403042493413e-06 
2023-05-09 10:21:43,141 INFO ofi_cancel_10_3: -3.520681141746431e-07 , std 9.975286557931855e-06 
2023-05-09 10:21:43,141 INFO ofi_trade_1_3: -5.969489029233353e-08 , std 5.356396699673905e-06 
2023-05-09 10:21:43,141 INFO ofi_trade_2_3: -9.269209122872797e-08 , std 5.687174391548343e-06 
2023-05-09 10:21:43,141 INFO ofi_trade_3_3: -6.786135171825149e-08 , std 5.602109614795845e-06 
2023-05-09 10:21:43,141 INFO ofi_trade_4_3: -5.7273224662331144e-08 , std 4.2411746494778596e-06 
2023-05-09 10:21:43,141 INFO ofi_trade_5_3: -3.3259770604965014e-08 , std 4.716829367339477e-06 
2023-05-09 10:21:43,141 INFO ofi_trade_6_3: -4.647490390162349e-08 , std 4.7577133600686744e-06 
2023-05-09 10:21:43,141 INFO ofi_trade_7_3: -6.445970007184054e-08 , std 5.326175124128054e-06 
2023-05-09 10:21:43,141 INFO ofi_trade_8_3: -9.7288302762988e-08 , std 8.561179692164575e-06 
2023-05-09 10:21:43,141 INFO ofi_trade_9_3: -9.937302153121082e-08 , std 7.0793742673833335e-06 
2023-05-09 10:21:43,141 INFO ofi_trade_10_3: -1.513891456769624e-07 , std 7.01055504181261e-06 
2023-05-09 10:21:43,141 INFO used_intercept: 0.9839052951761558 , std 0.12583983987782885 
2023-05-09 10:21:43,141 INFO used_ofi_add_1_1: 0.011577774327027595 , std 0.10697536851378459 
2023-05-09 10:21:43,141 INFO used_ofi_add_2_1: 0.01905423056897796 , std 0.13671564236180944 
2023-05-09 10:21:43,141 INFO used_ofi_add_3_1: 0.01886240945586744 , std 0.13603903471205112 
2023-05-09 10:21:43,141 INFO used_ofi_add_4_1: 0.01587091352521534 , std 0.12497610823309582 
2023-05-09 10:21:43,141 INFO used_ofi_add_5_1: 0.014409419330087598 , std 0.11917125477503919 
2023-05-09 10:21:43,141 INFO used_ofi_add_6_1: 0.013020999844716242 , std 0.11336425101309555 
2023-05-09 10:21:43,141 INFO used_ofi_add_7_1: 0.013048402860874888 , std 0.11348190183309054 
