2023-05-09 08:45:16,684 INFO Starting...
2023-05-09 08:45:16,684 INFO Tickers: ['XOM']
2023-05-09 08:46:37,238 INFO used_ofi_cancel_6_2: 0.015919770930662686 , std 0.125165218108618 
2023-05-09 08:46:37,238 INFO used_ofi_cancel_7_2: 0.0074255730158512695 , std 0.08585123109913761 
2023-05-09 08:46:37,238 INFO used_ofi_cancel_8_2: 0.005425326410105355 , std 0.07345673722300201 
2023-05-09 08:46:37,238 INFO used_ofi_cancel_9_2: 0.004279066368913062 , std 0.06527446637026993 
2023-05-09 08:46:37,238 INFO used_ofi_cancel_10_2: 0.005082818429669411 , std 0.07111246997876268 
2023-05-09 08:46:37,238 INFO used_ofi_trade_1_2: 0.00023290542669644203 , std 0.015259462040277087 
2023-05-09 08:46:37,238 INFO used_ofi_trade_2_2: 0.002310787174674503 , std 0.04801507510467793 
2023-05-09 08:46:37,238 INFO used_ofi_trade_3_2: 0.0057495672982513825 , std 0.07560760394387762 
2023-05-09 08:46:37,238 INFO used_ofi_trade_4_2: 0.005786101482831217 , std 0.07584604480433767 
2023-05-09 08:46:37,238 INFO used_ofi_trade_5_2: 0.007804615180867048 , std 0.08799831340852861 
2023-05-09 08:46:37,238 INFO used_ofi_trade_6_2: 0.005297456764075936 , std 0.07259058972007792 
2023-05-09 08:46:37,238 INFO used_ofi_trade_7_2: 0.002201184620935001 , std 0.04686511930209461 
2023-05-09 08:46:37,239 INFO used_ofi_trade_8_2: 0.0018541098674265777 , std 0.04301943914123113 
2023-05-09 08:46:37,239 INFO used_ofi_trade_9_2: 0.0015298689792805505 , std 0.03908360884292526 
2023-05-09 08:46:37,239 INFO used_ofi_trade_10_2: 0.0018860772789339325 , std 0.04338801668009061 
2023-05-09 08:46:37,239 INFO used_ofi_add_1_3: 0.09729053353609805 , std 0.29635297471150757 
2023-05-09 08:46:37,239 INFO used_ofi_add_2_3: 0.04690532622743443 , std 0.21143608159189006 
2023-05-09 08:46:37,239 INFO used_ofi_add_3_3: 0.04358528220374201 , std 0.20417053014321676 
2023-05-09 08:46:37,239 INFO used_ofi_add_4_3: 0.05186027501107442 , std 0.22174486890760328 
2023-05-09 08:46:37,239 INFO used_ofi_add_5_3: 0.06678448941193663 , std 0.249648395520427 
2023-05-09 08:46:37,239 INFO used_ofi_add_6_3: 0.061660570024614905 , std 0.24053803052501793 
2023-05-09 08:46:37,239 INFO used_ofi_add_7_3: 0.041996045174519235 , std 0.20058010211438962 
2023-05-09 08:46:37,239 INFO used_ofi_add_8_3: 0.029821028163289538 , std 0.17009331098715735 
2023-05-09 08:46:37,239 INFO used_ofi_add_9_3: 0.027140332369744214 , std 0.16249226051909066 
2023-05-09 08:46:37,239 INFO used_ofi_add_10_3: 0.033666251090317074 , std 0.1803686076562127 
2023-05-09 08:46:37,239 INFO used_ofi_cancel_1_3: 0.03228251884935586 , std 0.1767494210063978 
2023-05-09 08:46:37,239 INFO used_ofi_cancel_2_3: 0.024327200157096995 , std 0.1540629335356611 
2023-05-09 08:46:37,239 INFO used_ofi_cancel_3_3: 0.030812017920017535 , std 0.17280809434663078 
2023-05-09 08:46:37,239 INFO used_ofi_cancel_4_3: 0.03798185164380997 , std 0.1911523753174874 
2023-05-09 08:46:37,239 INFO used_ofi_cancel_5_3: 0.04263539340466633 , std 0.20203370172794358 
2023-05-09 08:46:37,239 INFO used_ofi_cancel_6_3: 0.02962465692117293 , std 0.16954951083231037 
2023-05-09 08:46:37,239 INFO used_ofi_cancel_7_3: 0.014102195247815941 , std 0.11791235447148198 
2023-05-09 08:46:37,239 INFO used_ofi_cancel_8_3: 0.010275239413078325 , std 0.1008447265258935 
2023-05-09 08:46:37,239 INFO used_ofi_cancel_9_3: 0.008211057984317701 , std 0.09024209943865376 
2023-05-09 08:46:37,239 INFO used_ofi_cancel_10_3: 0.008905207491334548 , std 0.09394628662629954 
2023-05-09 08:46:37,239 INFO used_ofi_trade_1_3: 0.0003196741150735479 , std 0.017876574714796457 
2023-05-09 08:46:37,239 INFO used_ofi_trade_2_3: 0.004562206299406776 , std 0.0673898551199543 
2023-05-09 08:46:37,239 INFO used_ofi_trade_3_3: 0.01018390395162874 , std 0.10040015962105213 
2023-05-09 08:46:37,239 INFO used_ofi_trade_4_3: 0.010033200440236924 , std 0.0996621057833064 
2023-05-09 08:46:37,239 INFO used_ofi_trade_5_3: 0.012480990807085805 , std 0.11101898790548961 
2023-05-09 08:46:37,239 INFO used_ofi_trade_6_3: 0.009535422175336686 , std 0.09718280660319904 
2023-05-09 08:46:37,239 INFO used_ofi_trade_7_3: 0.005014316833582223 , std 0.07063408143576778 
2023-05-09 08:46:37,239 INFO used_ofi_trade_8_3: 0.003699086188708197 , std 0.060707519716067346 
2023-05-09 08:46:37,239 INFO used_ofi_trade_9_3: 0.003288076612185064 , std 0.0572474031234384 
2023-05-09 08:46:37,239 INFO used_ofi_trade_10_3: 0.003091705370068456 , std 0.05551708500969 
2023-05-09 08:46:37,920 INFO Grouping by horizont:
2023-05-09 08:46:37,920 INFO 1: 0.2717366981317331
2023-05-09 08:46:37,920 INFO 2: 0.44631529914647006
2023-05-09 08:46:37,920 INFO 3: 0.8020760550387487
2023-05-09 08:46:37,920 INFO Grouping by ofi type:
2023-05-09 08:46:37,920 INFO add: 0.9606526832075187
2023-05-09 08:46:37,920 INFO cancel: 0.44351130047996784
2023-05-09 08:46:37,920 INFO trade: 0.11596406862946573
2023-05-09 08:46:37,920 INFO Grouping by ofi type and horizont:
2023-05-09 08:46:37,921 INFO add_1: 0.1774556680503989
2023-05-09 08:46:37,921 INFO cancel_1: 0.0751782183191535
2023-05-09 08:46:37,921 INFO trade_1: 0.019102811762180726
2023-05-09 08:46:37,921 INFO add_2: 0.2824868819443493
2023-05-09 08:46:37,921 INFO cancel_2: 0.12917574312814822
2023-05-09 08:46:37,921 INFO trade_2: 0.034652674073972586
2023-05-09 08:46:37,921 INFO add_3: 0.5007101332127705
2023-05-09 08:46:37,921 INFO cancel_3: 0.23915733903266612
2023-05-09 08:46:37,921 INFO trade_3: 0.06220858279331242
2023-05-09 08:46:37,921 INFO Grouping by level:
