2023-05-09 08:56:06,613 INFO Starting...
2023-05-09 08:56:06,613 INFO Tickers: ['HD']
2023-05-09 08:57:25,702 INFO used_ofi_cancel_4_2: 0.015015549862311793 , std 0.12161448566944737 
2023-05-09 08:57:25,702 INFO used_ofi_cancel_5_2: 0.017636877605914883 , std 0.13162757368510922 
2023-05-09 08:57:25,702 INFO used_ofi_cancel_6_2: 0.018796837966324614 , std 0.13580691016583935 
2023-05-09 08:57:25,702 INFO used_ofi_cancel_7_2: 0.017545542144465298 , std 0.13129240684564397 
2023-05-09 08:57:25,702 INFO used_ofi_cancel_8_2: 0.017614043740552487 , std 0.13154386798197168 
2023-05-09 08:57:25,702 INFO used_ofi_cancel_9_2: 0.016828558772086055 , std 0.12862876187595254 
2023-05-09 08:57:25,702 INFO used_ofi_cancel_10_2: 0.01766427824434976 , std 0.13172794509311966 
2023-05-09 08:57:25,702 INFO used_ofi_trade_1_2: 0.0002466057459138798 , std 0.015701749314008365 
2023-05-09 08:57:25,702 INFO used_ofi_trade_2_2: 0.0006484817762920543 , std 0.02545704711230018 
2023-05-09 08:57:25,702 INFO used_ofi_trade_3_2: 0.0009544555721481643 , std 0.030879517268068805 
2023-05-09 08:57:25,702 INFO used_ofi_trade_4_2: 0.0016166376676576564 , std 0.04017491941882607 
2023-05-09 08:57:25,702 INFO used_ofi_trade_5_2: 0.0025939271051682172 , std 0.05086451265215554 
2023-05-09 08:57:25,702 INFO used_ofi_trade_6_2: 0.0029273015394592028 , std 0.05402529449393389 
2023-05-09 08:57:25,702 INFO used_ofi_trade_7_2: 0.002845099624154576 , std 0.05326354318183507 
2023-05-09 08:57:25,702 INFO used_ofi_trade_8_2: 0.0024797577783562358 , std 0.04973538558930571 
2023-05-09 08:57:25,702 INFO used_ofi_trade_9_2: 0.0016531718522374904 , std 0.04062559384260691 
2023-05-09 08:57:25,702 INFO used_ofi_trade_10_2: 0.0012467290487868368 , std 0.0352870332482875 
2023-05-09 08:57:25,702 INFO used_ofi_add_1_3: 0.031935444095847434 , std 0.1758282443359099 
2023-05-09 08:57:25,702 INFO used_ofi_add_2_3: 0.037027396071661806 , std 0.1888289384914666 
2023-05-09 08:57:25,702 INFO used_ofi_add_3_3: 0.03534225680791696 , std 0.18464339059831036 
