2023-05-09 09:54:13,173 INFO Starting...
2023-05-09 09:54:13,173 INFO Tickers: ['LMT']
2023-05-09 09:55:32,389 INFO used_ofi_cancel_5_1: 0.009115279052668594 , std 0.0950378384669 
2023-05-09 09:55:32,389 INFO used_ofi_cancel_6_1: 0.009608490544496353 , std 0.09755084548046047 
2023-05-09 09:55:32,389 INFO used_ofi_cancel_7_1: 0.010088001717106675 , std 0.09993114598793675 
2023-05-09 09:55:32,389 INFO used_ofi_cancel_8_1: 0.010722783174181292 , std 0.10299419932783004 
2023-05-09 09:55:32,389 INFO used_ofi_cancel_9_1: 0.011334730765893511 , std 0.10585959873510867 
2023-05-09 09:55:32,389 INFO used_ofi_cancel_10_1: 0.015472227169559717 , std 0.12342138127558473 
2023-05-09 09:55:32,389 INFO used_ofi_trade_1_1: 0.0008996542952784133 , std 0.029980742442898244 
2023-05-09 09:55:32,389 INFO used_ofi_trade_2_1: 0.000643915003219575 , std 0.025367309212610697 
2023-05-09 09:55:32,389 INFO used_ofi_trade_3_1: 0.0004384102149580085 , std 0.020933657383300913 
2023-05-09 09:55:32,389 INFO used_ofi_trade_4_1: 0.00023290542669644203 , std 0.015259462040277087 
2023-05-09 09:55:32,389 INFO used_ofi_trade_5_1: 0.00023290542669644203 , std 0.015259462040277089 
2023-05-09 09:55:32,389 INFO used_ofi_trade_6_1: 0.00011873609988446064 , std 0.010895962629480928 
2023-05-09 09:55:32,389 INFO used_ofi_trade_7_1: 0.0002694396112762761 , std 0.016412404259344555 
2023-05-09 09:55:32,389 INFO used_ofi_trade_8_1: 0.00016897060368173245 , std 0.012997771063410218 
2023-05-09 09:55:32,389 INFO used_ofi_trade_9_1: 0.0002694396112762761 , std 0.016412404259344555 
2023-05-09 09:55:32,389 INFO used_ofi_trade_10_1: 0.0005434459956250314 , std 0.023305592935492336 
2023-05-09 09:55:32,389 INFO used_ofi_add_1_2: 0.02066921492604111 , std 0.14227437745561297 
2023-05-09 09:55:32,389 INFO used_ofi_add_2_2: 0.027866449288268418 , std 0.16459012817399707 
2023-05-09 09:55:32,389 INFO used_ofi_add_3_2: 0.02459663976837327 , std 0.1548923661142735 
2023-05-09 09:55:32,389 INFO used_ofi_add_4_2: 0.025057883848693674 , std 0.15630094787210683 
