2023-05-09 10:15:10,075 INFO Starting...
2023-05-09 10:15:10,075 INFO Tickers: ['TJX']
2023-05-09 10:16:28,756 INFO ofi_cancel_5_3: -7.29497036424132e-07 , std 1.543495527835912e-05 
2023-05-09 10:16:28,756 INFO ofi_cancel_6_3: -6.02968837975417e-07 , std 1.6371355355294577e-05 
2023-05-09 10:16:28,756 INFO ofi_cancel_7_3: -3.1060189390454243e-07 , std 1.3008408502603251e-05 
2023-05-09 10:16:28,756 INFO ofi_cancel_8_3: -2.3608823030733445e-07 , std 1.2054348799366304e-05 
2023-05-09 10:16:28,756 INFO ofi_cancel_9_3: -2.395793153613634e-07 , std 1.2385812015175712e-05 
2023-05-09 10:16:28,756 INFO ofi_cancel_10_3: -3.345421177805634e-07 , std 1.3515396612831265e-05 
2023-05-09 10:16:28,756 INFO ofi_trade_1_3: -1.9560857225075057e-08 , std 8.466718505039635e-06 
2023-05-09 10:16:28,756 INFO ofi_trade_2_3: -2.1661335921770283e-07 , std 1.2342442867770249e-05 
2023-05-09 10:16:28,756 INFO ofi_trade_3_3: -2.662987978883116e-07 , std 1.5770099097588642e-05 
2023-05-09 10:16:28,756 INFO ofi_trade_4_3: -3.960914698995235e-07 , std 1.4916460163712901e-05 
2023-05-09 10:16:28,756 INFO ofi_trade_5_3: -2.7939131900375615e-07 , std 1.2817604876672605e-05 
2023-05-09 10:16:28,756 INFO ofi_trade_6_3: -2.0385781471858002e-07 , std 1.2180137488334357e-05 
2023-05-09 10:16:28,756 INFO ofi_trade_7_3: -7.62871271799193e-08 , std 1.167445163519933e-05 
2023-05-09 10:16:28,756 INFO ofi_trade_8_3: -2.529516241485287e-08 , std 8.98364461457813e-06 
2023-05-09 10:16:28,756 INFO ofi_trade_9_3: -5.4059696081132784e-08 , std 8.212239122839819e-06 
2023-05-09 10:16:28,756 INFO ofi_trade_10_3: -5.228976378971356e-08 , std 9.353430253697384e-06 
2023-05-09 10:16:28,756 INFO used_intercept: 0.9864229836555192 , std 0.11572675132251195 
2023-05-09 10:16:28,756 INFO used_ofi_add_1_1: 0.05036237344330123 , std 0.21869157456211863 
2023-05-09 10:16:28,756 INFO used_ofi_add_2_1: 0.025021349664113842 , std 0.1561898899580251 
2023-05-09 10:16:28,756 INFO used_ofi_add_3_1: 0.016655021395331846 , std 0.12797512124492358 
2023-05-09 10:16:28,756 INFO used_ofi_add_4_1: 0.018938407931571474 , std 0.13630753697645948 
2023-05-09 10:16:28,756 INFO used_ofi_add_5_1: 0.017015796468057707 , std 0.1293300395832899 
2023-05-09 10:16:28,756 INFO used_ofi_add_6_1: 0.01737200476771109 , std 0.1306530451924551 
