2023-05-09 09:28:12,233 INFO Starting...
2023-05-09 09:28:12,233 INFO Tickers: ['COST']
2023-05-09 09:29:31,443 INFO used_ofi_cancel_3_1: 0.007032830531618054 , std 0.08356655925866274 
2023-05-09 09:29:31,443 INFO used_ofi_cancel_4_1: 0.007859416457736799 , std 0.08830428093065847 
2023-05-09 09:29:31,443 INFO used_ofi_cancel_5_1: 0.009371018344727432 , std 0.09634937654136749 
2023-05-09 09:29:31,443 INFO used_ofi_cancel_6_1: 0.00963589118293123 , std 0.09768848849297414 
2023-05-09 09:29:31,443 INFO used_ofi_cancel_7_1: 0.009827695651975358 , std 0.09864639907339498 
2023-05-09 09:29:31,443 INFO used_ofi_cancel_8_1: 0.010777584451051044 , std 0.10325419180087317 
2023-05-09 09:29:31,443 INFO used_ofi_cancel_9_1: 0.010667981897311541 , std 0.10273351964938304 
2023-05-09 09:29:31,443 INFO used_ofi_cancel_10_1: 0.014243765213062799 , std 0.1184942208110503 
2023-05-09 09:29:31,443 INFO used_ofi_trade_1_1: 0.00041557634959561225 , std 0.020381453478426625 
2023-05-09 09:29:31,443 INFO used_ofi_trade_2_1: 0.0013152306448740256 , std 0.03624225176813398 
2023-05-09 09:29:31,443 INFO used_ofi_trade_3_1: 0.0013928657871061728 , std 0.03729511646322185 
2023-05-09 09:29:31,443 INFO used_ofi_trade_4_1: 0.0012238951834244404 , std 0.034962798286241784 
2023-05-09 09:29:31,443 INFO used_ofi_trade_5_1: 0.0011873609988446064 , std 0.034437641799389074 
2023-05-09 09:29:31,443 INFO used_ofi_trade_6_1: 0.0011462600411922931 , std 0.03383705260672475 
2023-05-09 09:29:31,443 INFO used_ofi_trade_7_1: 0.0010731916720326251 , std 0.03274202088551813 
2023-05-09 09:29:31,443 INFO used_ofi_trade_8_1: 0.0011142926296849383 , std 0.03336241870159249 
2023-05-09 09:29:31,443 INFO used_ofi_trade_9_1: 0.0011005923104675005 , std 0.03315691492032454 
2023-05-09 09:29:31,444 INFO used_ofi_trade_10_1: 0.0011645271334822101 , std 0.034105292991522505 
2023-05-09 09:29:31,444 INFO used_ofi_add_1_2: 0.017513574732957945 , std 0.131174881105458 
2023-05-09 09:29:31,444 INFO used_ofi_add_2_2: 0.02600320587469688 , std 0.15914471137595182 
2023-05-09 09:29:31,444 INFO used_ofi_add_3_2: 0.023085037881382636 , std 0.15017362920099445 
2023-05-09 09:29:31,444 INFO used_ofi_add_4_2: 0.02421303083028501 , std 0.15370998656006932 
2023-05-09 09:29:31,444 INFO used_ofi_add_5_2: 0.024464203349271373 , std 0.15448529413428605 
2023-05-09 09:29:31,444 INFO used_ofi_add_6_2: 0.02856973234143022 , std 0.16659382562198774 
2023-05-09 09:29:31,444 INFO used_ofi_add_7_2: 0.02931868312531682 , std 0.1686982452342468 
2023-05-09 09:29:31,444 INFO used_ofi_add_8_2: 0.030186370009087877 , std 0.17109983364913692 
