2023-05-09 09:44:45,951 INFO Starting...
2023-05-09 09:44:45,951 INFO Tickers: ['SBUX']
2023-05-09 09:46:05,120 INFO used_ofi_trade_10_2: 0.004233437304483242 , std 0.06492699987734112 
2023-05-09 09:46:05,120 INFO used_ofi_add_1_3: 0.14235675043727253 , std 0.34941566370472377 
2023-05-09 09:46:05,120 INFO used_ofi_add_2_3: 0.05989377588813131 , std 0.23728993130344495 
2023-05-09 09:46:05,120 INFO used_ofi_add_3_3: 0.046864653310255695 , std 0.2113489001162893 
2023-05-09 09:46:05,120 INFO used_ofi_add_4_3: 0.06366596489946157 , std 0.24415693685185785 
2023-05-09 09:46:05,120 INFO used_ofi_add_5_3: 0.050207561731918836 , std 0.21837298934816637 
2023-05-09 09:46:05,120 INFO used_ofi_add_6_3: 0.03830187559083166 , std 0.19192405247142974 
2023-05-09 09:46:05,120 INFO used_ofi_add_7_3: 0.03073009667946897 , std 0.17258550877040477 
2023-05-09 09:46:05,120 INFO used_ofi_add_8_3: 0.026295719524503245 , std 0.1600132952575876 
2023-05-09 09:46:05,120 INFO used_ofi_add_9_3: 0.02853802558329642 , std 0.16650407406157827 
2023-05-09 09:46:05,120 INFO used_ofi_add_10_3: 0.03164345963620754 , std 0.17504899627949666 
2023-05-09 09:46:05,120 INFO used_ofi_cancel_1_3: 0.04239830845180412 , std 0.20149613369052466 
2023-05-09 09:46:05,120 INFO used_ofi_cancel_2_3: 0.022167318960044938 , std 0.14722747342180595 
2023-05-09 09:46:05,120 INFO used_ofi_cancel_3_3: 0.023783971393472193 , std 0.1523755036028649 
2023-05-09 09:46:05,120 INFO used_ofi_cancel_4_3: 0.032109274744144205 , std 0.1762902981435713 
2023-05-09 09:46:05,120 INFO used_ofi_cancel_5_3: 0.02286604162194994 , std 0.14947637192042493 
2023-05-09 09:46:05,120 INFO used_ofi_cancel_6_3: 0.012554173840371555 , std 0.11133986958658289 
2023-05-09 09:46:05,120 INFO used_ofi_cancel_7_3: 0.009558343342269068 , std 0.09729841424617554 
2023-05-09 09:46:05,120 INFO used_ofi_cancel_8_3: 0.006946125285996776 , std 0.08305345645732039 
2023-05-09 09:46:05,120 INFO used_ofi_cancel_9_3: 0.006302204401496089 , std 0.0791358744260645 
2023-05-09 09:46:05,120 INFO used_ofi_cancel_10_3: 0.006188034031903768 , std 0.07842029244222294 
2023-05-09 09:46:05,120 INFO used_ofi_trade_1_3: 0.0014705143603490874 , std 0.03831908072834073 
2023-05-09 09:46:05,120 INFO used_ofi_trade_2_3: 0.01278708139433989 , std 0.11235467032462165 
2023-05-09 09:46:05,120 INFO used_ofi_trade_3_3: 0.015143557822725385 , std 0.12212383256021388 
2023-05-09 09:46:05,120 INFO used_ofi_trade_4_3: 0.017367596622383786 , std 0.13063676056128287 
2023-05-09 09:46:05,120 INFO used_ofi_trade_5_3: 0.01393791871983048 , std 0.11723332777666033 
2023-05-09 09:46:05,121 INFO used_ofi_trade_6_3: 0.010526508076411945 , std 0.10205734027559789 
2023-05-09 09:46:05,121 INFO used_ofi_trade_7_3: 0.007713350169657169 , std 0.0874863097794016 
2023-05-09 09:46:05,121 INFO used_ofi_trade_8_3: 0.007786419206196255 , std 0.08789647821239274 
2023-05-09 09:46:05,121 INFO used_ofi_trade_9_3: 0.006786286768567527 , std 0.08209892252924086 
2023-05-09 09:46:05,121 INFO used_ofi_trade_10_3: 0.00732517091304328 , std 0.0852731656744253 
2023-05-09 09:46:05,813 INFO Grouping by horizont:
2023-05-09 09:46:05,813 INFO 1: 0.2826493005923159
2023-05-09 09:46:05,814 INFO 2: 0.44363408853227126
2023-05-09 09:46:05,814 INFO 3: 0.8042160834083053
2023-05-09 09:46:05,814 INFO Grouping by ofi type:
2023-05-09 09:46:05,814 INFO add: 1.0095400760831343
2023-05-09 09:46:05,814 INFO cancel: 0.3341401372784523
2023-05-09 09:46:05,814 INFO trade: 0.18681925917130576
2023-05-09 09:46:05,814 INFO Grouping by ofi type and horizont:
2023-05-09 09:46:05,814 INFO add_1: 0.19718136191550478
2023-05-09 09:46:05,814 INFO cancel_1: 0.054272026889405446
2023-05-09 09:46:05,814 INFO trade_1: 0.03119591178740564
2023-05-09 09:46:05,814 INFO add_2: 0.29386083088628173
2023-05-09 09:46:05,814 INFO cancel_2: 0.0949943143155943
2023-05-09 09:46:05,814 INFO trade_2: 0.054778943330395354
2023-05-09 09:46:05,814 INFO add_3: 0.5184978832813477
2023-05-09 09:46:05,814 INFO cancel_3: 0.18487379607345267
2023-05-09 09:46:05,814 INFO trade_3: 0.10084440405350482
2023-05-09 09:46:05,814 INFO Grouping by level:
2023-05-09 09:46:05,814 INFO 1: 0.38644386699608624
2023-05-09 09:46:05,814 INFO 2: 0.18735814331578152
2023-05-09 09:46:05,814 INFO 3: 0.15390622502523166
2023-05-09 09:46:05,814 INFO 4: 0.2112288841901439
2023-05-09 09:46:05,814 INFO 5: 0.1614277689739737
2023-05-09 09:46:05,814 INFO 6: 0.11370455448438377
2023-05-09 09:46:05,814 INFO 7: 0.0880664562887323
2023-05-09 09:46:05,814 INFO 8: 0.07296399979906015
2023-05-09 09:46:05,814 INFO 9: 0.07361705431312823
2023-05-09 09:46:05,814 INFO 10: 0.08178251914637098
2023-05-09 09:46:05,814 INFO Grouping by level and horizont:
2023-05-09 09:46:05,814 INFO 1_1: 0.08607989185782593
2023-05-09 09:46:05,814 INFO 2_1: 0.03568965753455937
2023-05-09 09:46:05,814 INFO 3_1: 0.026154148266208765
2023-05-09 09:46:05,814 INFO 4_1: 0.036621287750432704
2023-05-09 09:46:05,814 INFO 5_1: 0.028460389731973637
2023-05-09 09:46:05,814 INFO 6_1: 0.018984249055811045
2023-05-09 09:46:05,814 INFO 7_1: 0.014545305086061625
2023-05-09 09:46:05,814 INFO 8_1: 0.011348534737476653
2023-05-09 09:46:05,814 INFO 9_1: 0.011526640514040672
2023-05-09 09:46:05,814 INFO 10_1: 0.013239196057925479
2023-05-09 09:46:05,815 INFO 1_2: 0.1141384018888346
2023-05-09 09:46:05,815 INFO 2_2: 0.05682030953870604
2023-05-09 09:46:05,815 INFO 3_2: 0.04195989423256961
2023-05-09 09:46:05,815 INFO 4_2: 0.06146476017372164
2023-05-09 09:46:05,815 INFO 5_2: 0.04595585716830083
2023-05-09 09:46:05,815 INFO 6_2: 0.03333774792095757
2023-05-09 09:46:05,815 INFO 7_2: 0.025519361011275464
2023-05-09 09:46:05,815 INFO 8_2: 0.020587201044887222
2023-05-09 09:46:05,815 INFO 9_2: 0.020463897045727517
2023-05-09 09:46:05,815 INFO 10_2: 0.023386658507290922
2023-05-09 09:46:05,815 INFO 1_3: 0.18622557324942574
2023-05-09 09:46:05,815 INFO 2_3: 0.09484817624251614
2023-05-09 09:46:05,815 INFO 3_3: 0.08579218252645328
2023-05-09 09:46:05,815 INFO 4_3: 0.11314283626598955
2023-05-09 09:46:05,815 INFO 5_3: 0.08701152207369926
2023-05-09 09:46:05,815 INFO 6_3: 0.061382557507615156
2023-05-09 09:46:05,815 INFO 7_3: 0.04800179019139521
2023-05-09 09:46:05,815 INFO 8_3: 0.04102826401669628
2023-05-09 09:46:05,815 INFO 9_3: 0.041626516753360036
2023-05-09 09:46:05,815 INFO 10_3: 0.04515666458115458
2023-05-09 09:46:05,826 INFO Non empty regressions: 0.4038205972480374 --- 88425 / 218971
