2023-05-09 10:04:26,913 INFO Starting...
2023-05-09 10:04:26,913 INFO Tickers: ['GILD']
2023-05-09 10:05:46,816 INFO used_ofi_cancel_1_1: 0.004685509172363716 , std 0.06829022753044107 
2023-05-09 10:05:46,816 INFO used_ofi_cancel_2_1: 0.007923351280751507 , std 0.08865986569600318 
2023-05-09 10:05:46,816 INFO used_ofi_cancel_3_1: 0.009393852210089829 , std 0.09646557806152833 
2023-05-09 10:05:46,816 INFO used_ofi_cancel_4_1: 0.01159503683102483 , std 0.10705415429544063 
2023-05-09 10:05:46,816 INFO used_ofi_cancel_5_1: 0.011028756970037402 , std 0.10443717484561356 
2023-05-09 10:05:46,816 INFO used_ofi_cancel_6_1: 0.007005429893183178 , std 0.08340475912797109 
2023-05-09 10:05:46,816 INFO used_ofi_cancel_7_1: 0.00551666187155494 , std 0.07406907798366248 
2023-05-09 10:05:46,816 INFO used_ofi_cancel_8_1: 0.004484571157174629 , std 0.06681661304429362 
2023-05-09 10:05:46,816 INFO used_ofi_cancel_9_1: 0.004452603745667274 , std 0.06657911133044164 
2023-05-09 10:05:46,816 INFO used_ofi_cancel_10_1: 0.005859169851990885 , std 0.07632063928346254 
2023-05-09 10:05:46,816 INFO used_ofi_trade_1_1: 0.0002785731574212346 , std 0.01668818607330344 
2023-05-09 10:05:46,816 INFO used_ofi_trade_2_1: 0.0028542331702995347 , std 0.05334872560154643 
2023-05-09 10:05:46,816 INFO used_ofi_trade_3_1: 0.003936558388477118 , std 0.06261838305586649 
2023-05-09 10:05:46,816 INFO used_ofi_trade_4_1: 0.004169463815173561 , std 0.06443663078302217 
2023-05-09 10:05:46,816 INFO used_ofi_trade_5_1: 0.004589606937841652 , std 0.06759099382312535 
2023-05-09 10:05:46,816 INFO used_ofi_trade_6_1: 0.0027080964319801987 , std 0.051968862270549025 
2023-05-09 10:05:46,816 INFO used_ofi_trade_7_1: 0.0019591456480936007 , std 0.044218857927621306 
2023-05-09 10:05:46,816 INFO used_ofi_trade_8_1: 0.0016166376676576564 , std 0.04017491941882607 
2023-05-09 10:05:46,816 INFO used_ofi_trade_9_1: 0.0015846702561503015 , std 0.03977636328687647 
2023-05-09 10:05:46,816 INFO used_ofi_trade_10_1: 0.002105282386412937 , std 0.04583503215321656 
2023-05-09 10:05:46,816 INFO used_ofi_add_1_2: 0.038666867604681854 , std 0.19279974313863557 
2023-05-09 10:05:46,816 INFO used_ofi_add_2_2: 0.033099971229329644 , std 0.1788976331144356 
2023-05-09 10:05:46,816 INFO used_ofi_add_3_2: 0.028199823722559404 , std 0.16554332866224475 
2023-05-09 10:05:46,816 INFO used_ofi_add_4_2: 0.03109059107743877 , std 0.17356257149481927 
2023-05-09 10:05:46,816 INFO used_ofi_add_5_2: 0.036155142414818264 , std 0.18667605120042174 
2023-05-09 10:05:46,816 INFO used_ofi_add_6_2: 0.03265242746822668 , std 0.17772519925058142 
2023-05-09 10:05:46,816 INFO used_ofi_add_7_2: 0.024624040406808146 , std 0.15497644027674665 
2023-05-09 10:05:46,816 INFO used_ofi_add_8_2: 0.02060071332995392 , std 0.14204338752737128 
2023-05-09 10:05:46,816 INFO used_ofi_add_9_2: 0.02080165134514301 , std 0.1427198046749578 
2023-05-09 10:05:46,816 INFO used_ofi_add_10_2: 0.024793011010489877 , std 0.1554937864209487 
2023-05-09 10:05:46,816 INFO used_ofi_cancel_1_2: 0.00963589118293123 , std 0.09768848849297414 
2023-05-09 10:05:46,816 INFO used_ofi_cancel_2_2: 0.014819178620195184 , std 0.12082868270910649 
2023-05-09 10:05:46,816 INFO used_ofi_cancel_3_2: 0.016170943449649044 , std 0.1261326446150928 
2023-05-09 10:05:46,816 INFO used_ofi_cancel_4_2: 0.01747247377530563 , std 0.13102361022150508 
2023-05-09 10:05:46,816 INFO used_ofi_cancel_5_2: 0.01612527571892425 , std 0.12595733881720794 
2023-05-09 10:05:46,816 INFO used_ofi_cancel_6_2: 0.011919277719170857 , std 0.10852284799904642 
2023-05-09 10:05:46,816 INFO used_ofi_cancel_7_2: 0.007827449046229444 , std 0.08812593311652435 
2023-05-09 10:05:46,816 INFO used_ofi_cancel_8_2: 0.007580843300315564 , std 0.08673738591387006 
2023-05-09 10:05:46,816 INFO used_ofi_cancel_9_2: 0.00717440049686491 , std 0.08439744352985758 
2023-05-09 10:05:46,816 INFO used_ofi_cancel_10_2: 0.00871340302229042 , std 0.09293804188846223 
2023-05-09 10:05:46,816 INFO used_ofi_trade_1_2: 0.0005114785841176766 , std 0.022610107778948462 
2023-05-09 10:05:46,816 INFO used_ofi_trade_2_2: 0.00502801715279966 , std 0.07073002330206608 
2023-05-09 10:05:46,816 INFO used_ofi_trade_3_2: 0.0062290784708617045 , std 0.07867831373552406 
2023-05-09 10:05:46,816 INFO used_ofi_trade_4_2: 0.007882250323099195 , std 0.08843144493302818 
2023-05-09 10:05:46,816 INFO used_ofi_trade_5_2: 0.008302393445767286 , std 0.09073843567551164 
2023-05-09 10:05:46,816 INFO used_ofi_trade_6_2: 0.004982349422074868 , std 0.07040969831146288 
2023-05-09 10:05:46,817 INFO used_ofi_trade_7_2: 0.003361144981344732 , std 0.057877868704359806 
2023-05-09 10:05:46,817 INFO used_ofi_trade_8_2: 0.002767464481922429 , std 0.052533852155193475 
2023-05-09 10:05:46,817 INFO used_ofi_trade_9_2: 0.0032287085622428337 , std 0.056729921586962676 
2023-05-09 10:05:46,817 INFO used_ofi_trade_10_2: 0.0032926433852575434 , std 0.05728701322983302 
2023-05-09 10:05:46,817 INFO used_ofi_add_1_3: 0.06193914318203614 , std 0.24104498692964216 
2023-05-09 10:05:46,817 INFO used_ofi_add_2_3: 0.05758244167089093 , std 0.23295214976923775 
2023-05-09 10:05:46,817 INFO used_ofi_add_3_3: 0.05098802135423089 , std 0.21997327799669528 
2023-05-09 10:05:46,817 INFO used_ofi_add_4_3: 0.05492457974270801 , std 0.22783298769667862 
2023-05-09 10:05:46,817 INFO used_ofi_add_5_3: 0.0637521520918104 , std 0.2443108986424328 
2023-05-09 10:05:46,817 INFO used_ofi_add_6_3: 0.05559589538436246 , std 0.2291396774912051 
2023-05-09 10:05:46,817 INFO used_ofi_add_7_3: 0.04278153014298566 , std 0.202364203409621 
