2023-05-09 09:13:21,105 INFO Starting...
2023-05-09 09:13:21,105 INFO Tickers: ['MDT']
2023-05-09 09:14:40,542 INFO ofi_cancel_6_3: -4.848358358858402e-07 , std 1.2010946670692583e-05 
2023-05-09 09:14:40,542 INFO ofi_cancel_7_3: -2.826691181072853e-07 , std 1.0308691504846023e-05 
2023-05-09 09:14:40,542 INFO ofi_cancel_8_3: -1.6562335566459332e-07 , std 9.249580094542977e-06 
2023-05-09 09:14:40,542 INFO ofi_cancel_9_3: -1.513090074755768e-07 , std 9.06885815424113e-06 
2023-05-09 09:14:40,542 INFO ofi_cancel_10_3: -2.083287517794673e-07 , std 9.461159040747572e-06 
2023-05-09 09:14:40,542 INFO ofi_trade_1_3: -8.676918387523917e-09 , std 4.210688756141313e-06 
2023-05-09 09:14:40,543 INFO ofi_trade_2_3: -9.932580490002422e-08 , std 7.151267931963306e-06 
2023-05-09 09:14:40,543 INFO ofi_trade_3_3: -2.814811380908276e-07 , std 9.322485249323669e-06 
2023-05-09 09:14:40,543 INFO ofi_trade_4_3: -2.5779462520766456e-07 , std 1.0062161657325085e-05 
2023-05-09 09:14:40,543 INFO ofi_trade_5_3: -3.409279896204637e-07 , std 1.0104856783393119e-05 
2023-05-09 09:14:40,543 INFO ofi_trade_6_3: -2.0786440359712926e-07 , std 9.87506525605044e-06 
2023-05-09 09:14:40,543 INFO ofi_trade_7_3: -1.5339521522002233e-07 , std 7.879205251072371e-06 
2023-05-09 09:14:40,543 INFO ofi_trade_8_3: -2.9252218750994042e-08 , std 5.955832276291907e-06 
2023-05-09 09:14:40,543 INFO ofi_trade_9_3: -5.1745018747255375e-08 , std 5.83928710608222e-06 
2023-05-09 09:14:40,543 INFO ofi_trade_10_3: -1.8818079943403795e-08 , std 5.9989318175591705e-06 
2023-05-09 09:14:40,543 INFO used_intercept: 0.9841715645307869 , std 0.12481144218303886 
2023-05-09 09:14:40,543 INFO used_ofi_add_1_1: 0.02521315413315797 , std 0.15677197132081866 
2023-05-09 09:14:40,543 INFO used_ofi_add_2_1: 0.017646011152059844 , std 0.13166103995670558 
2023-05-09 09:14:40,543 INFO used_ofi_add_3_1: 0.016221177953446315 , std 0.12632518093891235 
2023-05-09 09:14:40,543 INFO used_ofi_add_4_1: 0.020678348472186067 , std 0.14230514529225183 
2023-05-09 09:14:40,543 INFO used_ofi_add_5_1: 0.0231809401159047 , std 0.1504778526270479 
2023-05-09 09:14:40,543 INFO used_ofi_add_6_1: 0.022089481351582157 , std 0.14697461061421546 
2023-05-09 09:14:40,543 INFO used_ofi_add_7_1: 0.015723399688546077 , std 0.12440327323177756 
2023-05-09 09:14:40,543 INFO used_ofi_add_8_1: 0.011576769738734912 , std 0.10697078171702415 
2023-05-09 09:14:40,543 INFO used_ofi_add_9_1: 0.00993273143264238 , std 0.09916689104196712 
2023-05-09 09:14:40,543 INFO used_ofi_add_10_1: 0.011535668781082599 , std 0.10678294398852164 
2023-05-09 09:14:40,543 INFO used_ofi_cancel_1_1: 0.00502801715279966 , std 0.07073002330206608 
2023-05-09 09:14:40,543 INFO used_ofi_cancel_2_1: 0.00895544199513182 , std 0.09420850308652423 
2023-05-09 09:14:40,543 INFO used_ofi_cancel_3_1: 0.010375708420672869 , std 0.10133140231656743 
2023-05-09 09:14:40,543 INFO used_ofi_cancel_4_1: 0.012732163326072164 , std 0.11211625815692558 
2023-05-09 09:14:40,543 INFO used_ofi_cancel_5_1: 0.012206984422737049 , std 0.10980880635923564 
2023-05-09 09:14:40,543 INFO used_ofi_cancel_6_1: 0.010713649628036333 , std 0.10295080057815972 
2023-05-09 09:14:40,543 INFO used_ofi_cancel_7_1: 0.0068684267010088 , std 0.08259086762870137 
2023-05-09 09:14:40,543 INFO used_ofi_cancel_8_1: 0.005069118110451973 , std 0.07101705536020389 
2023-05-09 09:14:40,543 INFO used_ofi_cancel_9_1: 0.004932114918277596 , std 0.07005561476934236 
2023-05-09 09:14:40,543 INFO used_ofi_cancel_10_1: 0.005023450379727181 , std 0.07069805744155633 
2023-05-09 09:14:40,543 INFO used_ofi_trade_1_1: 0.00021007156133404575 , std 0.014492323184126292 
2023-05-09 09:14:40,543 INFO used_ofi_trade_2_1: 0.0013882990140336937 , std 0.037234011869275205 
2023-05-09 09:14:40,543 INFO used_ofi_trade_3_1: 0.0024249565014864845 , std 0.049184104011889704 
2023-05-09 09:14:40,543 INFO used_ofi_trade_4_1: 0.0027948651203573045 , std 0.05279255486634753 
2023-05-09 09:14:40,543 INFO used_ofi_trade_5_1: 0.0031373731007932485 , std 0.05592432378509075 
2023-05-09 09:14:40,543 INFO used_ofi_trade_6_1: 0.0026395948358930096 , std 0.05130913539512565 
2023-05-09 09:14:40,543 INFO used_ofi_trade_7_1: 0.0014156996524685693 , std 0.037599141572149886 
2023-05-09 09:14:40,543 INFO used_ofi_trade_8_1: 0.0007489507838865978 , std 0.027356715018618624 
2023-05-09 09:14:40,543 INFO used_ofi_trade_9_1: 0.0008083188338288282 , std 0.028419455562901017 
2023-05-09 09:14:40,543 INFO used_ofi_trade_10_1: 0.0006210811378571787 , std 0.024913759171939047 
2023-05-09 09:14:40,543 INFO used_ofi_add_1_2: 0.034342133505044004 , std 0.18210642869312918 
2023-05-09 09:14:40,543 INFO used_ofi_add_2_2: 0.0270992314120919 , std 0.16237260566045555 
2023-05-09 09:14:40,543 INFO used_ofi_add_3_2: 0.026829791800815624 , std 0.16158574835900757 
2023-05-09 09:14:40,543 INFO used_ofi_add_4_2: 0.030633913770190844 , std 0.1723237566248814 
2023-05-09 09:14:40,543 INFO used_ofi_add_5_2: 0.035840035072817196 , std 0.18589116966331787 
2023-05-09 09:14:40,543 INFO used_ofi_add_6_2: 0.033949391020810786 , std 0.1810989504942723 
2023-05-09 09:14:40,543 INFO used_ofi_add_7_2: 0.024436802710836494 , std 0.15440092416856888 
2023-05-09 09:14:40,543 INFO used_ofi_add_8_2: 0.01955492229635617 , std 0.13846489558851963 
2023-05-09 09:14:40,543 INFO used_ofi_add_9_2: 0.016650454622259364 , std 0.12795787190763783 
2023-05-09 09:14:40,543 INFO used_ofi_add_10_2: 0.021728706278856296 , std 0.14579632917979618 
2023-05-09 09:14:40,543 INFO used_ofi_cancel_1_2: 0.010033200440236924 , std 0.09966210578330639 
2023-05-09 09:14:40,543 INFO used_ofi_cancel_2_2: 0.016043073803619624 , std 0.12564113015470385 
2023-05-09 09:14:40,543 INFO used_ofi_cancel_3_2: 0.018486297397396025 , std 0.13470172309933923 
2023-05-09 09:14:40,544 INFO used_ofi_cancel_4_2: 0.020888420033520115 , std 0.14301081756994244 
2023-05-09 09:14:40,544 INFO used_ofi_cancel_5_2: 0.019413352331109315 , std 0.13797272948803152 
2023-05-09 09:14:40,544 INFO used_ofi_cancel_6_2: 0.017559242463682737 , std 0.13134274044569172 
2023-05-09 09:14:40,544 INFO used_ofi_cancel_7_2: 0.010846086047138232 , std 0.10357822389187944 
2023-05-09 09:14:40,544 INFO used_ofi_cancel_8_2: 0.009243148698698012 , std 0.09569593983462292 
2023-05-09 09:14:40,544 INFO used_ofi_cancel_9_2: 0.007841149365446881 , std 0.08820241347080947 
2023-05-09 09:14:40,544 INFO used_ofi_cancel_10_2: 0.009708959552090897 , std 0.0980545544913991 
2023-05-09 09:14:40,544 INFO used_ofi_trade_1_2: 0.0004384102149580085 , std 0.020933657383300913 
2023-05-09 09:14:40,544 INFO used_ofi_trade_2_2: 0.002077881747978061 , std 0.04553640472654249 
2023-05-09 09:14:40,544 INFO used_ofi_trade_3_2: 0.0045850401647691726 , std 0.06755751306447437 
2023-05-09 09:14:40,544 INFO used_ofi_trade_4_2: 0.004863613322190407 , std 0.0695698108926754 
2023-05-09 09:14:40,544 INFO used_ofi_trade_5_2: 0.005964205632657907 , std 0.07699762258556611 
2023-05-09 09:14:40,544 INFO used_ofi_trade_6_2: 0.004452603745667274 , std 0.06657911133044166 
2023-05-09 09:14:40,544 INFO used_ofi_trade_7_2: 0.0023518881323268165 , std 0.04843920679098531 
2023-05-09 09:14:40,544 INFO used_ofi_trade_8_2: 0.0012604293680042746 , std 0.03548014495196639 
2023-05-09 09:14:40,544 INFO used_ofi_trade_9_2: 0.0011325597219748553 , std 0.03363446194680414 
